"fid","ascendancy","parent","gender"
"LDHS-DWJ",111948243312,"LDHS-DF1","Male"
"LDHS-DWJ",111948243313,"LD98-69W","Female"
"G2H3-QFZ",111948243316,"GH41-4SM","Male"
"G2H3-QFZ",111948243317,"G2H3-W7J","Female"
"G2RH-TWL",111948243324,"G2R8-QM3","Male"
"9HRG-JDL",111948243328,"LZDH-NFR","Male"
"9HRG-JDL",111948243329,"LD9C-ZGZ","Female"
"LZ1T-YG5",111948243340,"LDHS-DWJ","Male"
"LZZF-5Z1",111948243342,"LBBB-4XS","Male"
"LZZF-5Z1",111948243343,"LDHS-6S3","Female"
"G6TC-GD8",111948243360,"GFF2-JFR","Male"
"G6TC-GD8",111948243361,"GG69-8N9","Female"
"9HTX-2CD",111948243384,"9HRG-JDL","Male"
"9HTX-2CD",111948243385,"LDH1-G9D","Female"
"G39Q-HBK",111948243386,"KX2S-NWF","Male"
"G39Q-HBK",111948243387,"L7GV-KKS","Female"
"GGJD-LJM",111948243392,"GF59-F78","Male"
"GGJD-LJM",111948243393,"GLFD-4JJ","Female"
"9CHR-8ZW",111948243408,"G69T-DN8","Male"
"9CHR-8ZW",111948243409,"L2W2-2TC","Female"
"G2PK-2PB",111948243412,"G9FS-BL2","Male"
"G2PK-2PB",111948243413,"GGXP-5J3","Female"
"GVXD-YLR",111948243414,"GMMD-GH5","Male"
"GVXD-YLR",111948243415,"LBK1-86P","Female"
"GH2M-VGN",111948243712,"9HT1-YR2","Male"
"GH2M-VGN",111948243713,"G64M-9LR","Female"
"MVTT-BLN",111948243968,"G2L1-HJP","Male"
"MVTT-BLN",111948243969,"G2L1-G59","Female"
"LBTR-BTW",111948244098,"LZK3-LK2","Male"
"LBTR-BTW",111948244099,"M185-RW3","Female"
"G6RN-4Y7",111948244100,"G6DZ-JKF","Male"
"G6RN-4Y7",111948244101,"G6D8-388","Female"
"GFPT-S5P",111948244102,"GZ8X-GV2","Male"
"GFPT-S5P",111948244103,"G6ZP-B73","Female"
"LY9D-2F8",111948244104,"LCJD-VX6","Male"
"LY9D-2F8",111948244105,"LD9R-RKH","Female"
"L28D-TJH",111948244106,"9WMP-NNQ","Male"
"L28D-TJH",111948244107,"945D-J9Y","Female"
"GJTS-3TP",111948244108,"GZ8X-GV2","Male"
"GJTS-3TP",111948244109,"G6ZP-B73","Female"
"LCJD-VX6",111948244224,"9ZCB-DSC","Male"
"LCJD-VX6",111948244225,"GG1G-KG2","Female"
"LD9R-RKH",111948244226,"LD9R-RYR","Male"
"LD9R-RKH",111948244227,"M15L-V4Q","Female"
"9WMP-NNQ",111948244228,"99PT-NTZ","Male"
"9WMP-NNQ",111948244229,"G98Z-6RZ","Female"
"945D-J9Y",111948244230,"LZ9M-HWG","Male"
"945D-J9Y",111948244231,"9M85-YGM","Female"
"GZ8X-GV2",111948244232,"GFK3-MS7","Male"
"GZ8X-GV2",111948244233,"GFPT-WGM","Female"
"G6ZP-B73",111948244234,"LH3L-KQH","Male"
"G6ZP-B73",111948244235,"G692-MWD","Female"
"9HTX-2CD",111948244240,"9HRG-JDL","Male"
"9HTX-2CD",111948244241,"LDH1-G9D","Female"
"G39Q-HBK",111948244242,"KX2S-NWF","Male"
"G39Q-HBK",111948244243,"L7GV-KKS","Female"
"LZGK-GZB",111948244244,"LZ8D-9DK","Male"
"LZGK-GZB",111948244245,"GK9J-9XB","Female"
"MXKR-J9R",111948244246,"9QZD-J5R","Male"
"MXKR-J9R",111948244247,"L18P-6ZG","Female"
"G215-NYD",111948244256,"GG1F-9LB","Male"
"G215-NYD",111948244257,"GG1X-DGM","Female"
"G8W1-V4X",111948244306,"GL9M-YF9","Male"
"G8W1-V4X",111948244307,"GL9M-1QZ","Female"
"G891-N1Z",111948244312,"GSZ1-PTQ","Male"
"G891-N1Z",111948244313,"GS8M-WYK","Female"
"G3YQ-19T",111948244314,"991T-WHY","Male"
"G3YQ-19T",111948244315,"G3TV-1F5","Female"
"GGKJ-Z1T",111948244316,"L62H-Z9T","Male"
"GGKJ-Z1T",111948244317,"GVSP-PVV","Female"
"KL6C-XQV",111948244318,"GKZ8-HXS","Male"
"KL6C-XQV",111948244319,"GKS3-YPX","Female"
"LDHB-RRD",111948244320,"9HTX-2CD","Male"
"LDHB-RRD",111948244321,"L83J-4S6","Female"
"GKVP-QMK",111948244322,"LDHS-Z3V","Male"
"GKVP-QMK",111948244323,"LZGK-ZV2","Female"
"9SJJ-97N",111948244328,"GGG7-Q5M","Male"
"9SJJ-97N",111948244329,"GZL1-BTV","Female"
"LZJG-K5N",111948244330,"KX2S-NWF","Male"
"LZJG-K5N",111948244331,"L7GV-KKS","Female"
"LJ2H-W3S",111948244332,"GD74-RRH","Male"
"LJ2H-W3S",111948244333,"GJ5M-BKM","Female"
"LZ2S-DKM",111948244334,"28YJ-Z4N","Male"
"LZ2S-DKM",111948244335,"GGGT-9MX","Female"
"GJ2V-WRY",111948244336,"G233-LXN","Male"
"GJ2V-WRY",111948244337,"GGWK-NT3","Female"
"LD9P-MFB",111948244340,"GC7G-R6L","Male"
"LD9P-MFB",111948244341,"GC7P-77S","Female"
"G7NH-CM4",111948244384,"G215-NYD","Male"
"G7NH-CM4",111948244385,"GG1F-HTT","Female"
"LDHB-RRD",111948244400,"9HTX-2CD","Male"
