"fid","ascendancy","parent","gender"
"LDW5-66P",28053462648,"LD9R-RB7","Male"
"LDW5-66P",28053462649,"LDSS-6H5","Female"
"LDW5-623",28053462650,"LDMT-HMZ","Male"
"LDW5-623",28053462651,"LD91-ST3","Female"
"KCXK-S69",28053462652,"L8MB-ZMK","Male"
"KCXK-S69",28053462653,"MB1Q-ZWW","Female"
"GJR2-7VD",28053462654,"LDMT-W6R","Male"
"GJR2-7VD",28053462655,"LT83-H6M","Female"
"GH49-9QR",28053462752,"LYKM-77Q","Male"
"GH49-9QR",28053462753,"G9KN-N8D","Female"
"LZGK-GZB",28053462768,"LZ8D-9DK","Male"
"LZGK-GZB",28053462769,"GK9J-9XB","Female"
"MXKR-J9R",28053462770,"9QZD-J5R","Male"
"MXKR-J9R",28053462771,"L18P-6ZG","Female"
"9HTX-2CD",28053462772,"9HRG-JDL","Male"
"9HTX-2CD",28053462773,"LDH1-G9D","Female"
"G39Q-HBK",28053462774,"KX2S-NWF","Male"
"G39Q-HBK",28053462775,"L7GV-KKS","Female"
"GHD2-HFW",28053462776,"GNMT-9B8","Male"
"GHD2-HFW",28053462777,"GQMB-LY2","Female"
"GGNF-TFK",28053462778,"G2L1-NGS","Male"
"GGNF-TFK",28053462779,"LYS8-8T1","Female"
"LDST-G1M",28053462780,"LDST-GBG","Male"
"LDST-G1M",28053462781,"GQHJ-RF8","Female"
"GSCT-6ST",28053462782,"L8YB-MKM","Male"
"GSCT-6ST",28053462783,"GGRB-NL2","Female"
"LDSK-NZJ",28053463040,"9CXC-BT8","Male"
"LDSK-NZJ",28053463041,"L8MP-T1Y","Female"
"LDSH-S2T",28053463042,"LDSH-S6J","Male"
"LDSH-S2T",28053463043,"KND9-P91","Female"
"GW69-B2J",28053463044,"G71X-VLP","Male"
"GW69-B2J",28053463045,"G278-RXX","Female"
"GXQD-1QL",28053463046,"GKYP-ZCF","Male"
"GXQD-1QL",28053463047,"GKYP-T1X","Female"
"GGD7-NRW",28053463048,"GGD7-DN4","Male"
"2Z98-QKN",28053463052,"GGD3-D92","Male"
"2Z98-QKN",28053463053,"GX56-KLT","Female"
"GDCF-ZCT",28053463054,"G94Q-8SY","Male"
"GDCF-ZCT",28053463055,"G6RT-9MK","Female"
"GDX9-MGZ",28053463072,"GDXM-BCY","Male"
"GDX9-MGZ",28053463073,"GXZZ-7RZ","Female"
"GW5C-MJ1",28053464064,"GX8L-X3Q","Male"
"GW5C-MJ1",28053464065,"GCQV-3WJ","Female"
"93HC-RM1",28053464066,"LTTZ-YL8","Male"
"93HC-RM1",28053464067,"LYSG-SY9","Female"
"LZGX-NYL",28053464068,"9Z4V-273","Male"
"LZGX-NYL",28053464069,"GVWH-735","Female"
"G2WK-458",28053464072,"GK9N-L4D","Male"
"G2WK-458",28053464073,"G2WJ-LSP","Female"
"MM4V-GY6",28053464074,"GXSF-QGK","Male"
"MM4V-GY6",28053464075,"GXSX-51M","Female"
"L1FN-21P",28053464076,"GX9M-N2L","Male"
"L1FN-21P",28053464077,"GDCR-ZGK","Female"
"LHK8-DT9",28053464078,"LYRG-K5J","Male"
"LHK8-DT9",28053464079,"LBLP-PPD","Female"
