"fid","ascendancy","parent","gender"
"M1XY-96Y",16195287202,"L1VL-MX4","Male"
"M1XY-96Y",16195287203,"L6KR-TGH","Female"
"LB3H-3BD",16195287204,"L8WY-4NN","Male"
"LB3H-3BD",16195287205,"LZZW-6XG","Female"
"9WPR-2DC",16195287206,"LYQ1-9KM","Male"
"9WPR-2DC",16195287207,"GLKF-YTD","Female"
"9C69-N2F",16195287208,"L1H5-WPB","Male"
"9C69-N2F",16195287209,"LCRB-QSW","Female"
"L133-6GS",16195287210,"G8WB-VNV","Male"
"L133-6GS",16195287211,"GZVQ-B5V","Female"
"9CN3-8JY",16195287212,"9CS6-TP3","Male"
"9CN3-8JY",16195287213,"M9BB-C3Y","Female"
"M1XY-96Y",16195287214,"L1VL-MX4","Male"
"M1XY-96Y",16195287215,"L6KR-TGH","Female"
"9HBT-X6S",16195287216,"LBBZ-8DB","Male"
"9HBT-X6S",16195287217,"LHZT-ZL9","Female"
"9CW3-3SK",16195287218,"9CS3-646","Male"
"9CW3-3SK",16195287219,"LY6J-G8R","Female"
"KF9B-5KD",16195287220,"LBV3-PXG","Male"
"KF9B-5KD",16195287221,"L8WB-MRM","Female"
"LDSM-3YK",16195287222,"LTC9-L6F","Male"
"LDSM-3YK",16195287223,"LTC9-G9Y","Female"
"9HVG-3HS",16195287232,"LYPR-VX5","Male"
"9HVG-3HS",16195287233,"LY6D-WK1","Female"
"MRRC-VW8",16195287234,"LY6D-VDY","Male"
"MRRC-VW8",16195287235,"LY6D-V66","Female"
"9CX7-S59",16195287236,"GLT4-TVW","Male"
"934P-KGV",16195287238,"K4LT-K4X","Male"
"934P-KGV",16195287239,"LVV3-7SJ","Female"
"LH73-3ML",16195287240,"GSRV-2D8","Male"
"LH73-3ML",16195287241,"LBZ2-33H","Female"
"G2JV-2R6",16195287268,"L55P-QVF","Male"
"G2JV-2R6",16195287269,"GGQM-PJZ","Female"
"L133-KLM",16195287276,"LBKB-VP5","Male"
"L133-KLM",16195287277,"29YP-N36","Female"
"LZKN-97G",16195287278,"LHLV-GKQ","Male"
"LZKN-97G",16195287279,"M12G-SFX","Female"
