"fid","ascendancy","parent","gender"
"G247-DDN",47293426312,"G7GT-WLW","Male"
"G247-DDN",47293426313,"GJVP-5X3","Female"
"G8W1-3LQ",47293426314,"GH89-VGR","Male"
"G8W1-3LQ",47293426315,"GVKF-BS7","Female"
"L2T6-KWR",47293426306,"GDPM-CDK","Male"
"L2T6-KWR",47293426307,"GDP9-7J6","Female"
"G7GT-WLW",47293426320,"L7NG-DRP","Male"
"G7GT-WLW",47293426321,"LYTH-K3C","Female"
"GVKF-BS7",47293426326,"GGBH-2L4","Male"
"GXGS-PV6",47293426368,"GLYZ-81C","Male"
"GXGS-PV6",47293426369,"GKLY-HLK","Female"
"G6L9-VNP",47293426370,"GGJK-WWN","Male"
"G6L9-VNP",47293426371,"GLMK-3FQ","Female"
"94HZ-CG3",47293426372,"L4Y9-TXB","Male"
"94HZ-CG3",47293426373,"GSX5-T31","Female"
"LDSS-BYY",47293426374,"99PY-ZDF","Male"
"LDSS-BYY",47293426375,"LD97-C7T","Female"
"9S8N-BNB",47293426376,"LB27-YWT","Male"
"9S8N-BNB",47293426377,"GWZB-NNM","Female"
"GG6X-7XK",47293426378,"LD9Y-C7T","Male"
"GG6X-7XK",47293426379,"LD9Y-CW9","Female"
"KZSM-RXV",47293426380,"LDSS-26H","Male"
"KZSM-RXV",47293426381,"L6SC-CJF","Female"
"LD9R-RBH",47293426382,"LD9R-RYR","Male"
"LD9R-RBH",47293426383,"M15L-V4Q","Female"
"GXQY-M8V",47293426384,"GX4G-VND","Male"
"GXQY-M8V",47293426385,"GX4G-FC7","Female"
"LR2W-T4T",47293426386,"LV3M-TWJ","Male"
"LR2W-T4T",47293426387,"GZYH-1CR","Female"
"GDPM-CDK",47293426388,"G73R-RND","Male"
"GDPM-CDK",47293426389,"GH6G-4YP","Female"
"LRHH-FZH",47293426392,"LT1C-QBG","Male"
"L2TR-B8M",47293426396,"G4VR-MQC","Male"
"L2TR-B8M",47293426397,"G2WR-NVX","Female"
"L2TR-BDX",47293426398,"LKB9-HXK","Male"
"L2TR-BDX",47293426399,"G314-CPL","Female"
"LD95-VV6",47293426400,"LD95-VVH","Male"
"LD95-VV6",47293426401,"99SD-Z4Q","Female"
"9H2F-HV5",47293426402,"MBGG-7NP","Male"
"9H2F-HV5",47293426403,"LD9R-SHL","Female"
"LD9R-RB7",47293426404,"LD9R-RYR","Male"
"LD9R-RB7",47293426405,"M15L-V4Q","Female"
"LDSS-6H5",47293426406,"L133-HLP","Male"
"LDSS-6H5",47293426407,"KH8N-T92","Female"
"GX7F-WZP",47293426408,"LYCY-PN6","Male"
"GX7F-WZP",47293426409,"LDSS-KKV","Female"
"G2GB-R81",47293426410,"GLBZ-FVT","Male"
"G2GB-R81",47293426411,"GLB8-4LY","Female"
"LT3P-8D6",47293426412,"GG92-32P","Male"
"LT3P-8D6",47293426413,"GG4M-2R7","Female"
"G8L3-3JL",47293426414,"GVXP-S4R","Male"
"G8L3-3JL",47293426415,"LVDF-9DW","Female"
"LYCY-PN6",47293426416,"LDSS-26H","Male"
"LYCY-PN6",47293426417,"L6SC-CJF","Female"
"LDSS-KKV",47293426418,"LZLQ-664","Male"
"LDSS-KKV",47293426419,"GK2Y-MJB","Female"
"LDW2-41W",47293426420,"94HZ-CG3","Male"
"LDW2-41W",47293426421,"LDSS-BYY","Female"
"G4NJ-GVF",47293426422,"L8RR-S6X","Male"
"G4NJ-GVF",47293426423,"L8RR-S6J","Female"
"GNBC-YQ3",47293426500,"LZLG-V3F","Male"
"GNBC-YQ3",47293426501,"LH6K-2BP","Female"
"GNBZ-73B",47293426502,"GNBZ-GL3","Male"
"GNBZ-73B",47293426503,"GVRW-HBZ","Female"
"GXQT-BW4",47293426504,"G2RH-ZJB","Male"
"GXQT-BW4",47293426505,"G65N-XDL","Female"
"G8YD-SV1",47293426506,"GKZZ-K49","Male"
"G8YD-SV1",47293426507,"GL6R-9XP","Female"
"GL9R-YL9",47293426508,"LD95-VV6","Male"
"GL9R-YL9",47293426509,"9H2F-HV5","Female"
"LDHQ-P5F",47293426510,"LD9R-RB7","Male"
"LDHQ-P5F",47293426511,"LDSS-6H5","Female"
"KZ1C-JQY",47293426514,"GNSR-8N7","Male"
"KZ1C-JQY",47293426515,"G6RL-9LX","Female"
"G691-4WZ",47293426512,"GJYM-TGG","Male"
"G691-4WZ",47293426513,"LBPM-PVV","Female"
"L1QD-DXV",47293426516,"GJ2V-WRY","Male"
"L1QD-DXV",47293426517,"G2CN-HW6","Female"
"LD9P-M8N",47293426518,"LD9P-MFB","Male"
"LD9P-M8N",47293426519,"LH6C-VKZ","Female"
"L2TG-2PZ",47293426522,"L1QD-DXV","Male"
"L2TG-2PZ",47293426523,"LD9P-M8N","Female"
"GJTS-G2L",47293426524,"GJ49-RRV","Male"
"GJTS-G2L",47293426525,"GJT3-69S","Female"
"LRHV-M6L",47293426526,"G2PS-Y15","Male"
"LRHV-M6L",47293426527,"GJG5-3FX","Female"
"GJTS-G2L",47293426528,"GJ49-RRV","Male"
"GJTS-G2L",47293426529,"GJT3-69S","Female"
"LRHV-M6L",47293426530,"G2PS-Y15","Male"
"LRHV-M6L",47293426531,"GJG5-3FX","Female"
"GNBC-YQ3",47293426532,"LZLG-V3F","Male"
"GNBC-YQ3",47293426533,"LH6K-2BP","Female"
"GNBZ-73B",47293426534,"GNBZ-GL3","Male"
"GNBZ-73B",47293426535,"GVRW-HBZ","Female"
"GNBC-1L5",47293426540,"L2YR-1Y7","Male"
"GNBC-1L5",47293426541,"L2TG-Y3G","Female"
"GNBC-PLL",47293426542,"GN1M-5CR","Male"
"GNBC-PLL",47293426543,"GXKT-JHB","Female"
"GLJB-5F5",47293426546,"GGGK-ZTJ","Male"
"L2TT-SGV",47293426548,"L2TG-TGT","Male"
"L2TT-SGV",47293426549,"GG6X-Z4P","Female"
"LRHN-FPJ",47293426550,"GNBC-YQ3","Male"
"LRHN-FPJ",47293426551,"GNBZ-73B","Female"
"GCHJ-WC2",47293426552,"GVG6-78B","Male"
"GCHJ-WC2",47293426553,"GVG6-695","Female"
"GCHN-YKS",47293426554,"L2TT-SLT","Male"
"GCHN-YKS",47293426555,"L2TT-SPH","Female"
"GJWH-CYP",47293426556,"GJWH-BPX","Male"
"GJWH-CYP",47293426557,"9CXC-H6Z","Female"
"GDRC-RG4",47293426558,"G87L-TT8","Male"
"GDRC-RG4",47293426559,"GWG8-TGJ","Female"
"GX3Y-8N4",47293426560,"GV6S-KDH","Male"
"GX3Y-8N4",47293426561,"GKWW-1XT","Female"
"GXQT-BH2",47293426562,"GJB3-H8B","Male"
"GXQT-BH2",47293426563,"GVV7-X62","Female"
"GX3Y-8N4",47293426564,"GV6S-KDH","Male"
"GX3Y-8N4",47293426565,"GKWW-1XT","Female"
"GJGQ-52M",47293426576,"L2TJ-1F5","Male"
"GJGQ-52M",47293426577,"LVGB-H1P","Female"
"GVZ5-JRM",47293426578,"GJGQ-LM6","Male"
"GVZ5-JRM",47293426579,"GW2C-1KG","Female"
"GG9S-NCR",47293426580,"LDS9-2TR","Male"
"GG9S-NCR",47293426581,"GJQ1-GBH","Female"
"GJ1K-N7N",47293426582,"GJQ1-L7L","Male"
"GJ1K-N7N",47293426583,"GG9S-76V","Female"
"GGG1-3DL",47293426584,"GSCN-N5D","Male"
"GGG1-3DL",47293426585,"LHGL-6S6","Female"
"GGG1-364",47293426586,"GZ49-QNV","Male"
"GGG1-364",47293426587,"GX7F-YKZ","Female"
"LYYN-GWQ",47293426588,"L6JX-69T","Male"
"LYYN-GWQ",47293426589,"LT1B-6DX","Female"
"LDSM-4M1",47293426590,"KHQ6-TFB","Male"
"LDSM-4M1",47293426591,"LDSM-H39","Female"
"GGG1-3DL",47293426592,"GSCN-N5D","Male"
"GGG1-3DL",47293426593,"LHGL-6S6","Female"
"GGG1-364",47293426594,"GZ49-QNV","Male"
"GGG1-364",47293426595,"GX7F-YKZ","Female"
"G6GQ-R3F",47293426596,"GXWR-W8R","Male"
"G6GQ-R3F",47293426597,"G8WY-8VN","Female"
"GFHY-37S",47293426600,"LT1C-QRG","Male"
"GFHY-37S",47293426601,"GFCP-585","Female"
"GJYZ-3ZJ",47293426602,"GJWH-F45","Male"
"GJYZ-3ZJ",47293426603,"G4DF-GJ5","Female"
"GJW4-BT9",47293426604,"GJWH-FM2","Male"
"GJW4-BT9",47293426605,"GJWH-4GZ","Female"
"GJWH-3GF",47293426606,"GJWH-3PM","Male"
"GJWH-3GF",47293426607,"GJWH-MN6","Female"
"LT83-QKS",47293426608,"GZ2L-M6L","Male"
"LT83-QKS",47293426609,"LBTR-BTW","Female"
"GDG2-NJC",47293426610,"G6RN-4Y7","Male"
"GDG2-NJC",47293426611,"GFPT-S5P","Female"
"G9M5-FF1",47293426612,"LY9D-2F8","Male"
"G9M5-FF1",47293426613,"L28D-TJH","Female"
"GN9F-M6Q",47293426614,"GJTS-3TP","Male"
"GN9F-M6Q",47293426615,"GN15-LRT","Female"
"GLYZ-N1C",47293426624,"GHPN-8WN","Male"
"GLYZ-N1C",47293426625,"GZ7L-9M8","Female"
"GLYZ-CBG",47293426626,"G8WB-29N","Male"
"GLYZ-CBG",47293426627,"G9Q7-1Y6","Female"
"GKKR-SJS",47293426628,"GKZ7-3FR","Male"
"GKKR-SJS",47293426629,"GX7F-4KT","Female"
"LDS9-LVC",47293426633,"GD1M-CC8","Female"
"LDS9-LVC",47293426632,"GLXP-2TM","Male"
"LDS9-L27",47293426634,"GN58-T4K","Male"
