"fid","ascendancy","parent","gender"
"G784-9PW",31530054440,"GS5Z-2LY","Male"
"G784-9PW",31530054441,"GS5Z-8ZT","Female"
"G8K3-VQ8",31530054444,"99Y7-Y7P","Male"
"G8K3-VQ8",31530054445,"L8YR-PKK","Female"
"G9TH-6YX",31530054446,"GZRF-9R1","Male"
"G9TH-6YX",31530054447,"G8WY-DDP","Female"
"GWJY-Q8S",31530054600,"GWG1-GHK","Male"
"GK8Y-WSW",31530054608,"GZX1-LWT","Male"
"GZRK-8R1",31530054610,"GVSX-62Y","Male"
"GZRK-8R1",31530054611,"GX75-Q8F","Female"
"GK6W-7WV",31530054612,"G784-9PW","Male"
"GK6W-7WV",31530054613,"GK6W-LHQ","Female"
"GNQ4-PDJ",31530054614,"G8K3-VQ8","Male"
"GNQ4-PDJ",31530054615,"G9TH-6YX","Female"
"GXVL-81C",31530054616,"GGJD-WR9","Male"
"GXVL-81C",31530054617,"GGJD-MFR","Female"
"LZ9M-HWG",31530054800,"LZPK-P7H","Male"
"LZ9M-HWG",31530054801,"GN4S-LXY","Female"
"9M85-YGM",31530054802,"L8YY-PH5","Male"
"9M85-YGM",31530054803,"KFX1-BZD","Female"
"21JJ-KNR",31530054804,"GX7F-1V3","Male"
"21JJ-KNR",31530054805,"L179-W5T","Female"
"GZL8-6WN",31530054806,"LZPK-K9R","Male"
"GZL8-6WN",31530054807,"GMNF-CHM","Female"
"9VSW-63J",31530054808,"G345-K3B","Male"
"9VSW-63J",31530054809,"GGSB-HMZ","Female"
"LDSK-V77",31530054848,"L8RR-S6X","Male"
"LDSK-V77",31530054849,"L8RR-S6J","Female"
"LDSQ-F68",31530054850,"9CCG-XPQ","Male"
"LDSQ-F68",31530054851,"GFQJ-6W3","Female"
"LB27-YWT",31530054852,"GH7M-QSF","Male"
"LB27-YWT",31530054853,"LYTM-8KB","Female"
"GWZB-NNM",31530054854,"L8YY-PH5","Male"
"GWZB-NNM",31530054855,"KFX1-BZD","Female"
"9HTX-2CD",31530054856,"9HRG-JDL","Male"
"9HTX-2CD",31530054857,"LDH1-G9D","Female"
"G39Q-HBK",31530054858,"KX2S-NWF","Male"
"G39Q-HBK",31530054859,"L7GV-KKS","Female"
"LZGK-GZB",31530054860,"LZ8D-9DK","Male"
"LZGK-GZB",31530054861,"GK9J-9XB","Female"
"MXKR-J9R",31530054862,"9QZD-J5R","Male"
"MXKR-J9R",31530054863,"L18P-6ZG","Female"
"K8M3-FZQ",31530054864,"GFR1-8PR","Male"
"K8M3-FZQ",31530054865,"GFR1-JPJ","Female"
"MBPN-4DK",31530054868,"GFR1-8PR","Male"
"MBPN-4DK",31530054869,"GFR1-JPJ","Female"
"9H9K-FVG",31530054870,"LZ9M-HWG","Male"
"9H9K-FVG",31530054871,"9M85-YGM","Female"
"L8RK-RPS",31530054872,"GM2P-GSQ","Male"
"L8RK-RPS",31530054873,"L1PP-NHR","Female"
"LJG8-9LJ",31530054874,"LYDQ-TG6","Male"
"LJG8-9LJ",31530054875,"9HM8-2GK","Female"
"LYNF-SFN",31530054876,"GJQD-V62","Male"
"LYNF-SFN",31530054877,"G3CD-LLK","Female"
"GJQD-6SP",31530054878,"GKZ8-84G","Male"
"GJQD-6SP",31530054879,"G4Z4-XVP","Female"
"GS4J-9T8",31530055168,"GWST-LDL","Male"
"GS4J-9T8",31530055169,"G22W-WCN","Female"
"G45G-VDT",31530055200,"G45G-ZQP","Male"
"G45G-VDT",31530055201,"G451-SJZ","Female"
"LDSH-MS8",31530055216,"G93L-29T","Male"
"LDSH-MS8",31530055217,"GKZZ-8KV","Female"
"LDSK-W5H",31530055218,"9CW5-MSS","Male"
"LDSK-W5H",31530055219,"LDMK-RDW","Female"
"GFR1-8PR",31530055220,"GX72-QWG","Male"
"GFR1-8PR",31530055221,"GGN2-9K8","Female"
"LDSH-9W5",31530055224,"GX7F-1V3","Male"
"LDSH-9W5",31530055225,"L179-W5T","Female"
"GGH1-7CV",31530055226,"G6RF-RWF","Male"
"GGH1-7CV",31530055227,"GXHX-Q2Y","Female"
"LDSH-S6J",31530055228,"L8TY-B3W","Male"
"LDSH-S6J",31530055229,"LDSH-3GG","Female"
"KND9-P91",31530055230,"9S9W-MPL","Male"
"KND9-P91",31530055231,"KFX1-BZD","Female"
"GXJ4-H7B",31530055424,"KJD2-PY7","Male"
"GXJ4-H7B",31530055425,"L5BL-XZC","Female"
"GD48-V6F",31530055428,"LDMK-R8Z","Male"
"GD48-V6F",31530055429,"GD22-PLT","Female"
"LDSH-MS8",31530055440,"G93L-29T","Male"
"LDSH-MS8",31530055441,"GKZZ-8KV","Female"
"LDSK-W5H",31530055442,"9CW5-MSS","Male"
"LDSK-W5H",31530055443,"LDMK-RDW","Female"
"LDSV-RVD",31530055444,"LDSH-9W5","Male"
"LDSV-RVD",31530055445,"GGH1-7CV","Female"
"LDSV-RG8",31530055446,"LDSH-S6J","Male"
"LDSV-RG8",31530055447,"KND9-P91","Female"
"G45G-VDT",31530055456,"G45G-ZQP","Male"
"G45G-VDT",31530055457,"G451-SJZ","Female"
"LDZR-77D",31530055472,"GK3W-VTQ","Male"
"LDZR-77D",31530055473,"GK3W-JGK","Female"
