"fid","ascendancy","parent","gender"
"LZLQ-664",22641362796,"9S9W-MPL","Male"
"LZLQ-664",22641362797,"KFX1-BZD","Female"
"9HTX-2CD",22641362800,"9HRG-JDL","Male"
"9HTX-2CD",22641362801,"LDH1-G9D","Female"
"G39Q-HBK",22641362802,"KX2S-NWF","Male"
"G39Q-HBK",22641362803,"L7GV-KKS","Female"
"LZGK-GZB",22641362804,"LZ8D-9DK","Male"
"LZGK-GZB",22641362805,"GK9J-9XB","Female"
"MXKR-J9R",22641362806,"9QZD-J5R","Male"
"MXKR-J9R",22641362807,"L18P-6ZG","Female"
"GLBB-B7J",22641362816,"GQZM-VZS","Male"
"GKY2-HZS",22641362818,"G2CX-F3P","Male"
"GKY2-HZS",22641362819,"G2CX-M5V","Female"
"GMWX-WW1",22641362824,"GQZM-VZS","Male"
"LCRR-KM2",22641362880,"9H6Q-VVW","Male"
"LCRR-KM2",22641362881,"9HPT-832","Female"
"LDW5-JN2",22641362882,"9C72-WGJ","Male"
"LDW5-JN2",22641362883,"9CZV-2KJ","Female"
"LD9Y-C7T",22641362884,"9SJP-9TN","Male"
"LD9Y-C7T",22641362885,"LVDV-KPT","Female"
"LD9Y-CW9",22641362886,"LZDH-NFR","Male"
"LD9Y-CW9",22641362887,"LD9C-ZGZ","Female"
"94T6-749",22641362888,"GKZ8-PM1","Male"
"94T6-749",22641362889,"GMXZ-2CC","Female"
"GLLC-968",22641362890,"G8K3-VQ8","Male"
"GLLC-968",22641362891,"G9TH-6YX","Female"
"L1DW-Q5N",22641362892,"LY5W-N6P","Male"
"L1DW-Q5N",22641362893,"LHWS-BFW","Female"
"2781-6PP",22641362894,"GDB8-4V9","Male"
"2781-6PP",22641362895,"GVZM-RKC","Female"
"L8YY-PP2",22641362896,"LCN5-99B","Male"
"L8YY-PP2",22641362897,"LYNX-745","Female"
"LT5Z-556",22641362898,"GS83-FSL","Male"
"LT5Z-556",22641362899,"GL79-7R2","Female"
"LBGF-H83",22641362900,"LRQD-FS2","Male"
"LBGF-H83",22641362901,"L5VF-6MD","Female"
"LZ56-WY6",22641362902,"GJSD-GLT","Male"
"LZ56-WY6",22641362903,"GVMD-TBD","Female"
"9CXC-B7Y",22641362904,"L1WS-BMM","Male"
"9CXC-B7Y",22641362905,"9Z8D-P68","Female"
"LZBY-TS8",22641362906,"LDMN-PWB","Male"
"LZBY-TS8",22641362907,"2NBQ-FP2","Female"
"GK9Q-S8F",22641362908,"L81Y-9GD","Male"
"GK9Q-S8F",22641362909,"LB2S-PWM","Female"
"L8YY-PZ9",22641362912,"LBBB-4XS","Male"
"L8YY-PZ9",22641362913,"LDHS-6S3","Female"
"9H65-XXK",22641362914,"L8YY-PH5","Male"
"9H65-XXK",22641362915,"KFX1-BZD","Female"
"GVD8-NJ7",22641362918,"GPSX-XT1","Male"
"GVD8-NJ7",22641362919,"GPSX-KP8","Female"
"GGZQ-BP3",22641362920,"GZ44-VYR","Male"
"GGZQ-BP3",22641362921,"GKZ8-XPF","Female"
"GHNF-BYC",22641362922,"LTCX-SR2","Male"
"GHNF-BYC",22641362923,"GKZ8-XW3","Female"
"GN8V-37D",22641362926,"LB27-YWT","Male"
"GN8V-37D",22641362927,"GWZB-NNM","Female"
"LZLG-V3F",22641362928,"L7NG-DRP","Male"
"LZLG-V3F",22641362929,"LYTH-K3C","Female"
"LH6K-2BP",22641362930,"LTT6-YJQ","Male"
