"fid","ascendancy","parent","gender"
"999Y-LF2",55840594308,"LY66-YCC","Male"
"999Y-LF2",55840594309,"L1W1-M5G","Female"
"KLYH-884",55840594310,"GKZW-XZM","Male"
"KLYH-884",55840594311,"GKPP-C4G","Female"
"MNRR-QYH",55840594312,"MWGX-168","Male"
"MNRR-QYH",55840594313,"MJ37-R9G","Female"
"LYGC-B5C",55840594314,"LB23-C6T","Male"
"LYGC-B5C",55840594315,"MJ37-R9G","Female"
"GKDY-KLB",55840594320,"9HST-9PV","Male"
"GKDY-KLB",55840594321,"GNQH-HYL","Female"
"G6MT-Z2P",55840594322,"GJND-GTY","Male"
"G6MT-Z2P",55840594323,"G6QD-G3J","Female"
"LD78-CYZ",55840594324,"LHG4-N8V","Male"
"LD78-CYZ",55840594325,"LDW2-QLB","Female"
"LZ18-LSK",55840594326,"MGTC-QTS","Male"
"LZ18-LSK",55840594327,"LB23-RVZ","Female"
"GKZZ-2QS",55840594328,"G722-QND","Male"
"GKZZ-2QS",55840594329,"G72K-F84","Female"
"LTY9-1SH",55840594336,"LY2Z-QRH","Male"
"LTY9-1SH",55840594337,"L4BQ-YTJ","Female"
"KN8P-Q1K",55840594338,"LDMK-PYT","Male"
"KN8P-Q1K",55840594339,"L1WB-GXK","Female"
"L8BY-3VJ",55840594340,"L8YY-PP2","Male"
"L8BY-3VJ",55840594341,"LT5Z-556","Female"
"94BP-X4Z",55840594342,"LBGF-H83","Male"
"94BP-X4Z",55840594343,"LZ56-WY6","Female"
"9QV2-7KT",55840594344,"GLZ7-RHB","Male"
"9QV2-7KT",55840594345,"G8WY-FX8","Female"
"MQ1V-6FB",55840594346,"94YF-JDG","Male"
"MQ1V-6FB",55840594347,"G8WY-6L8","Female"
"GGN2-XF9",55840594348,"GMNS-Q4L","Male"
"GGN2-XF9",55840594349,"GV6H-71V","Female"
"GGN2-D96",55840594350,"LDMT-HMZ","Male"
"GGN2-D96",55840594351,"LD91-ST3","Female"
"G6WW-24J",55840594432,"L7JS-L5F","Male"
"G6WW-24J",55840594433,"L7JS-LTX","Female"
"LYNR-DH4",55840594944,"LDMT-HMZ","Male"
"LYNR-DH4",55840594945,"LD91-ST3","Female"
"LZZ8-DH4",55840594946,"9CMV-DDP","Male"
"LZZ8-DH4",55840594947,"9C3F-KW6","Female"
"999Y-LF2",55840594948,"LY66-YCC","Male"
"999Y-LF2",55840594949,"L1W1-M5G","Female"
"KLYH-884",55840594950,"GKZW-XZM","Male"
"KLYH-884",55840594951,"GKPP-C4G","Female"
"MNRR-QYH",55840594952,"MWGX-168","Male"
"MNRR-QYH",55840594953,"MJ37-R9G","Female"
"LYGC-B5C",55840594954,"LB23-C6T","Male"
"LYGC-B5C",55840594955,"MJ37-R9G","Female"
"GKDY-KLB",55840594960,"9HST-9PV","Male"
"GKDY-KLB",55840594961,"GNQH-HYL","Female"
"G6MT-Z2P",55840594962,"GJND-GTY","Male"
"G6MT-Z2P",55840594963,"G6QD-G3J","Female"
"LD78-CYZ",55840594964,"LHG4-N8V","Male"
"LD78-CYZ",55840594965,"LDW2-QLB","Female"
"LZ18-LSK",55840594966,"MGTC-QTS","Male"
"LZ18-LSK",55840594967,"LB23-RVZ","Female"
"GKZZ-2QS",55840594968,"G722-QND","Male"
"GKZZ-2QS",55840594969,"G72K-F84","Female"
"LTY9-1SH",55840594976,"LY2Z-QRH","Male"
"LTY9-1SH",55840594977,"L4BQ-YTJ","Female"
"KN8P-Q1K",55840594978,"LDMK-PYT","Male"
"KN8P-Q1K",55840594979,"L1WB-GXK","Female"
"L8BY-3VJ",55840594980,"L8YY-PP2","Male"
"L8BY-3VJ",55840594981,"LT5Z-556","Female"
"94BP-X4Z",55840594982,"LBGF-H83","Male"
"94BP-X4Z",55840594983,"LZ56-WY6","Female"
"9QV2-7KT",55840594984,"GLZ7-RHB","Male"
"9QV2-7KT",55840594985,"G8WY-FX8","Female"
"MQ1V-6FB",55840594986,"94YF-JDG","Male"
"MQ1V-6FB",55840594987,"G8WY-6L8","Female"
"GGN2-XF9",55840594988,"GMNS-Q4L","Male"
"GGN2-XF9",55840594989,"GV6H-71V","Female"
"GGN2-D96",55840594990,"LDMT-HMZ","Male"
"GGN2-D96",55840594991,"LD91-ST3","Female"
"LT5N-277",55840595008,"LYNR-DH4","Male"
"LT5N-277",55840595009,"LZZ8-DH4","Female"
"9W34-T7R",55840595010,"999Y-LF2","Male"
"9W34-T7R",55840595011,"KLYH-884","Female"
"LRQW-Y9L",55840595012,"MNRR-QYH","Male"
"LRQW-Y9L",55840595013,"LYGC-B5C","Female"
"LYF2-L38",55840595014,"GGC9-MQK","Male"
"LYF2-L38",55840595015,"G3BW-ZY7","Female"
"G4B1-M6Z",55840595016,"GKDY-KLB","Male"
"G4B1-M6Z",55840595017,"G6MT-Z2P","Female"
"LZ18-L3N",55840595018,"LD78-CYZ","Male"
"LZ18-L3N",55840595019,"LZ18-LSK","Female"
"GKZZ-PBL",55840595020,"GKZZ-2QS","Male"
"GKZZ-PBL",55840595021,"G79Y-8Y8","Female"
"GLRZ-TB9",55840595022,"L5BG-D73","Male"
"9C4W-9W8",55840595056,"LDMT-HMZ","Male"
"9C4W-9W8",55840595057,"LD91-ST3","Female"
"GW9B-C8V",55840595058,"9Z8K-1H2","Male"
"LYNR-DH4",55840595064,"LDMT-HMZ","Male"
"LYNR-DH4",55840595065,"LD91-ST3","Female"
"LZZ8-DH4",55840595066,"9CMV-DDP","Male"
"LZZ8-DH4",55840595067,"9C3F-KW6","Female"
"LYNR-DH4",55840595072,"LDMT-HMZ","Male"
"LYNR-DH4",55840595073,"LD91-ST3","Female"
"LZZ8-DH4",55840595074,"9CMV-DDP","Male"
"LZZ8-DH4",55840595075,"9C3F-KW6","Female"
"999Y-LF2",55840595076,"LY66-YCC","Male"
"999Y-LF2",55840595077,"L1W1-M5G","Female"
"KLYH-884",55840595078,"GKZW-XZM","Male"
"KLYH-884",55840595079,"GKPP-C4G","Female"
"MNRR-QYH",55840595080,"MWGX-168","Male"
"MNRR-QYH",55840595081,"MJ37-R9G","Female"
"LYGC-B5C",55840595082,"LB23-C6T","Male"
"LYGC-B5C",55840595083,"MJ37-R9G","Female"
"GKDY-KLB",55840595088,"9HST-9PV","Male"
"GKDY-KLB",55840595089,"GNQH-HYL","Female"
"G6MT-Z2P",55840595090,"GJND-GTY","Male"
"G6MT-Z2P",55840595091,"G6QD-G3J","Female"
"LD78-CYZ",55840595092,"LHG4-N8V","Male"
"LD78-CYZ",55840595093,"LDW2-QLB","Female"
"LZ18-LSK",55840595094,"MGTC-QTS","Male"
"LZ18-LSK",55840595095,"LB23-RVZ","Female"
"GKZZ-2QS",55840595096,"G722-QND","Male"
"GKZZ-2QS",55840595097,"G72K-F84","Female"
"LTY9-1SH",55840595104,"LY2Z-QRH","Male"
"LTY9-1SH",55840595105,"L4BQ-YTJ","Female"
"KN8P-Q1K",55840595106,"LDMK-PYT","Male"
"KN8P-Q1K",55840595107,"L1WB-GXK","Female"
"L8BY-3VJ",55840595108,"L8YY-PP2","Male"
"L8BY-3VJ",55840595109,"LT5Z-556","Female"
"94BP-X4Z",55840595110,"LBGF-H83","Male"
"94BP-X4Z",55840595111,"LZ56-WY6","Female"
"9QV2-7KT",55840595112,"GLZ7-RHB","Male"
"9QV2-7KT",55840595113,"G8WY-FX8","Female"
"MQ1V-6FB",55840595114,"94YF-JDG","Male"
"MQ1V-6FB",55840595115,"G8WY-6L8","Female"
"GGN2-XF9",55840595116,"GMNS-Q4L","Male"
"GGN2-XF9",55840595117,"GV6H-71V","Female"
"GGN2-D96",55840595118,"LDMT-HMZ","Male"
"GGN2-D96",55840595119,"LD91-ST3","Female"
