"fid","ascendancy","parent","gender"
"9WQY-MZT",44063118034,"LTGB-3SJ","Male"
"9WQY-MZT",44063118035,"GGNP-Y62","Female"
"G2L1-F2P",44063118040,"GDB8-4V9","Male"
"G2L1-F2P",44063118041,"GVYT-JYY","Female"
"GH7C-CVR",44063118042,"GGDY-T7T","Male"
"GH7C-CVR",44063118043,"GM64-N8T","Female"
"G8DJ-NMC",44063118044,"LDW2-1TJ","Male"
"G8DJ-NMC",44063118045,"GHRD-YKD","Female"
"LCRR-KM2",44063118080,"9H6Q-VVW","Male"
"LCRR-KM2",44063118081,"9HPT-832","Female"
"LDW5-JN2",44063118082,"9C72-WGJ","Male"
"LDW5-JN2",44063118083,"9CZV-2KJ","Female"
"LD9Y-C7T",44063118084,"9SJP-9TN","Male"
"LD9Y-C7T",44063118085,"LVDV-KPT","Female"
"LD9Y-CW9",44063118086,"LZDH-NFR","Male"
"LD9Y-CW9",44063118087,"LD9C-ZGZ","Female"
"94T6-749",44063118088,"GKZ8-PM1","Male"
"94T6-749",44063118089,"GMXZ-2CC","Female"
"GLLC-968",44063118090,"G8K3-VQ8","Male"
"GLLC-968",44063118091,"G9TH-6YX","Female"
"L1DW-Q5N",44063118092,"LY5W-N6P","Male"
"L1DW-Q5N",44063118093,"LHWS-BFW","Female"
"2781-6PP",44063118094,"GDB8-4V9","Male"
"2781-6PP",44063118095,"GVZM-RKC","Female"
"L8YY-PP2",44063118096,"LCN5-99B","Male"
"L8YY-PP2",44063118097,"LYNX-745","Female"
"LT5Z-556",44063118098,"GS83-FSL","Male"
"LT5Z-556",44063118099,"GL79-7R2","Female"
"LBGF-H83",44063118100,"LRQD-FS2","Male"
"LBGF-H83",44063118101,"L5VF-6MD","Female"
"LZ56-WY6",44063118102,"GJSD-GLT","Male"
"LZ56-WY6",44063118103,"GVMD-TBD","Female"
"9CXC-B7Y",44063118104,"L1WS-BMM","Male"
"9CXC-B7Y",44063118105,"9Z8D-P68","Female"
"LZBY-TS8",44063118106,"LDMN-PWB","Male"
"LZBY-TS8",44063118107,"2NBQ-FP2","Female"
"GK9Q-S8F",44063118108,"L81Y-9GD","Male"
"GK9Q-S8F",44063118109,"LB2S-PWM","Female"
"99PT-NTZ",44063118112,"L1PB-VYC","Male"
"99PT-NTZ",44063118113,"GWQL-BY7","Female"
"G98Z-6RZ",44063118114,"LZ1T-YG5","Male"
"G98Z-6RZ",44063118115,"LZZF-5Z1","Female"
"LZ9M-HWG",44063118116,"LZPK-P7H","Male"
"LZ9M-HWG",44063118117,"GN4S-LXY","Female"
"9M85-YGM",44063118118,"L8YY-PH5","Male"
"9M85-YGM",44063118119,"KFX1-BZD","Female"
"9SBM-4NB",44063118120,"GN7R-NMC","Male"
"9SBM-4NB",44063118121,"GN7R-VGM","Female"
"GN7R-TH8",44063118122,"GVB1-XCC","Male"
"GN7R-TH8",44063118123,"G3WN-BKZ","Female"
"L8BY-3VJ",44063118124,"L8YY-PP2","Male"
"L8BY-3VJ",44063118125,"LT5Z-556","Female"
"GDKP-2XC",44063118126,"LDSH-9W5","Male"
"GDKP-2XC",44063118127,"GGH1-7CV","Female"
"99PY-ZDF",44063118128,"GSXG-5MK","Male"
"99PY-ZDF",44063118129,"GH7C-CVR","Female"
"LL43-FM6",44063118132,"G79Q-N5X","Male"
"LL43-FM6",44063118133,"L2J7-KLK","Female"
"9CMJ-R5M",44063118134,"GNSW-BNK","Male"
"9CMJ-R5M",44063118135,"GJG4-L81","Female"
"L15Q-4BH",44063118136,"LDMK-R8Z","Male"
"L15Q-4BH",44063118137,"GS6Z-RB1","Female"
"LT36-BWL",44063118138,"GVB1-XCC","Male"
"LT36-BWL",44063118139,"G3WN-BKZ","Female"
"21JJ-KNR",44063118140,"GX7F-1V3","Male"
