"fid","ascendancy","parent","gender"
"9C8T-V1R",100712802,"KF9B-5KD","Male"
"9C8T-V1R",100712803,"LDSM-3YK","Female"
"MRMP-3HL",100712804,"MQ97-2VC","Male"
"MRMP-3HL",100712805,"L812-1MZ","Female"
"LZ1V-VQ4",100712806,"GSWG-DB2","Male"
"LZ1V-VQ4",100712807,"LBVL-MQ9","Female"
"K2VH-K8W",100712808,"LHC8-6JR","Male"
"K2VH-K8W",100712809,"KFLP-MFB","Female"
"LZ1V-VWM",100712810,"LZRK-CCF","Male"
"LZ1V-VWM",100712811,"9QVB-7RT","Female"
"LY9J-4WR",100712812,"99K2-81M","Male"
"LY9J-4WR",100712813,"GQG5-837","Female"
"LBP9-Y7L",100712814,"LYX5-G1F","Male"
"LBP9-Y7L",100712815,"GLMF-YNM","Female"
"KNZL-TD2",100712816,"LDSM-QML","Male"
"KNZL-TD2",100712817,"L1H7-X4B","Female"
"GGH6-7FP",100712818,"LZ1V-VL6","Male"
"GGH6-7FP",100712819,"LZ1V-VGX","Female"
"LZ1V-VZ8",100712820,"M1JV-6Z9","Male"
"LZ1V-VZ8",100712821,"LZ1V-V5P","Female"
"LZ1V-V82",100712822,"LYD7-TB9","Male"
"LZ1V-V82",100712823,"9C8T-V1R","Female"
"L5NS-NQZ",100712824,"K8MK-32G","Male"
"L5NS-NQZ",100712825,"LDMD-8L3","Female"
"LVQ1-Y27",100712826,"KD97-8CN","Male"
"LVQ1-Y27",100712827,"LDMD-8L3","Female"
"MBGY-XGK",100712828,"MBBD-8D4","Male"
"MBGY-XGK",100712829,"9CQP-NH9","Female"
"GQBL-VL5",100712830,"LZBY-5LP","Male"
"GQBL-VL5",100712831,"GGKP-P28","Female"
"GHCV-WWW",100712832,"KT7X-SZX","Male"
"GHCV-WWW",100712833,"GD4M-R4G","Female"
"LRG1-K3W",100712834,"GX9G-K27","Male"
"LRG1-K3W",100712835,"G98Z-D11","Female"
"G2LB-GSC",100712848,"GVZM-6V7","Male"
"G2LB-GSC",100712849,"L8MP-T19","Female"
"G6C7-17F",100712850,"LD39-T1R","Male"
"G6C7-17F",100712851,"LD4B-PM4","Female"
"GS3B-8XQ",100712852,"9ZH7-L8M","Male"
"GS3B-8XQ",100712853,"LDHV-PXR","Female"
"M72H-41N",100712854,"G2LB-GSC","Male"
"M72H-41N",100712855,"G6C7-17F","Female"
"GCQY-66S",100712864,"LZDJ-5MR","Male"
"GCQY-66S",100712865,"GG5T-73Z","Female"
"G8G5-GZ4",100712868,"G3K4-81L","Male"
"G8G5-GZ4",100712869,"LR4D-Y9F","Female"
"GXTH-YFM",100712870,"GHNG-5G1","Male"
"GXTH-YFM",100712871,"GHNG-RT5","Female"
"L7F2-H8W",100712880,"G3QM-FWQ","Male"
"L7F2-H8W",100712881,"LK5G-8Z4","Female"
"L7F2-C7G",100712882,"9QQC-56H","Male"
"G2LB-GSC",100712888,"GVZM-6V7","Male"
"G2LB-GSC",100712889,"L8MP-T19","Female"
"G6C7-17F",100712890,"LD39-T1R","Male"
"G6C7-17F",100712891,"LD4B-PM4","Female"
"GS3B-8XQ",100712892,"9ZH7-L8M","Male"
"GS3B-8XQ",100712893,"LDHV-PXR","Female"
"M72H-41N",100712894,"G2LB-GSC","Male"
"M72H-41N",100712895,"G6C7-17F","Female"
"GCQF-5VG",100712896,"GQ88-GXC","Male"
"GCQF-5VG",100712897,"GMNG-379","Female"
"LZXY-7CD",100712898,"GSY8-N8K","Male"
"LZXY-7CD",100712899,"LJR1-26S","Female"
"LZS9-B75",100712900,"G49D-7VL","Male"
"LZS9-B75",100712901,"LHT5-R49","Female"
"GMNR-ZJD",100712902,"G8CR-TD5","Male"
"GMNR-ZJD",100712903,"G2PR-CN1","Female"
"LVPJ-ZDR",100712904,"G3BW-WCD","Male"
"9S8J-7ZT",100712906,"L22B-599","Male"
"9S8J-7ZT",100712907,"LYBY-1W3","Female"
"9HTG-9V9",100712908,"9HGZ-QJD","Male"
