"fid","ascendancy","parent","gender"
"GCQV-3WJ",114322640434,"LTX5-SQZ","Male"
"GCQV-3WJ",114322640435,"GKV7-XJV","Female"
"LTTZ-YL8",114322640436,"L8TJ-5XS","Male"
"LYSG-SY9",114322640438,"LJG4-5YW","Male"
"LYSG-SY9",114322640439,"GH91-DSB","Female"
"9Z4V-273",114322640440,"G2WT-41W","Male"
"9Z4V-273",114322640441,"GVSF-K9H","Female"
"GVWH-735",114322640442,"GJ97-9MF","Male"
"GVWH-735",114322640443,"GJGG-3FH","Female"
"G3C6-4D2",114322640512,"G3C6-W86","Male"
"GLLS-ZT9",114322640520,"G3C6-88R","Male"
"GLLS-ZT9",114322640521,"L24Y-7KP","Female"
"G6CJ-JJ5",114322640524,"G6CJ-CBF","Male"
"G6CJ-JJ5",114322640525,"G6CJ-TWM","Female"
"GX8L-X3Q",114322640624,"L1QG-G8M","Male"
"GX8L-X3Q",114322640625,"LD97-QLP","Female"
"GCQV-3WJ",114322640626,"LTX5-SQZ","Male"
"GCQV-3WJ",114322640627,"GKV7-XJV","Female"
"LTTZ-YL8",114322640628,"L8TJ-5XS","Male"
"LYSG-SY9",114322640630,"LJG4-5YW","Male"
"LYSG-SY9",114322640631,"GH91-DSB","Female"
"9Z4V-273",114322640632,"G2WT-41W","Male"
"9Z4V-273",114322640633,"GVSF-K9H","Female"
"GVWH-735",114322640634,"GJ97-9MF","Male"
"GVWH-735",114322640635,"GJGG-3FH","Female"
"LD33-387",114322640640,"G2Z2-CKV","Male"
"LD33-387",114322640641,"LB9Q-2R2","Female"
"GLMM-ZVK",114322640642,"G83Y-DRR","Male"
"GLMM-ZVK",114322640643,"G83Y-MFL","Female"
"LCCR-Z5Z",114322640660,"GVHW-NRT","Male"
"LCCR-Z5Z",114322640661,"GKJV-BPC","Female"
"GZ7L-WGP",114322640664,"L2Y4-PVS","Male"
"GZ7L-WGP",114322640665,"LRHH-6SF","Female"
"GCKD-YVB",114322640666,"LV57-XVZ","Male"
"GCKD-YVB",114322640667,"GX8W-RVQ","Female"
"9WQT-DRR",114322640668,"G6PH-CW6","Male"
"9WQT-DRR",114322640669,"G8W1-NFV","Female"
"GHXP-711",114322640670,"LKC4-6WB","Male"
"GHXP-711",114322640671,"LKCH-N9Q","Female"
"9HYQ-M4G",114322640704,"G7XJ-1LY","Male"
"9HYQ-M4G",114322640705,"GL2J-F24","Female"
"GJGW-QM6",114322640706,"GGL4-859","Male"
"GJGW-QM6",114322640707,"GGL4-6DG","Female"
"LZ19-924",114322640708,"LZF6-M94","Male"
"LZ19-924",114322640709,"GWW8-LWR","Female"
"GL5F-YH1",114322640710,"GGHH-9CK","Male"
"GL5F-YH1",114322640711,"GGHH-4HZ","Female"
"LZS9-ZC2",114322640720,"9HYQ-M4G","Male"
"LZS9-ZC2",114322640721,"GJGW-QM6","Female"
"LZ61-F76",114322640722,"LZ19-924","Male"
"LZ61-F76",114322640723,"GL5F-YH1","Female"
"KZPV-BQM",114322640724,"L8RR-4KG","Male"
"KZPV-BQM",114322640725,"99QT-MCB","Female"
"GGTM-B2D",114322640730,"G792-Y4T","Male"
"GGTM-B2D",114322640731,"GK5F-4LY","Female"
"L1WT-FRN",114322640736,"GZRK-SFB","Male"
"L1WT-FRN",114322640737,"GVSP-WS2","Female"
"L1WY-QMZ",114322640738,"GHKB-C3J","Male"
"L1WY-QMZ",114322640739,"L5DR-KL8","Female"
"LB5R-TH8",114322640740,"KDQW-JTJ","Male"
"LB5R-TH8",114322640741,"LDS9-GGV","Female"
"LDHQ-P5F",114322640742,"LD9R-RB7","Male"
"LDHQ-P5F",114322640743,"LDSS-6H5","Female"
"LBJ9-GZ4",114322640744,"9ZH7-GMD","Male"
"LBJ9-GZ4",114322640745,"MBYH-395","Female"
"KZPP-B68",114322640746,"G7ZN-5DF","Male"
"L18B-R3G",114322640748,"G2TZ-96Y","Male"
"L18B-R3G",114322640749,"G2T8-97Z","Female"
"KDQH-DJG",114322640750,"L1DD-JMP","Male"
"KDQH-DJG",114322640751,"9WY9-HRJ","Female"
"G6LL-9YC",114322640810,"GKQB-L85","Male"
"G6LL-9YC",114322640811,"GKQB-CRF","Female"
"GWKF-XY9",114322640832,"G8WB-MGZ","Male"
"GWKF-XY9",114322640833,"GZ11-7D6","Female"
"GWKF-FBF",114322640834,"GV1G-PNW","Male"
"GWKF-FBF",114322640835,"GG1L-1ZJ","Female"
"9HV8-NVS",114322640840,"G9BS-LX8","Male"
"9HV8-NVS",114322640841,"G9B3-97G","Female"
"L2TT-6C2",114322640842,"GJMD-5G3","Male"
"L2TT-6C2",114322640843,"GJM6-MPH","Female"
"GQPW-7XG",114322640856,"GX55-2RX","Male"
"GDTQ-S2P",114322640872,"GH5Y-9HC","Male"
"GDTQ-S2P",114322640873,"G6TX-KJJ","Female"
"G2LB-FNQ",114322640876,"G7JZ-38S","Male"
"G2LB-FNQ",114322640877,"GGNR-Q7R","Female"
"G6CD-BPD",114322640878,"G6TX-FRV","Male"
"GDTQ-S2P",114322640880,"GH5Y-9HC","Male"
"GDTQ-S2P",114322640881,"G6TX-KJJ","Female"
"G2LB-FNQ",114322640884,"G7JZ-38S","Male"
"G2LB-FNQ",114322640885,"GGNR-Q7R","Female"
"G6CD-BPD",114322640886,"G6TX-FRV","Male"
"GHLW-6RL",114322642944,"G6BV-5KD","Male"
"GHLW-6RL",114322642945,"G6BV-FB2","Female"
"9Z8X-1VX",114322643112,"L2SG-RHC","Male"
"9Z8X-1VX",114322643113,"GX4P-D1J","Female"
"9Z8X-1VF",114322643114,"9Z4Y-476","Male"
"9Z8X-1VF",114322643115,"G396-J2Q","Female"
"9Z8X-1VX",114322643240,"L2SG-RHC","Male"
"9Z8X-1VX",114322643241,"GX4P-D1J","Female"
"9Z8X-1VF",114322643242,"9Z4Y-476","Male"
"9Z8X-1VF",114322643243,"G396-J2Q","Female"
"L1R3-QH7",114322643264,"LD9R-5PH","Male"
"L1R3-QH7",114322643265,"LZM1-YM9","Female"
"G7FT-2RB",114322643266,"GNT3-GY5","Male"
"G7FT-2RB",114322643267,"GNT3-KGM","Female"
"L18B-R3G",114322643268,"G2TZ-96Y","Male"
"L18B-R3G",114322643269,"G2T8-97Z","Female"
"KDQH-DJG",114322643270,"L1DD-JMP","Male"
"KDQH-DJG",114322643271,"9WY9-HRJ","Female"
"99Y7-MCD",114322643280,"KN8N-WHW","Male"
"99Y7-MCD",114322643281,"9SYL-S5H","Female"
"LBKM-9MP",114322643282,"G67W-G57","Male"
"LBKM-9MP",114322643283,"MZHC-RBM","Female"
"L1QG-G8M",114322643284,"LDFZ-8Q1","Male"
"L1QG-G8M",114322643285,"LHPZ-VGH","Female"
"LDW5-66P",114322643288,"LD9R-RB7","Male"
"LDW5-66P",114322643289,"LDSS-6H5","Female"
"LDW5-623",114322643290,"LDMT-HMZ","Male"
"LDW5-623",114322643291,"LD91-ST3","Female"
"KCXK-S69",114322643292,"L8MB-ZMK","Male"
"KCXK-S69",114322643293,"MB1Q-ZWW","Female"
"GJR2-7VD",114322643294,"LDMT-W6R","Male"
"GJR2-7VD",114322643295,"LT83-H6M","Female"
"99Y7-MCD",114322643312,"KN8N-WHW","Male"
"99Y7-MCD",114322643313,"9SYL-S5H","Female"
"LBKM-9MP",114322643314,"G67W-G57","Male"
"LBKM-9MP",114322643315,"MZHC-RBM","Female"
"L1QG-G8M",114322643316,"LDFZ-8Q1","Male"
"L1QG-G8M",114322643317,"LHPZ-VGH","Female"
"LDW5-66P",114322643320,"LD9R-RB7","Male"
"LDW5-66P",114322643321,"LDSS-6H5","Female"
"LDW5-623",114322643322,"LDMT-HMZ","Male"
"LDW5-623",114322643323,"LD91-ST3","Female"
"KCXK-S69",114322643324,"L8MB-ZMK","Male"
"KCXK-S69",114322643325,"MB1Q-ZWW","Female"
"GJR2-7VD",114322643326,"LDMT-W6R","Male"
"GJR2-7VD",114322643327,"LT83-H6M","Female"
"GH49-9QR",114322643424,"LYKM-77Q","Male"
"GH49-9QR",114322643425,"G9KN-N8D","Female"
"LZGK-GZB",114322643440,"LZ8D-9DK","Male"
"LZGK-GZB",114322643441,"GK9J-9XB","Female"
"MXKR-J9R",114322643442,"9QZD-J5R","Male"
"MXKR-J9R",114322643443,"L18P-6ZG","Female"
"9HTX-2CD",114322643444,"9HRG-JDL","Male"
"9HTX-2CD",114322643445,"LDH1-G9D","Female"
"G39Q-HBK",114322643446,"KX2S-NWF","Male"
"G39Q-HBK",114322643447,"L7GV-KKS","Female"
"GHD2-HFW",114322643448,"GNMT-9B8","Male"
"GHD2-HFW",114322643449,"GQMB-LY2","Female"
"GGNF-TFK",114322643450,"G2L1-NGS","Male"
"GGNF-TFK",114322643451,"LYS8-8T1","Female"
"LDST-G1M",114322643452,"LDST-GBG","Male"
"LDST-G1M",114322643453,"GQHJ-RF8","Female"
"GSCT-6ST",114322643454,"L8YB-MKM","Male"
"GSCT-6ST",114322643455,"GGRB-NL2","Female"
"GS1S-S2X",114322643992,"LTX5-SQZ","Male"
"GS1S-S2X",114322643993,"L5K3-3D7","Female"
"G9KN-N8D",114322643994,"G7PX-SZB","Male"
"G9KN-N8D",114322643995,"GNCF-W7M","Female"
"GX31-5F4",114322644240,"GMQG-KX6","Male"
"GX31-5F4",114322644241,"GMQG-NCC","Female"
"GX31-643",114322644242,"G6NX-3WV","Male"
"GX31-643",114322644243,"G6NX-8RG","Female"
"GX31-N1J",114322644244,"G6NX-34S","Male"
"GX31-N1J",114322644245,"G6NX-NC3","Female"
"99F5-LL8",114322644256,"GKYZ-8KF","Male"
"99F5-LL8",114322644257,"GGPV-1Q4","Female"
"GKTB-B1Z",114322644480,"G2HP-25F","Male"
"LYCG-D4Z",114322644512,"GJT8-PTZ","Male"
"LYCG-QZM",114322644514,"KZRV-GQV","Male"
"L1T9-XNV",114322644544,"LKZR-YQ2","Male"
"LKZR-TT4",114322644546,"GVJY-2MF","Male"
"GGQM-ZY2",114322644592,"GLJW-P89","Male"
"GXDM-3H9",114322644604,"G6LT-J5Y","Male"
"GXDM-3H9",114322644605,"GLR8-DFC","Female"
"GX31-5F4",114322644752,"GMQG-KX6","Male"
"GX31-5F4",114322644753,"GMQG-NCC","Female"
"GX31-643",114322644754,"G6NX-3WV","Male"
"GX31-643",114322644755,"G6NX-8RG","Female"
"GX31-N1J",114322644756,"G6NX-34S","Male"
"GX31-N1J",114322644757,"G6NX-NC3","Female"
"99F5-LL8",114322644768,"GKYZ-8KF","Male"
"99F5-LL8",114322644769,"GGPV-1Q4","Female"
"LR72-2LH",114322644996,"KFK5-ZL5","Male"
"LR72-2LH",114322644997,"LBCC-DW3","Female"
"GXJ6-KX3",114322645024,"9CXH-K9T","Male"
"GXJ6-KX3",114322645025,"GN9F-58F","Female"
"LZDL-KZD",114322645026,"G4R1-9T3","Male"
"LZDL-KZD",114322645027,"G66G-JFN","Female"
"G8XJ-QH9",114322645028,"GHD2-HFW","Male"
"G8XJ-QH9",114322645029,"GGNF-TFK","Female"
"LVL1-K2M",114322645030,"LVL1-K22","Male"
"LVL1-K2M",114322645031,"G66G-JBR","Female"
"L1R3-QH7",114322647072,"LD9R-5PH","Male"
"L1R3-QH7",114322647073,"LZM1-YM9","Female"
"G7FT-2RB",114322647074,"GNT3-GY5","Male"
"G7FT-2RB",114322647075,"GNT3-KGM","Female"
"L18B-R3G",114322647076,"G2TZ-96Y","Male"
"L18B-R3G",114322647077,"G2T8-97Z","Female"
"KDQH-DJG",114322647078,"L1DD-JMP","Male"
"KDQH-DJG",114322647079,"9WY9-HRJ","Female"
"99Y7-MCD",114322647088,"KN8N-WHW","Male"
"99Y7-MCD",114322647089,"9SYL-S5H","Female"
"LBKM-9MP",114322647090,"G67W-G57","Male"
"LBKM-9MP",114322647091,"MZHC-RBM","Female"
"L1QG-G8M",114322647092,"LDFZ-8Q1","Male"
"L1QG-G8M",114322647093,"LHPZ-VGH","Female"
"LDW5-66P",114322647096,"LD9R-RB7","Male"
"LDW5-66P",114322647097,"LDSS-6H5","Female"
"LDW5-623",114322647098,"LDMT-HMZ","Male"
"LDW5-623",114322647099,"LD91-ST3","Female"
"KCXK-S69",114322647100,"L8MB-ZMK","Male"
"KCXK-S69",114322647101,"MB1Q-ZWW","Female"
"GJR2-7VD",114322647102,"LDMT-W6R","Male"
"GJR2-7VD",114322647103,"LT83-H6M","Female"
"GLQM-3ZD",114322647360,"GL3V-W9K","Male"
"LBST-K27",114322647378,"K84R-TMS","Male"
"LBST-K27",114322647379,"GGGW-RYH","Female"
"LZLW-SZN",114322647490,"GNCQ-3S3","Male"
"LZLW-SZN",114322647491,"GF8Z-GSZ","Female"
