"fid","ascendancy","parent","gender"
"G6T4-VS4",28151395304,"GW1V-6D9","Male"
"29YL-C18",28151395308,"GX5G-839","Male"
"29YL-C18",28151395309,"L87D-4PX","Female"
"9CCZ-PKB",28151395312,"9Z8P-D5J","Male"
"9CCZ-PKB",28151395313,"MHPT-LNL","Female"
"L75S-MVR",28151395314,"G2HQ-H3Y","Male"
"L75S-MVR",28151395315,"G2HQ-4SW","Female"
"GFDK-48G",28151395316,"GFDK-XX3","Male"
"GFDK-48G",28151395317,"GVJP-DFV","Female"
"GD2L-TGY",28151395320,"GCQF-WFQ","Male"
"GD2L-TGY",28151395321,"LKDQ-8DY","Female"
"G6R8-7WV",28151395324,"9CWG-P3Q","Male"
"G6R8-7WV",28151395325,"LCZD-G2Y","Female"
"L7GV-JX4",28151395326,"G8W1-9VC","Male"
"L7GV-JX4",28151395327,"LCZD-G2Y","Female"
"9HFS-5L6",28151395328,"M338-1VR","Male"
"9HFS-5L6",28151395329,"M338-1KK","Female"
"9CSK-LNJ",28151395332,"G94Q-8SY","Male"
"9CSK-LNJ",28151395333,"G6RT-9MK","Female"
"GK1B-VM4",28151395334,"GZ54-6L6","Male"
"GK1B-VM4",28151395335,"GDHG-2QR","Female"
"GGD3-D92",28151395336,"G6T7-827","Male"
"GGD3-D92",28151395337,"LJYJ-Z6W","Female"
"GX56-KLT",28151395338,"GQ5K-8HW","Male"
"GX56-KLT",28151395339,"G6Y7-FRQ","Female"
"G94Q-8SY",28151395340,"L1P1-X8G","Male"
"G94Q-8SY",28151395341,"GZ7N-HW6","Female"
"G6RT-9MK",28151395342,"KCX4-WPN","Male"
"G6RT-9MK",28151395343,"L14D-MYQ","Female"
"LZ48-4FD",28151395344,"LDZR-77D","Male"
"LZ48-4FD",28151395345,"GVF3-NY7","Female"
"9HMZ-FQH",28151395346,"GWH7-Y5B","Male"
"9HMZ-FQH",28151395347,"GWH7-YR9","Female"
"2Z98-QKN",28151395348,"GGD3-D92","Male"
"2Z98-QKN",28151395349,"GX56-KLT","Female"
"GDCF-ZCT",28151395350,"G94Q-8SY","Male"
"GDCF-ZCT",28151395351,"G6RT-9MK","Female"
"LH7S-18K",28151395352,"LDW2-7WW","Male"
"LH7S-18K",28151395353,"LH7S-12Y","Female"
"LDSV-5Q1",28151395354,"LDSQ-XRK","Male"
"LDSV-5Q1",28151395355,"LCFL-9DP","Female"
"G78J-89D",28151395360,"G78J-DQ6","Male"
"G78J-89D",28151395361,"GHTQ-77F","Female"
"G78J-DQ6",28151395376,"GJMG-75Y","Male"
"G78J-DQ6",28151395377,"G78J-NMT","Female"
"9HYM-HK4",28151395392,"9HGR-GSQ","Male"
"9HYM-HK4",28151395393,"G38X-RN3","Female"
"LZ48-4FD",28151395396,"LDZR-77D","Male"
"LZ48-4FD",28151395397,"GVF3-NY7","Female"
"9HMZ-FQH",28151395398,"GWH7-Y5B","Male"
"9HMZ-FQH",28151395399,"GWH7-YR9","Female"
"LDSQ-XRK",28151395408,"LDSK-V77","Male"
"LDSQ-XRK",28151395409,"LDSQ-F68","Female"
"LCFL-9DP",28151395410,"LB27-YWT","Male"
"LCFL-9DP",28151395411,"GWZB-NNM","Female"
"KDQW-JTJ",28151395412,"9HTX-2CD","Male"
"KDQW-JTJ",28151395413,"G39Q-HBK","Female"
"LDS9-GGV",28151395414,"LZGK-GZB","Male"
"LDS9-GGV",28151395415,"MXKR-J9R","Female"
"9MWR-GHW",28151395416,"K8M3-FZQ","Male"
"9MWR-GHW",28151395417,"LVDF-9DW","Female"
"LZ1V-KT6",28151395418,"MBPN-4DK","Male"
"LZ1V-KT6",28151395419,"9H9K-FVG","Female"
"9WL8-7LY",28151395420,"L8RK-RPS","Male"
"9WL8-7LY",28151395421,"LJG8-9LJ","Female"
"LBJR-K79",28151395422,"LYNF-SFN","Male"
"LBJR-K79",28151395423,"GJQD-6SP","Female"
"LTBC-FCG",28151395424,"LZZ9-DZP","Male"
"LTBC-FCG",28151395425,"LYXN-DBC","Female"
"GZL8-FGB",28151395426,"G8R1-HG3","Male"
"GZL8-FGB",28151395427,"GKZZ-P14","Female"
"GKZZ-34B",28151395428,"M6YB-X4X","Male"
"GKZZ-34B",28151395429,"GZRK-8NP","Female"
"L1P1-GLB",28151395430,"L8YJ-SXF","Male"
"L1P1-GLB",28151395431,"L5YX-NJM","Female"
"LDSV-P4D",28151395440,"LDSW-YMB","Male"
"LDSV-P4D",28151395441,"LDSW-YSL","Female"
"LDSV-PC1",28151395442,"LDSV-RVD","Male"
"LDSV-PC1",28151395443,"LDSV-RG8","Female"
"LH7S-18K",28151395444,"LDW2-7WW","Male"
"LH7S-18K",28151395445,"LH7S-12Y","Female"
"LDSV-5Q1",28151395446,"LDSQ-XRK","Male"
"LDSV-5Q1",28151395447,"LCFL-9DP","Female"
"LZ48-4FD",28151395448,"LDZR-77D","Male"
"LZ48-4FD",28151395449,"GVF3-NY7","Female"
"9HMZ-FQH",28151395450,"GWH7-Y5B","Male"
"9HMZ-FQH",28151395451,"GWH7-YR9","Female"
"2Z98-QKN",28151395452,"GGD3-D92","Male"
"2Z98-QKN",28151395453,"GX56-KLT","Female"
"GDCF-ZCT",28151395454,"G94Q-8SY","Male"
"GDCF-ZCT",28151395455,"G6RT-9MK","Female"
"G7V2-277",28151395456,"G38D-W4L","Male"
"G7V2-277",28151395457,"G388-5KB","Female"
"GN24-F46",28151395488,"GWZL-JL7","Male"
"GN24-F46",28151395489,"L18J-5JC","Female"
"GJ98-8FX",28151395520,"LYLP-MLV","Male"
"LH2L-C28",28151395524,"GHTQ-CF6","Male"
"LH2L-C28",28151395525,"GJ3W-QMB","Female"
"MGTC-QTS",28151395584,"LZ48-4FD","Male"
"MGTC-QTS",28151395585,"9HMZ-FQH","Female"
"LB23-RVZ",28151395586,"2Z98-QKN","Male"
"LB23-RVZ",28151395587,"GDCF-ZCT","Female"
"9HNL-1HB",28151395588,"G2S2-PGN","Male"
"9HNL-1HB",28151395589,"GFXP-NMG","Female"
"L1TH-HRK",28151395591,"G2C6-3C9","Female"
"GLB9-C37",28151395592,"LDSQ-XRK","Male"
"GLB9-C37",28151395593,"LCFL-9DP","Female"
"G2YH-9WG",28151395594,"KDQW-JTJ","Male"
"G2YH-9WG",28151395595,"LDS9-GGV","Female"
"GLW3-1SY",28151395596,"9MWR-GHW","Male"
"GLW3-1SY",28151395597,"LZ1V-KT6","Female"
"998F-RBL",28151395598,"9WL8-7LY","Male"
"998F-RBL",28151395599,"LBJR-K79","Female"
"G95D-VPB",28151395600,"KP3F-CGB","Male"
"G95D-VPB",28151395601,"9HM8-Q8C","Female"
"94N6-VR2",28151395602,"GQFT-341","Male"
"94N6-VR2",28151395603,"9CXH-C73","Female"
"LBQ7-VCK",28151395608,"GG2T-QKL","Male"
"998F-RYD",28151395616,"GLB9-C37","Male"
"998F-RYD",28151395617,"G2YH-9WG","Female"
"9WYV-M96",28151395618,"GLW3-1SY","Male"
"9WYV-M96",28151395619,"998F-RBL","Female"
"LZ1V-KTQ",28151395620,"9MWR-GHW","Male"
"LZ1V-KTQ",28151395621,"LZ1V-KT6","Female"
"GDN3-LQK",28151395622,"LH8G-2RH","Male"
"GDN3-LQK",28151395623,"LDW2-7JJ","Female"
"G468-KW6",28151395624,"L4JG-RRY","Male"
"G468-KW6",28151395625,"GLQ1-7ML","Female"
"GWLB-Q3R",28151395628,"GWLB-9FC","Male"
"GWLB-Q3R",28151395629,"GWLB-QQS","Female"
"L1Y9-2YH",28151395632,"GCWL-CDJ","Male"
"L1Y9-2YH",28151395633,"GJ1J-Y7X","Female"
"LYZ9-HQJ",28151395652,"M33D-SL2","Male"
"LYZ9-HQJ",28151395653,"GQXS-8NN","Female"
"MYBX-C2G",28151395654,"MGTC-QTS","Male"
"MYBX-C2G",28151395655,"LB23-RVZ","Female"
"L1TH-CHT",28151395656,"G7XP-LJM","Male"
"L1TH-CHT",28151395657,"G84M-91N","Female"
"L1TH-WV2",28151395658,"GSHZ-VZR","Male"
"L1TH-WV2",28151395659,"GSHZ-JCQ","Female"
"LYZ9-HQJ",28151395660,"M33D-SL2","Male"
"LYZ9-HQJ",28151395661,"GQXS-8NN","Female"
"9SM1-17D",28151395662,"LDSV-P4D","Male"
"9SM1-17D",28151395663,"LDSV-PC1","Female"
"LYGH-JR3",28151395712,"LD9R-RB7","Male"
"LYGH-JR3",28151395713,"LDSS-6H5","Female"
"L8WY-474",28151395714,"9H19-J7X","Male"
"L8WY-474",28151395715,"9H19-J7B","Female"
"9C8M-C8L",28151395716,"GSXR-ZTK","Male"
"9C8M-C8L",28151395717,"L1B9-5FC","Female"
"GH7W-LP9",28151395718,"G2QK-94H","Male"
"GH7W-LP9",28151395719,"G75J-1J1","Female"
"GLB9-C37",28151395720,"LDSQ-XRK","Male"
"GLB9-C37",28151395721,"LCFL-9DP","Female"
"G2YH-9WG",28151395722,"KDQW-JTJ","Male"
"G2YH-9WG",28151395723,"LDS9-GGV","Female"
"GLW3-1SY",28151395724,"9MWR-GHW","Male"
"GLW3-1SY",28151395725,"LZ1V-KT6","Female"
"998F-RBL",28151395726,"9WL8-7LY","Male"
"998F-RBL",28151395727,"LBJR-K79","Female"
"GCZN-9ZR",28151395728,"G8W1-GHD","Male"
"G6CS-5L8",28151395732,"G8WB-7SG","Male"
"G6CS-5L8",28151395733,"GK2L-QJ9","Female"
"G8XT-D64",28151395734,"G6CS-G3M","Male"
"GQ1S-8Z6",28151395736,"GK5X-Y6C","Male"
"GQ1S-8Z6",28151395737,"GGHM-SHT","Female"
"GL5F-2BT",28151395738,"GLHT-H9Z","Male"
"GJ8K-PWG",28151395744,"LDSK-NZJ","Male"
"GJ8K-PWG",28151395745,"LDSH-S2T","Female"
"LJYH-M8G",28151395746,"GW69-B2J","Male"
"LJYH-M8G",28151395747,"GXQD-1QL","Female"
"LJ4D-ZCK",28151395749,"GVHV-7WD","Female"
"LJ4D-ZCK",28151395748,"G9G8-ZCS","Male"
"9S1L-ZP2",28151395750,"G6Z5-SS2","Male"
"9S1L-ZP2",28151395751,"GX7W-7JP","Female"
"LZGQ-LJX",28151395752,"KDQW-JTJ","Male"
"LZGQ-LJX",28151395753,"LDS9-GGV","Female"
"KDQH-DJG",28151395754,"L1DD-JMP","Male"
"KDQH-DJG",28151395755,"9WY9-HRJ","Female"
"GL9R-YL9",28151395756,"LD95-VV6","Male"
"GL9R-YL9",28151395757,"9H2F-HV5","Female"
"LDHQ-P5F",28151395758,"LD9R-RB7","Male"
"LDHQ-P5F",28151395759,"LDSS-6H5","Female"
"9CXC-QVJ",28151395760,"K4J2-DJH","Male"
"9CXC-QVJ",28151395761,"GKFF-LK8","Female"
"LCRK-1WX",28151395762,"M1TK-NPC","Male"
"LCRK-1WX",28151395763,"GKFN-QJJ","Female"
"KHQ6-TFB",28151395764,"LD97-CH9","Male"
"KHQ6-TFB",28151395765,"KH4Q-2SB","Female"
"LDSM-H39",28151395766,"94YF-JDG","Male"
"LDSM-H39",28151395767,"G8WY-6L8","Female"
"G4FD-78X",28151395768,"GJSD-CLD","Male"
"G4FD-78X",28151395769,"GDV6-4BP","Female"
"GJWS-475",28151395770,"GZRS-MDS","Male"
"GJWS-475",28151395771,"9QQJ-DCB","Female"
"G3SD-DNY",28151395772,"GKH2-284","Male"
"G3SD-DNY",28151395773,"L1HH-YZM","Female"
"GX47-24Y",28151395774,"G8F9-CC5","Male"
"GX47-24Y",28151395775,"L1HG-6TJ","Female"
"G95D-VPB",28151395776,"KP3F-CGB","Male"
"G95D-VPB",28151395777,"9HM8-Q8C","Female"
"94N6-VR2",28151395778,"GQFT-341","Male"
"94N6-VR2",28151395779,"9CXH-C73","Female"
"LBQ7-VCK",28151395784,"GG2T-QKL","Male"
"GLB9-C37",28151395792,"LDSQ-XRK","Male"
"GLB9-C37",28151395793,"LCFL-9DP","Female"
"G2YH-9WG",28151395794,"KDQW-JTJ","Male"
"G2YH-9WG",28151395795,"LDS9-GGV","Female"
