"fid","ascendancy","parent","gender"
"GGG7-ZFW",45199772386,"9HGT-9DR","Male"
"GGG7-ZFW",45199772387,"LYVS-QHK","Female"
"9STQ-HGV",45199772388,"KH8K-8HK","Male"
"9STQ-HGV",45199772389,"MLB6-5NL","Female"
"LDGP-6LG",45199772392,"G6QK-DSD","Male"
"LDGP-6LG",45199772393,"KDQW-FYD","Female"
"KC5N-C3N",45199772394,"9ZH7-6PG","Male"
"KC5N-C3N",45199772395,"9QQN-G1J","Female"
"LRBK-WPN",45199772396,"LHRH-LVR","Male"
"LRBK-WPN",45199772397,"L8YM-JSK","Female"
"9WWL-HYB",45199772398,"GJGT-QFP","Male"
"9WWL-HYB",45199772399,"GF1M-Y9H","Female"
"LCB7-3YS",45199772400,"GZBX-QC4","Male"
"LCB7-3YS",45199772401,"29WW-38Z","Female"
"L8T3-L1F",45199772402,"L22D-6BW","Male"
"L8T3-L1F",45199772403,"G7GL-CV5","Female"
"LYV5-RQ5",45199772404,"L2VZ-N2D","Male"
"LYV5-RQ5",45199772405,"M1JC-CL1","Female"
"L1QP-JJ6",45199772406,"GXJZ-L48","Male"
"L1QP-JJ6",45199772407,"GXVG-7M3","Female"
"G9Z2-7RY",45199772408,"9M8D-Z1Y","Male"
"G9Z2-7RY",45199772409,"LBHH-4MZ","Female"
"L4BD-6XM",45199772410,"KHLT-M98","Male"
"L4BD-6XM",45199772411,"LZXB-YHN","Female"
"L528-M9W",45199772412,"LDLH-DPL","Male"
"L528-M9W",45199772413,"GDGN-6LZ","Female"
"L812-24W",45199772414,"LYDP-KBK","Male"
"L812-24W",45199772415,"LBD9-6NQ","Female"
"LD33-387",45199772480,"G2Z2-CKV","Male"
"LD33-387",45199772481,"LB9Q-2R2","Female"
"GLMM-ZVK",45199772482,"G83Y-DRR","Male"
"GLMM-ZVK",45199772483,"G83Y-MFL","Female"
"LCCR-Z5Z",45199772500,"GVHW-NRT","Male"
"LCCR-Z5Z",45199772501,"GKJV-BPC","Female"
"GZ7L-WGP",45199772504,"L2Y4-PVS","Male"
"GZ7L-WGP",45199772505,"LRHH-6SF","Female"
"GCKD-YVB",45199772506,"LV57-XVZ","Male"
"GCKD-YVB",45199772507,"GX8W-RVQ","Female"
"9WQT-DRR",45199772508,"G6PH-CW6","Male"
"9WQT-DRR",45199772509,"G8W1-NFV","Female"
"GHXP-711",45199772510,"LKC4-6WB","Male"
"GHXP-711",45199772511,"LKCH-N9Q","Female"
"GVXT-MZG",45199772704,"L2MN-44Y","Male"
"GVXT-MZG",45199772705,"G8FL-PW4","Female"
"GKWF-SCL",45199772708,"GKWF-9HW","Male"
"G3LH-DG9",45199772712,"GXTQ-FJT","Male"
"G3LH-DG9",45199772713,"G7DV-WW9","Female"
"G6GQ-R3F",45199772716,"GXWR-W8R","Male"
"G6GQ-R3F",45199772717,"G8WY-8VN","Female"
"G2TZ-96Y",45199772720,"GLZJ-1J2","Male"
"L1DD-JMP",45199772724,"GG5W-TJ1","Male"
"L1DD-JMP",45199772725,"GG54-SDF","Female"
"9WY9-HRJ",45199772726,"LZ19-924","Male"
"LD9R-RCZ",45199772728,"GGT6-NYC","Male"
"LD9R-RCZ",45199772729,"GGTD-5CG","Female"
"MBWQ-SF3",45199772730,"LH3J-XVF","Male"
"MBWQ-SF3",45199772731,"KN3T-TR3","Female"
"L1R3-QH7",45199772732,"LD9R-5PH","Male"
"L1R3-QH7",45199772733,"LZM1-YM9","Female"
"M33Z-FHV",45199772734,"GGQ2-T6Y","Male"
"M33Z-FHV",45199772735,"GGQ2-FDK","Female"
"G3M5-XM2",45199772736,"GLBC-ZZH","Male"
"GGJN-2MN",45199772738,"GGJN-L3R","Male"
"GGT6-NYC",45199772768,"GW2T-YH6","Male"
"GGT6-NYC",45199772769,"GX5P-L6M","Female"
"GGTD-5CG",45199772770,"GGTX-XJX","Male"
"GGTD-5CG",45199772771,"GGT6-1Q1","Female"
"LH3J-XVF",45199772772,"GGYS-TR5","Male"
"LH3J-XVF",45199772773,"GGYS-R4S","Female"
"LD9R-5PH",45199772776,"L187-NYR","Male"
"LD9R-5PH",45199772777,"9WQY-MZT","Female"
"G21Z-QQG",45199772784,"G21C-YGX","Male"
"G21Z-QQG",45199772785,"G8WB-J6L","Female"
"GZ2N-HCQ",45199772786,"G8WL-T7Q","Male"
"GZ2N-HCQ",45199772787,"GDSY-Z6B","Female"
"99PT-X33",45199772788,"G21J-37H","Male"
"99PT-X33",45199772789,"G21J-G8S","Female"
"9HTX-2CD",45199772816,"9HRG-JDL","Male"
"9HTX-2CD",45199772817,"LDH1-G9D","Female"
"G39Q-HBK",45199772818,"KX2S-NWF","Male"
"G39Q-HBK",45199772819,"L7GV-KKS","Female"
"L7LR-RWX",45199772820,"GVR7-Q43","Male"
"L7LR-RWX",45199772821,"L2DV-WS5","Female"
"LBTR-BTW",45199772850,"LZK3-LK2","Male"
"LBTR-BTW",45199772851,"M185-RW3","Female"
"G6RN-4Y7",45199772852,"G6DZ-JKF","Male"
"G6RN-4Y7",45199772853,"G6D8-388","Female"
"GFPT-S5P",45199772854,"GZ8X-GV2","Male"
"GFPT-S5P",45199772855,"G6ZP-B73","Female"
"LY9D-2F8",45199772856,"LCJD-VX6","Male"
"LY9D-2F8",45199772857,"LD9R-RKH","Female"
"L28D-TJH",45199772858,"9WMP-NNQ","Male"
"L28D-TJH",45199772859,"945D-J9Y","Female"
"GJTS-3TP",45199772860,"GZ8X-GV2","Male"
"GJTS-3TP",45199772861,"G6ZP-B73","Female"
"GGKB-FBC",45199772872,"LZGK-GZB","Male"
"GGKB-FBC",45199772873,"LDSQ-F68","Female"
"GKCC-1KD",45199772896,"GKQX-VM9","Male"
"GKCC-1KD",45199772897,"GVB8-9XY","Female"
"GMF5-BSR",45199772904,"GLFD-7MD","Male"
"GMF5-BSR",45199772905,"GGFH-MVX","Female"
"L1WB-PZW",45199772906,"9HTX-2CD","Male"
"L1WB-PZW",45199772907,"L83J-4S6","Female"
"L1W8-W7S",45199772908,"GLFD-7MD","Male"
"L1W8-W7S",45199772909,"GGFH-MVX","Female"
"GD7W-JS7",45199772912,"G6H3-12T","Male"
"GD7W-NSX",45199772914,"GD7W-BDW","Male"
"9376-JCH",45199772920,"KNW5-CM9","Male"
"9376-JCH",45199772921,"LCRM-5HJ","Female"
"9HVH-9GD",45199772922,"LHW9-VZ4","Male"
"9HVH-9GD",45199772923,"GKKW-24R","Female"
"GG3M-7JP",45199772924,"GGWF-VYW","Male"
"GG3M-7JP",45199772925,"GGXT-3X8","Female"
"GZRK-SFB",45199772928,"GLZW-7GF","Male"
