"fid","ascendancy","parent","gender"
"G9M5-FF1",114062884648,"LY9D-2F8","Male"
"G9M5-FF1",114062884649,"L28D-TJH","Female"
"GN9F-M6Q",114062884650,"GJTS-3TP","Male"
"GN9F-M6Q",114062884651,"GN15-LRT","Female"
"LZGQ-LJX",114062884652,"KDQW-JTJ","Male"
"LZGQ-LJX",114062884653,"LDS9-GGV","Female"
"GC4C-Q98",114062884656,"G7SP-356","Male"
"GC4C-Q98",114062884657,"GDF1-N4H","Female"
"GNQC-Q81",114062884658,"GQKQ-GJH","Male"
"GNQC-Q81",114062884659,"GVZ5-GT8","Female"
"GHXC-CMM",114062884660,"GC4C-CPV","Male"
"GHXC-CMM",114062884661,"G7NN-V9W","Female"
"LK9R-5F8",114062884662,"G9M5-FF1","Male"
"LK9R-5F8",114062884663,"GN9F-M6Q","Female"
"GLTB-NF2",114062884664,"GX4W-KFC","Male"
"GLTB-NF2",114062884665,"LRHH-679","Female"
"L2Y4-PXC",114062884668,"L2TT-ZDM","Male"
"L2Y4-PXC",114062884669,"L2TT-Z55","Female"
"L2Y4-PR9",114062884670,"GX6Z-6DY","Male"
"L2Y4-PR9",114062884671,"GVZP-CXM","Female"
"LY9D-2F8",114062884672,"LCJD-VX6","Male"
"LY9D-2F8",114062884673,"LD9R-RKH","Female"
"L28D-TJH",114062884674,"9WMP-NNQ","Male"
"L28D-TJH",114062884675,"945D-J9Y","Female"
"GJTS-3TP",114062884676,"GZ8X-GV2","Male"
"GJTS-3TP",114062884677,"G6ZP-B73","Female"
"G9M5-FF1",114062884680,"LY9D-2F8","Male"
"G9M5-FF1",114062884681,"L28D-TJH","Female"
"GN9F-M6Q",114062884682,"GJTS-3TP","Male"
"GN9F-M6Q",114062884683,"GN15-LRT","Female"
"LZGQ-LJX",114062884684,"KDQW-JTJ","Male"
"LZGQ-LJX",114062884685,"LDS9-GGV","Female"
"GC4C-Q98",114062884688,"G7SP-356","Male"
"GC4C-Q98",114062884689,"GDF1-N4H","Female"
"GNQC-Q81",114062884690,"GQKQ-GJH","Male"
"GNQC-Q81",114062884691,"GVZ5-GT8","Female"
"GHXC-CMM",114062884692,"GC4C-CPV","Male"
"GHXC-CMM",114062884693,"G7NN-V9W","Female"
"LK9R-5F8",114062884694,"G9M5-FF1","Male"
"LK9R-5F8",114062884695,"GN9F-M6Q","Female"
"GLTB-NF2",114062884696,"GX4W-KFC","Male"
"GLTB-NF2",114062884697,"LRHH-679","Female"
"L2Y4-PXC",114062884700,"L2TT-ZDM","Male"
"L2Y4-PXC",114062884701,"L2TT-Z55","Female"
"L2Y4-PR9",114062884702,"GX6Z-6DY","Male"
"L2Y4-PR9",114062884703,"GVZP-CXM","Female"
"GJ8K-PWG",114062884704,"LDSK-NZJ","Male"
"GJ8K-PWG",114062884705,"LDSH-S2T","Female"
"LJYH-M8G",114062884706,"GW69-B2J","Male"
"LJYH-M8G",114062884707,"GXQD-1QL","Female"
"LJ4D-ZCK",114062884709,"GVHV-7WD","Female"
"LJ4D-ZCK",114062884708,"G9G8-ZCS","Male"
"9S1L-ZP2",114062884710,"G6Z5-SS2","Male"
"9S1L-ZP2",114062884711,"GX7W-7JP","Female"
"LZGQ-LJX",114062884712,"KDQW-JTJ","Male"
"LZGQ-LJX",114062884713,"LDS9-GGV","Female"
"KDQH-DJG",114062884714,"L1DD-JMP","Male"
"KDQH-DJG",114062884715,"9WY9-HRJ","Female"
"GL9R-YL9",114062884716,"LD95-VV6","Male"
"GL9R-YL9",114062884717,"9H2F-HV5","Female"
"LDHQ-P5F",114062884718,"LD9R-RB7","Male"
"LDHQ-P5F",114062884719,"LDSS-6H5","Female"
"M1VS-25N",114062884720,"LDSS-KJ6","Male"
"M1VS-25N",114062884721,"L28D-TJH","Female"
"LDSS-KHY",114062884722,"LYCY-PN6","Male"
"LDSS-KHY",114062884723,"LDSS-KKV","Female"
"LYKM-HPT",114062884724,"LDW2-41W","Male"
"LYKM-HPT",114062884725,"G4NJ-GVF","Female"
"GJK2-FPZ",114062884726,"G28R-HGR","Male"
"K8D7-F5D",114062884728,"LZS9-ZC2","Male"
"K8D7-F5D",114062884729,"LZ61-F76","Female"
"LDZ2-8G7",114062884732,"KNXX-WBQ","Male"
"LDZ2-8G7",114062884733,"LDZ2-8LP","Female"
"LY6V-8G3",114062884734,"LDMT-HMZ","Male"
"LY6V-8G3",114062884735,"LD91-ST3","Female"
"LD9R-RYR",114062884736,"LCRR-KM2","Male"
"LD9R-RYR",114062884737,"LDW5-JN2","Female"
"M15L-V4Q",114062884738,"LD9Y-C7T","Male"
"M15L-V4Q",114062884739,"LD9Y-CW9","Female"
"L133-HLP",114062884740,"94T6-749","Male"
"L133-HLP",114062884741,"GLLC-968","Female"
"KH8N-T92",114062884742,"L1DW-Q5N","Male"
"KH8N-T92",114062884743,"2781-6PP","Female"
"L8BY-3VJ",114062884744,"L8YY-PP2","Male"
"L8BY-3VJ",114062884745,"LT5Z-556","Female"
"94BP-X4Z",114062884746,"LBGF-H83","Male"
"94BP-X4Z",114062884747,"LZ56-WY6","Female"
"L8YY-5HK",114062884748,"9CXC-B7Y","Male"
"L8YY-5HK",114062884749,"LZBY-TS8","Female"
"L8WB-D2Z",114062884750,"GK9Q-S8F","Male"
"L8WB-D2Z",114062884751,"GK85-LHZ","Female"
"9WMP-NNQ",114062884752,"99PT-NTZ","Male"
"9WMP-NNQ",114062884753,"G98Z-6RZ","Female"
"945D-J9Y",114062884754,"LZ9M-HWG","Male"
"945D-J9Y",114062884755,"9M85-YGM","Female"
"LJB3-5XL",114062884756,"9SBM-4NB","Male"
