"fid","ascendancy","parent","gender"
"LDSS-ZMW",11375193484,"LDSS-8WS","Male"
"LDSS-ZMW",11375193485,"9ZCG-R7L","Female"
"LDSS-ZMD",11375193486,"LRHH-9JN","Male"
"LDSS-ZMD",11375193487,"LZGK-6BD","Female"
"LLCW-6W8",11375193488,"GWK5-T5S","Male"
"LLCW-6W8",11375193489,"GWKR-4T6","Female"
"LBSY-43P",11375193492,"L619-MQH","Male"
"LBSY-43P",11375193493,"GK8M-8WF","Female"
"L8M6-YWJ",11375193494,"LDSS-ZMW","Male"
"L8M6-YWJ",11375193495,"LDSS-ZMD","Female"
"9HGP-DBV",11375193496,"GDLQ-MX5","Male"
"9HGP-DBV",11375193497,"LY72-MRC","Female"
"LXWD-248",11375193498,"GXGS-JGW","Male"
"LXWD-248",11375193499,"L8T9-YR8","Female"
"L1Z8-522",11375193504,"99Y7-MCD","Male"
"L1Z8-522",11375193505,"LBKM-9MP","Female"
"L1S4-4N9",11375193506,"L1QG-G8M","Male"
"L1S4-4N9",11375193507,"LD97-QLP","Female"
"LDW5-FB6",11375193508,"LDW5-66P","Male"
"LDW5-FB6",11375193509,"LDW5-623","Female"
"LDW5-N39",11375193510,"KCXK-S69","Male"
"LDW5-N39",11375193511,"GJR2-7VD","Female"
"M4N1-6BT",11375193512,"MKKN-R3H","Male"
"M4N1-6BT",11375193513,"9Q6D-L88","Female"
"L8PY-H7K",11375193514,"K417-PHT","Male"
"L8PY-H7K",11375193515,"9S3D-N8F","Female"
"LJRG-7ST",11375193528,"GN9S-PHK","Male"
"28WM-FQ6",11375193530,"9HV8-NJK","Male"
"28WM-FQ6",11375193531,"GV2T-G5N","Female"
"GDTX-41X",11375193532,"G6Y8-CVK","Male"
"GX4S-QCJ",11375193534,"L8MP-TBP","Male"
"GX4S-QCJ",11375193535,"GQPW-RMC","Female"
"KNDD-84D",11375193536,"L1WT-FRN","Male"
"KNDD-84D",11375193537,"L1WY-QMZ","Female"
"GQQX-89B",11375193538,"LB5R-TH8","Male"
"GQQX-89B",11375193539,"LDHQ-P5F","Female"
"LR6N-PQP",11375193540,"LBJ9-GZ4","Male"
"LR6N-PQP",11375193541,"KZPP-B68","Female"
"LDSS-RGB",11375193542,"L18B-R3G","Male"
"LDSS-RGB",11375193543,"KDQH-DJG","Female"
"LBLP-PPD",11375193550,"G23Z-T5F","Male"
"LBLP-PPD",11375193551,"GFJR-GNC","Female"
"9H17-VTZ",11375193552,"LZGQ-LJX","Male"
"9H17-VTZ",11375193553,"KDQH-DJG","Female"
"LY57-55F",11375193554,"GL9R-YL9","Male"
