"fid","ascendancy","parent","gender"
"LF7P-WWJ",580,"LZLK-S2W","Male"
"LF7P-WWJ",581,"LZLK-338","Female"
"GW6J-918",584,"LKMD-4XZ","Male"
"GW6J-918",585,"KVBG-CVS","Female"
"LH57-NXR",586,"MVMR-8PM","Male"
"LH57-NXR",587,"L4BT-1XB","Female"
"L6C1-MB7",600,"K2QL-87C","Male"
"L6C1-MB7",601,"LV67-FMJ","Female"
"L6C1-QMY",602,"LTR4-NNY","Male"
"LX3V-GQV",608,"LZV6-5K2","Male"
"LX3V-GQV",609,"GL61-WLZ","Female"
"9J88-2PP",624,"GX9D-MPX","Male"
"9J88-2PP",625,"9J8C-TPW","Female"
"MBCS-6T1",626,"GDW4-NCQ","Male"
"MBCS-6T1",627,"LYYR-MVK","Female"
"LRQQ-RXN",628,"LZKF-2YT","Male"
"LRQQ-RXN",629,"LLSC-98W","Female"
"9CKZ-WZV",630,"LC1B-1GV","Male"
"9CKZ-WZV",631,"9CKZ-WZ2","Female"
"2759-854",640,"KHXT-DWP","Male"
"2759-854",641,"LRDF-9WJ","Female"
"2759-XPY",642,"M9VB-ZZP","Male"
"2759-XPY",643,"G3JS-LB5","Female"
"L8MB-C2W",648,"LZ23-6ZM","Male"
"L8MB-C2W",649,"M2Z7-CJ3","Female"
"L8MB-C2K",650,"LDF6-ZR9","Male"
"L8MB-C2K",651,"L1R4-RH6","Female"
"KJ8F-83C",652,"L5RT-PMJ","Male"
"KJ8F-83C",653,"G4X2-PMC","Female"
"L7XB-2CB",654,"L8MB-C2W","Male"
"L7XB-2CB",655,"L8MB-C2K","Female"
"L29Z-B1X",656,"L62C-Z8Z","Male"
"L29Z-B1X",657,"9Q1F-B91","Female"
"L29Z-1SM",658,"GD4Q-44Q","Male"
"L24Y-BMB",664,"GQCG-C8G","Male"
"L24Y-BMB",665,"GQCP-Q3R","Female"
"LBYV-BRF",672,"LJYJ-2GM","Male"
"LBYV-BRF",673,"LCXS-2CJ","Female"
"LJGB-5PH",674,"L6JV-CNK","Male"
"LJGB-5PH",675,"GNW6-SRD","Female"
"LDKP-XSK",676,"GCZN-D6H","Male"
"LDKP-XSK",677,"9ZSS-XGH","Female"
"L4TY-77X",678,"GMW2-92X","Male"
"L4TY-77X",679,"LC8H-F4S","Female"
"MYJQ-NKS",684,"GN29-QLP","Male"
"MYJQ-NKS",685,"LZXR-ZQN","Female"
"GHVC-X3D",686,"L5BQ-TGL","Male"
"GHVC-X3D",687,"2MJ7-996","Female"
"LXMW-YN3",688,"LV2Y-844","Male"
"LXMW-YN3",689,"GKYJ-4LD","Female"
"LZ8S-37Y",690,"LB7J-9BY","Male"
"LZ8S-37Y",691,"G8B4-44T","Female"
"LBYV-BRF",692,"LJYJ-2GM","Male"
"LBYV-BRF",693,"LCXS-2CJ","Female"
"LJGB-5PH",694,"L6JV-CNK","Male"
"LJGB-5PH",695,"GNW6-SRD","Female"
"LZLC-1N1",704,"LRM2-PL9","Male"
"LZLC-1N1",705,"M9B1-JKC","Female"
"LBG4-QCJ",706,"LCPL-WPW","Male"
"LBG4-QCJ",707,"LDMW-9JN","Female"
"LVGT-VR4",710,"9JDW-SG6","Male"
"KZCQ-TNT",716,"GGX8-C8D","Male"
"LZPL-844",768,"MLHB-YRP","Male"
"LZPL-844",769,"GS4K-LHH","Female"
"LYTC-KG6",772,"LHGD-KNS","Male"
"LYTC-KG6",773,"LZBP-SWM","Female"
"KFB8-FTV",784,"LZC5-LTD","Male"
"KFB8-FTV",785,"K2T4-MQC","Female"
"LC65-WB3",786,"K8QW-GD2","Male"
"LC65-WB3",787,"LZKN-N5H","Female"
"KGCB-6W3",788,"LHF8-Y64","Male"
"KGCB-6W3",789,"LLCC-G2L","Female"
"LZTK-CY2",800,"LHJW-1GF","Male"
"LZTK-CY2",801,"L27H-ZMR","Female"
"9KQV-4VG",804,"MB79-GY6","Male"
"9KQV-4VG",805,"MB79-GYR","Female"
"9KQV-ZQW",806,"G2VN-J59","Male"
"LK34-3DJ",832,"27P4-G81","Male"
"2WMN-81N",834,"LDH1-W8D","Male"
"2WMN-81N",835,"M2YV-FXY","Female"
"LH3F-15C",836,"LV7M-1JL","Male"
"LH3F-15C",837,"LH8B-9PS","Female"
"LH3F-1GB",838,"LZLK-8QR","Male"
"LH3F-1GB",839,"2WM7-P6G","Female"
"LH3F-15C",840,"LV7M-1JL","Male"
"LH3F-15C",841,"LH8B-9PS","Female"
"LH3F-1GB",842,"LZLK-8QR","Male"
"LH3F-1GB",843,"2WM7-P6G","Female"
"KD1R-2KC",844,"KLJJ-YVB","Male"
"KD1R-2KC",845,"KGB3-3SZ","Female"
"L7BY-S6Y",848,"L691-VC5","Male"
"L7BY-S6Y",849,"LRVV-YSJ","Female"
"LZ6L-T97",850,"LZ4N-XH1","Male"
"LZ6L-T97",851,"2D65-99H","Female"
"MF7Y-X2S",852,"M1ST-3Z8","Male"
"MF7Y-X2S",853,"LCPX-XTG","Female"
"KLXL-ZTM",854,"KLB8-1QB","Male"
"KLXL-ZTM",855,"MGKW-ZP3","Female"
"GHYT-BYQ",872,"9X1R-QJL","Male"
"GHYT-BYQ",873,"MT29-M8X","Female"
"MR43-7MB",874,"L4T6-WXC","Male"
"MR43-7MB",875,"L78Z-VT8","Female"
"M73H-C5N",876,"LV92-71L","Male"
"M73H-C5N",877,"LWJV-TFQ","Female"
"L4MT-9SK",878,"LTT3-L3X","Male"
"L4MT-9SK",879,"LK3T-3RK","Female"
"93R2-H8R",880,"93R2-H66","Male"
"29WT-FSD",888,"K4XB-ZGN","Male"
"29WT-FSD",889,"K4RB-CV5","Female"
"29WT-X1G",890,"LZFW-4Y5","Male"
"29WT-X1G",891,"MTGN-Z6Y","Female"
"KCGJ-3RV",892,"LT3F-935","Male"
"KCGJ-3RV",893,"LT3X-BSC","Female"
"MCD7-4W7",896,"M2WP-LQ5","Male"
"MCD7-4W7",897,"KZCP-V4Q","Female"
"LZDX-C2B",898,"LZXB-GRQ","Male"
"LZDX-C2B",899,"LDST-SFN","Female"
"LK3B-L1B",900,"LK3T-ND9","Male"
"LK3B-L1B",901,"LK3T-NC5","Female"
"LHTV-TZV",904,"LTNR-6ZK","Male"
"LHTV-TZV",905,"LZZW-8BK","Female"
