"fid","ascendancy","parent","gender"
"GVSP-WS2",47276225858,"G6T6-SZ3","Male"
"GVSP-WS2",47276225859,"GZB1-L61","Female"
"GHKB-C3J",47276225860,"G2RH-ZJB","Male"
"GHKB-C3J",47276225861,"G2RH-4T1","Female"
"L5DR-KL8",47276225862,"GQRR-BP3","Male"
"L5DR-KL8",47276225863,"LDVY-ZHB","Female"
"KDQW-JTJ",47276225864,"9HTX-2CD","Male"
"KDQW-JTJ",47276225865,"G39Q-HBK","Female"
"LDS9-GGV",47276225866,"LZGK-GZB","Male"
"LDS9-GGV",47276225867,"MXKR-J9R","Female"
"LD9R-RB7",47276225868,"LD9R-RYR","Male"
"LD9R-RB7",47276225869,"M15L-V4Q","Female"
"LDSS-6H5",47276225870,"L133-HLP","Male"
"LDSS-6H5",47276225871,"KH8N-T92","Female"
"9ZH7-GMD",47276225872,"G7RV-VBP","Male"
"9ZH7-GMD",47276225873,"GL9M-YXL","Female"
"G7ZN-5DF",47276225876,"GLJW-CJ4","Male"
"G2TZ-96Y",47276225880,"GLZJ-1J2","Male"
"L1DD-JMP",47276225884,"GG5W-TJ1","Male"
"L1DD-JMP",47276225885,"GG54-SDF","Female"
"9WY9-HRJ",47276225886,"LZ19-924","Male"
"GQRQ-K79",47276225920,"GQRQ-F8M","Male"
"GQRQ-K79",47276225921,"GGV5-TJN","Female"
"GGZD-RQR",47276226048,"GGTX-L7Y","Male"
"GGZD-RQR",47276226049,"GGTX-Q2J","Female"
"GL9M-YXL",47276226050,"GKZG-KWQ","Male"
"GL9M-YXL",47276226051,"GGTN-692","Female"
"GV4P-VY5",47276226080,"LCCZ-SSV","Male"
"GV4P-VY5",47276226081,"GSC5-SBV","Female"
"GGJD-JSR",47276226082,"G9FS-BL2","Male"
"GGJD-JSR",47276226083,"GGXP-5J3","Female"
"GZRK-SFB",47276226084,"GLZW-7GF","Male"
"GZRK-SFB",47276226085,"GVSG-X5N","Female"
"GVSP-WS2",47276226086,"G6T6-SZ3","Male"
"GVSP-WS2",47276226087,"GZB1-L61","Female"
"G8W1-V4X",47276226130,"GL9M-YF9","Male"
"G8W1-V4X",47276226131,"GL9M-1QZ","Female"
"G891-N1Z",47276226136,"GSZ1-PTQ","Male"
"G891-N1Z",47276226137,"GS8M-WYK","Female"
"G3YQ-19T",47276226138,"991T-WHY","Male"
"G3YQ-19T",47276226139,"G3TV-1F5","Female"
"GGKJ-Z1T",47276226140,"L62H-Z9T","Male"
"GGKJ-Z1T",47276226141,"GVSP-PVV","Female"
"KL6C-XQV",47276226142,"GKZ8-HXS","Male"
"KL6C-XQV",47276226143,"GKS3-YPX","Female"
"LDHB-RRD",47276226144,"9HTX-2CD","Male"
"LDHB-RRD",47276226145,"L83J-4S6","Female"
"GKVP-QMK",47276226146,"LDHS-Z3V","Male"
"GKVP-QMK",47276226147,"LZGK-ZV2","Female"
"9SJJ-97N",47276226152,"GGG7-Q5M","Male"
"9SJJ-97N",47276226153,"GZL1-BTV","Female"
"LZJG-K5N",47276226154,"KX2S-NWF","Male"
"LZJG-K5N",47276226155,"L7GV-KKS","Female"
"LJ2H-W3S",47276226156,"GD74-RRH","Male"
"LJ2H-W3S",47276226157,"GJ5M-BKM","Female"
"LZ2S-DKM",47276226158,"28YJ-Z4N","Male"
"LZ2S-DKM",47276226159,"GGGT-9MX","Female"
"GJ2V-WRY",47276226160,"G233-LXN","Male"
"GJ2V-WRY",47276226161,"GGWK-NT3","Female"
"LD9P-MFB",47276226164,"GC7G-R6L","Male"
"LD9P-MFB",47276226165,"GC7P-77S","Female"
"G7YH-3GJ",47276226176,"GV4P-VY5","Male"
"G7YH-3GJ",47276226177,"GGJD-JSR","Female"
"GC45-DB8",47276226178,"GZRK-SFB","Male"
"GC45-DB8",47276226179,"GVSP-WS2","Female"
"L1HZ-WR2",47276226184,"LVTD-MDD","Male"
"L1HZ-WR2",47276226185,"GKYX-DNQ","Female"
"KFLG-12B",47276226188,"28YJ-Z4N","Male"
"KFLG-12B",47276226189,"GGGT-9MX","Female"
"KZPV-BQM",47276226196,"L8RR-4KG","Male"
"KZPV-BQM",47276226197,"99QT-MCB","Female"
"M1VS-25N",47276226200,"LDSS-KJ6","Male"
"M1VS-25N",47276226201,"L28D-TJH","Female"
"LDSS-KHY",47276226202,"LYCY-PN6","Male"
"LDSS-KHY",47276226203,"LDSS-KKV","Female"
"LZGQ-LJX",47276226204,"KDQW-JTJ","Male"
"LZGQ-LJX",47276226205,"LDS9-GGV","Female"
"GL9R-YL9",47276226208,"LD95-VV6","Male"
"GL9R-YL9",47276226209,"9H2F-HV5","Female"
"LDHQ-P5F",47276226210,"LD9R-RB7","Male"
"LDHQ-P5F",47276226211,"LDSS-6H5","Female"
"G2G5-WJR",47276226212,"GX7F-WZP","Male"
"G2G5-WJR",47276226213,"G2GB-R81","Female"
"G2G5-FT5",47276226214,"LT3P-8D6","Male"
"G2G5-FT5",47276226215,"G8L3-3JL","Female"
"LBX8-DDN",47276226216,"LYCY-PN6","Male"
"LBX8-DDN",47276226217,"LDSS-KKV","Female"
"LDW2-4JB",47276226218,"LDW2-41W","Male"
"LDW2-4JB",47276226219,"G4NJ-GVF","Female"
"G6RG-6XQ",47276226224,"GJVC-FKB","Male"
"G6RG-6XQ",47276226225,"GQ21-56Y","Female"
"GKNC-F3X",47276226226,"G2QS-JRV","Male"
"GKNC-F3X",47276226227,"G2QS-6S4","Female"
"LH7S-18K",47276226232,"LDW2-7WW","Male"
"LH7S-18K",47276226233,"LH7S-12Y","Female"
"LDSV-5Q1",47276226234,"LDSQ-XRK","Male"
"LDSV-5Q1",47276226235,"LCFL-9DP","Female"
"KN8N-WHW",47276226240,"LBKM-2H9","Male"
"KN8N-WHW",47276226241,"LBDY-3J8","Female"
"9SYL-S5H",47276226242,"KX2S-NWF","Male"
"9SYL-S5H",47276226243,"L7GV-KKS","Female"
"G67W-G57",47276226244,"MKTV-TMC","Male"
"G67W-G57",47276226245,"G67G-YFC","Female"
"LDFZ-8Q1",47276226248,"GJ9M-PR2","Male"
"LDFZ-8Q1",47276226249,"GL14-857","Female"
"LHPZ-VGH",47276226250,"LZLG-V3F","Male"
"LHPZ-VGH",47276226251,"LH6K-2BP","Female"
"LD9R-RB7",47276226256,"LD9R-RYR","Male"
"LD9R-RB7",47276226257,"M15L-V4Q","Female"
