"fid","ascendancy","parent","gender"
"9HM8-2GK",106022074802,"LY9N-GDL","Male"
"9HM8-2GK",106022074803,"KLYH-481","Female"
"9CHR-2H4",106022074808,"KHRR-ZX7","Male"
"9CHR-2H4",106022074809,"93KV-8B7","Female"
"LY7N-CN2",106022074810,"LTY9-ZM8","Male"
"LY7N-CN2",106022074811,"GJMY-4F7","Female"
"L8WY-72D",106022075600,"GK25-3JB","Male"
"L8WY-72D",106022075601,"GV4D-MFG","Female"
"LDSS-KBB",106022075604,"GKQ6-ZVV","Male"
"LDSS-KBB",106022075605,"GGQN-PGD","Female"
"LDSS-288",106022075616,"GGKJ-Z1T","Male"
"LDSS-288",106022075617,"KL6C-XQV","Female"
"G6PK-MQW",106022075618,"GD5G-QGN","Male"
"G6PK-MQW",106022075619,"GGJ8-YWG","Female"
"9WMP-NNQ",106022075620,"99PT-NTZ","Male"
"9WMP-NNQ",106022075621,"G98Z-6RZ","Female"
"945D-J9Y",106022075622,"LZ9M-HWG","Male"
"945D-J9Y",106022075623,"9M85-YGM","Female"
"LDSS-26H",106022075624,"9W7P-G88","Male"
"LDSS-26H",106022075625,"GLB2-PPV","Female"
"L6SC-CJF",106022075626,"LZVG-MCV","Male"
"L6SC-CJF",106022075627,"LQR5-6N2","Female"
"LZLQ-664",106022075628,"9S9W-MPL","Male"
"LZLQ-664",106022075629,"KFX1-BZD","Female"
"9HTX-2CD",106022075632,"9HRG-JDL","Male"
"9HTX-2CD",106022075633,"LDH1-G9D","Female"
"G39Q-HBK",106022075634,"KX2S-NWF","Male"
"G39Q-HBK",106022075635,"L7GV-KKS","Female"
"LZGK-GZB",106022075636,"LZ8D-9DK","Male"
"LZGK-GZB",106022075637,"GK9J-9XB","Female"
"MXKR-J9R",106022075638,"9QZD-J5R","Male"
"MXKR-J9R",106022075639,"L18P-6ZG","Female"
"949K-PBH",106022075712,"GGY2-N7M","Male"
"949K-PBH",106022075713,"GGYL-VM8","Female"
"L8RR-4KG",106022075752,"L8WY-72D","Male"
"L8RR-4KG",106022075753,"GZBB-BMJ","Female"
"99QT-MCB",106022075754,"LDSS-KBB","Male"
"99QT-MCB",106022075755,"GLZ3-DZS","Female"
"LDSS-KJ6",106022075760,"LDSS-288","Male"
"LDSS-KJ6",106022075761,"G6PK-MQW","Female"
"L28D-TJH",106022075762,"9WMP-NNQ","Male"
"L28D-TJH",106022075763,"945D-J9Y","Female"
"LYCY-PN6",106022075764,"LDSS-26H","Male"
"LYCY-PN6",106022075765,"L6SC-CJF","Female"
"LDSS-KKV",106022075766,"LZLQ-664","Male"
"LDSS-KKV",106022075767,"GK2Y-MJB","Female"
"KDQW-JTJ",106022075768,"9HTX-2CD","Male"
"KDQW-JTJ",106022075769,"G39Q-HBK","Female"
"LDS9-GGV",106022075770,"LZGK-GZB","Male"
"LDS9-GGV",106022075771,"MXKR-J9R","Female"
"9HTX-2CD",106022075800,"9HRG-JDL","Male"
"9HTX-2CD",106022075801,"LDH1-G9D","Female"
"G39Q-HBK",106022075802,"KX2S-NWF","Male"
"G39Q-HBK",106022075803,"L7GV-KKS","Female"
"LC3F-X4D",106022075824,"G7JG-81Y","Male"
"LC3F-X4D",106022075825,"GPMZ-R62","Female"
"M6CX-71W",106022075905,"LVD6-1DN","Female"
"MNGL-KK4",106022075908,"GGSH-C4B","Male"
"MNGL-KK4",106022075909,"L8BM-ZN2","Female"
"GQ6F-W6Y",106022075936,"GNVY-ZK7","Male"
"GQ6F-W6Y",106022075937,"G8FQ-C38","Female"
"G2N1-2HM",106022075938,"G6P9-41P","Male"
"G2N1-2HM",106022075939,"G2N1-V9H","Female"
"L7NG-DRP",106022075944,"9H5N-BFF","Male"
"L7NG-DRP",106022075945,"GKZ8-4FD","Female"
"LYTH-K3C",106022075946,"G6Q3-JX4","Male"
"LTT6-YJQ",106022075948,"GVBH-MTY","Male"
"LCRR-KM2",106022075968,"9H6Q-VVW","Male"
"LCRR-KM2",106022075969,"9HPT-832","Female"
"LDW5-JN2",106022075970,"9C72-WGJ","Male"
"LDW5-JN2",106022075971,"9CZV-2KJ","Female"
"LD9Y-C7T",106022075972,"9SJP-9TN","Male"
"LD9Y-C7T",106022075973,"LVDV-KPT","Female"
"LD9Y-CW9",106022075974,"LZDH-NFR","Male"
"LD9Y-CW9",106022075975,"LD9C-ZGZ","Female"
"94T6-749",106022075976,"GKZ8-PM1","Male"
"94T6-749",106022075977,"GMXZ-2CC","Female"
"GLLC-968",106022075978,"G8K3-VQ8","Male"
"GLLC-968",106022075979,"G9TH-6YX","Female"
"L1DW-Q5N",106022075980,"LY5W-N6P","Male"
"L1DW-Q5N",106022075981,"LHWS-BFW","Female"
"2781-6PP",106022075982,"GDB8-4V9","Male"
"2781-6PP",106022075983,"GVZM-RKC","Female"
"L8YY-PP2",106022075984,"LCN5-99B","Male"
"L8YY-PP2",106022075985,"LYNX-745","Female"
"LT5Z-556",106022075986,"GS83-FSL","Male"
"LT5Z-556",106022075987,"GL79-7R2","Female"
"LBGF-H83",106022075988,"LRQD-FS2","Male"
"LBGF-H83",106022075989,"L5VF-6MD","Female"
"LZ56-WY6",106022075990,"GJSD-GLT","Male"
"LZ56-WY6",106022075991,"GVMD-TBD","Female"
"9CXC-B7Y",106022075992,"L1WS-BMM","Male"
"9CXC-B7Y",106022075993,"9Z8D-P68","Female"
"LZBY-TS8",106022075994,"LDMN-PWB","Male"
"LZBY-TS8",106022075995,"2NBQ-FP2","Female"
"GK9Q-S8F",106022075996,"L81Y-9GD","Male"
"GK9Q-S8F",106022075997,"LB2S-PWM","Female"
"L8YY-PZ9",106022076000,"LBBB-4XS","Male"
"L8YY-PZ9",106022076001,"LDHS-6S3","Female"
"9H65-XXK",106022076002,"L8YY-PH5","Male"
"9H65-XXK",106022076003,"KFX1-BZD","Female"
"GVD8-NJ7",106022076006,"GPSX-XT1","Male"
"GVD8-NJ7",106022076007,"GPSX-KP8","Female"
"GGZQ-BP3",106022076008,"GZ44-VYR","Male"
"GGZQ-BP3",106022076009,"GKZ8-XPF","Female"
"GHNF-BYC",106022076010,"LTCX-SR2","Male"
"GHNF-BYC",106022076011,"GKZ8-XW3","Female"
"GN8V-37D",106022076014,"LB27-YWT","Male"
"GN8V-37D",106022076015,"GWZB-NNM","Female"
"LZLG-V3F",106022076016,"L7NG-DRP","Male"
"LZLG-V3F",106022076017,"LYTH-K3C","Female"
"LH6K-2BP",106022076018,"LTT6-YJQ","Male"
"LH6K-2BP",106022076019,"GV8X-JR1","Female"
"GJYM-TGG",106022076020,"29H4-2Y1","Male"
"GJYM-TGG",106022076021,"GKZ8-Q9M","Female"
"LBPM-PVV",106022076022,"G8W1-CJS","Male"
"LBPM-PVV",106022076023,"GKCC-J1G","Female"
"GQMM-WCR",106022076024,"GH7M-QSF","Male"
"GQMM-WCR",106022076025,"G4SP-ZYT","Female"
"L1JY-KRP",106022076030,"L1DW-Q5N","Male"
"L1JY-KRP",106022076031,"2781-6PP","Female"
"GJMV-L5G",106022076048,"GV4D-MPR","Male"
"GJMV-L5G",106022076049,"LTXK-RJK","Female"
"GV4P-VY5",106022076080,"LCCZ-SSV","Male"
"GV4P-VY5",106022076081,"GSC5-SBV","Female"
"GGJD-JSR",106022076082,"G9FS-BL2","Male"
"GGJD-JSR",106022076083,"GGXP-5J3","Female"
"GZRK-SFB",106022076084,"GLZW-7GF","Male"
"GZRK-SFB",106022076085,"GVSG-X5N","Female"
"GVSP-WS2",106022076086,"G6T6-SZ3","Male"
"GVSP-WS2",106022076087,"GZB1-L61","Female"
"G7T1-72X",106022076288,"GWWB-19S","Male"
"G7T1-72X",106022076289,"GWWB-RZX","Female"
"G7TB-YKK",106022076290,"GDB8-4V9","Male"
"G7TB-YKK",106022076291,"K863-NHG","Female"
"GX7C-LRS",106022076292,"9W7P-G88","Male"
"GX7C-LRS",106022076293,"GLB2-PPV","Female"
"GN1M-ZZK",106022076294,"GSWG-NZ1","Male"
"GN1M-ZZK",106022076295,"GZHK-WCQ","Female"
"L2Y1-PH3",106022076320,"G8FB-NFD","Male"
"L2Y1-PH3",106022076321,"G8FB-JXN","Female"
"GJMD-YMZ",106022076332,"GZ8S-NCB","Male"
"G6YJ-SZ6",106022076334,"LDM1-CGG","Male"
"G6YJ-SZ6",106022076335,"LYSP-1D9","Female"
"GCBF-114",106022117888,"L5L6-28G","Male"
"GCBF-114",106022117889,"GJNS-QCM","Female"
"G2HY-H84",106022117890,"94BJ-N3L","Male"
"G2HY-H84",106022117891,"LV6H-XBN","Female"
"LT8Q-95L",106022118272,"LDS9-GTK","Male"
"LT8Q-95L",106022118273,"GMN3-7TX","Female"
"GHT6-P7M",106022118280,"GHT6-GVY","Male"
"GHT6-P7M",106022118281,"GFQ9-6S2","Female"
"KJ5F-4ZR",106022118304,"LZS9-ZC2","Male"
