"fid","ascendancy","parent","gender"
"LD29-51J",46557858514,"LTFG-ZR8","Male"
"LD29-51J",46557858515,"99HN-W8M","Female"
"LTFG-ZR8",46557858516,"GDFJ-TC8","Male"
"LTFG-ZR8",46557858517,"G2XB-KHW","Female"
"99HN-W8M",46557858518,"MQ6Y-DJR","Male"
"99HN-W8M",46557858519,"LHR1-9SN","Female"
"G7XJ-1LY",46557858560,"L6NQ-1X6","Male"
"G7XJ-1LY",46557858561,"GDX5-HMR","Female"
"LZF6-M94",46557858568,"KGSQ-35V","Male"
"LZF6-M94",46557858569,"GKZQ-S2R","Female"
"GWW8-LWR",46557858570,"9ZHZ-89Q","Male"
"GWW8-LWR",46557858571,"G8L4-56J","Female"
"GGWK-6T8",46557858816,"GGW2-BY7","Male"
"GGWK-6T8",46557858817,"GG4S-KWP","Female"
"9VGN-TK6",46557859072,"G6R8-9H9","Male"
"9VGN-TK6",46557859073,"GZG1-DKF","Female"
"MM54-99C",46557859074,"LCDM-N61","Male"
"MM54-99C",46557859075,"GQ7J-KFG","Female"
"LBWD-HPQ",46557859076,"9H8J-5KM","Male"
"LBWD-HPQ",46557859077,"LRSM-RGQ","Female"
"9C9Z-CSF",46557859136,"99ZG-BB8","Male"
"9C9Z-CSF",46557859137,"9ZCB-R9Q","Female"
"GZ5R-1T8",46557859152,"GKZ8-85S","Male"
"GZ5R-1T8",46557859153,"GFH6-ZJX","Female"
"GX85-9B7",46557859156,"GKZZ-BM2","Male"
"GX85-9B7",46557859157,"GKZ8-9TT","Female"
"GKZ8-9CY",46557859158,"G6GS-QC2","Male"
"GKZ8-9CY",46557859159,"G6GS-7BX","Female"
"GXDG-BZQ",46557859164,"G8B4-STW","Male"
"GXDG-BZQ",46557859165,"GJYQ-8L5","Female"
"GZ6V-343",46557859166,"L22D-WT1","Male"
"GZ6V-343",46557859167,"GF82-JXY","Female"
"LCN5-99B",46557859168,"935Z-J1R","Male"
"LCN5-99B",46557859169,"GWS8-4DQ","Female"
"LYNX-745",46557859170,"LTZX-XK7","Male"
"LYNX-745",46557859171,"GNWQ-J48","Female"
"GS83-FSL",46557859172,"L5YX-LDH","Male"
"GS83-FSL",46557859173,"9CXC-BF5","Female"
"LRQD-FS2",46557859176,"L5P9-K8Y","Male"
"LRQD-FS2",46557859177,"L5VF-CSX","Female"
"L5VF-6MD",46557859178,"9HSR-ZJB","Male"
"L5VF-6MD",46557859179,"LX7M-45D","Female"
"L1WS-BMM",46557859184,"9Z8D-595","Male"
"L1WS-BMM",46557859185,"LDMS-21W","Female"
"LDMN-PWB",46557859188,"LHY9-RBR","Male"
"LDMN-PWB",46557859189,"946P-N11","Female"
"2NBQ-FP2",46557859190,"LDMN-5Y4","Male"
"2NBQ-FP2",46557859191,"GX7F-XSZ","Female"
"L81Y-9GD",46557859192,"G2DJ-RBG","Male"
"L81Y-9GD",46557859193,"LT6L-TT2","Female"
"LB2S-PWM",46557859194,"LB72-FTT","Male"
"LB2S-PWM",46557859195,"LCRK-52L","Female"
"21RP-8TN",46557859200,"LWXR-413","Male"
"21RP-8TN",46557859201,"GGFT-YPT","Female"
"L8BM-ZN2",46557859202,"L6NQ-1X6","Male"
"L8BM-ZN2",46557859203,"GDX5-HMR","Female"
"GLVC-FM6",46557859204,"MBTZ-HGN","Male"
"LZF6-M94",46557859208,"KGSQ-35V","Male"
"LZF6-M94",46557859209,"GKZQ-S2R","Female"
"GWW8-LWR",46557859210,"9ZHZ-89Q","Male"
"GWW8-LWR",46557859211,"G8L4-56J","Female"
"LKKN-F47",46557859216,"G39W-RKF","Male"
"LKKN-F47",46557859217,"GMCF-Y2H","Female"
"G2DV-W2D",46557859220,"MGJH-2F3","Male"
"L2NY-ZGC",46557859222,"G6Z7-BBW","Male"
"L2NY-ZGC",46557859223,"G6Z7-Y8Q","Female"
"KFYT-G84",46557859224,"KFFD-W9R","Male"
"KFYT-G84",46557859225,"G6CX-Z3P","Female"
"LDSS-LKR",46557859226,"LDSS-LB3","Male"
"LDSS-LKR",46557859227,"L5JM-54G","Female"
"GVB1-LW9",46557859228,"G8ZS-FNR","Male"
"GVB1-LW9",46557859229,"GD97-2CP","Female"
"M8H1-KRN",46557859230,"LTFG-ZR8","Male"
"M8H1-KRN",46557859231,"99HN-W8M","Female"
"L4NY-WX6",46557859248,"99PS-B45","Male"
"L4NY-WX6",46557859249,"GVSD-T93","Female"
"LDSS-LKR",46557859250,"LDSS-LB3","Male"
"LDSS-LKR",46557859251,"L5JM-54G","Female"
"L8YY-5HK",46557859252,"9CXC-B7Y","Male"
"L8YY-5HK",46557859253,"LZBY-TS8","Female"
"GX26-56G",46557859254,"GKZC-1HR","Male"
"GX26-56G",46557859255,"GKZZ-P2W","Female"
"LTFG-ZR8",46557859236,"GDFJ-TC8","Male"
"LTFG-ZR8",46557859237,"G2XB-KHW","Female"
"99HN-W8M",46557859238,"MQ6Y-DJR","Male"
"99HN-W8M",46557859239,"LHR1-9SN","Female"
"GDFJ-TC8",46557859240,"9CS2-F59","Male"
"GDFJ-TC8",46557859241,"GGM8-4Z7","Female"
"G2XB-KHW",46557859242,"9W46-QD7","Male"
"G2XB-KHW",46557859243,"LRBL-B6T","Female"
"MQ6Y-DJR",46557859244,"MYW1-TBC","Male"
"MQ6Y-DJR",46557859245,"G6J8-FMV","Female"
"LHR1-9SN",46557859246,"9CS2-F59","Male"
"LHR1-9SN",46557859247,"GGM8-4Z7","Female"
"L6NQ-1X6",46557859328,"GNXF-WG7","Male"
"L6NQ-1X6",46557859329,"GGQ4-41T","Female"
"GDX5-HMR",46557859330,"949D-P6W","Male"
"GDX5-HMR",46557859331,"GDY4-Z39","Female"
"KGSQ-35V",46557859344,"L1H5-9N6","Male"
"KGSQ-35V",46557859345,"G2LB-R53","Female"
"9ZHZ-89Q",46557859348,"9C3G-QBG","Male"
"9ZHZ-89Q",46557859349,"GKZQ-BG1","Female"
"G8L4-56J",46557859350,"L7T5-PSJ","Male"
"G8L4-56J",46557859351,"LHQP-B81","Female"
"GG5W-TJ1",46557859848,"GGB9-4CK","Male"
"GG5W-TJ1",46557859849,"9MTF-W16","Female"
"LZ19-924",46557859852,"LZF6-M94","Male"
"LZ19-924",46557859853,"GWW8-LWR","Female"
"GGT6-NYC",46557859856,"GW2T-YH6","Male"
"GGT6-NYC",46557859857,"GX5P-L6M","Female"
"GGTD-5CG",46557859858,"GGTX-XJX","Male"
"GGTD-5CG",46557859859,"GGT6-1Q1","Female"
"LH3J-XVF",46557859860,"GGYS-TR5","Male"
"LH3J-XVF",46557859861,"GGYS-R4S","Female"
"LD9R-5PH",46557859864,"L187-NYR","Male"
"LD9R-5PH",46557859865,"9WQY-MZT","Female"
"G7N3-LWQ",46557860352,"G6RZ-VG8","Male"
"G7N3-LWQ",46557860353,"L28J-ZMN","Female"
