"fid","ascendancy","parent","gender"
"LY9N-GDL",94492856620,"9CHR-2H4","Male"
"LY9N-GDL",94492856621,"LY7N-CN2","Female"
"GZXW-6RL",94492856624,"GD9M-GN5","Male"
"GZXW-6RL",94492856625,"GSR9-PWL","Female"
"GQ1C-7FF",94492856626,"GD9L-NHT","Male"
"GQ1C-7FF",94492856627,"G2WC-5GB","Female"
"GD9L-NHT",94492856632,"GKZ8-RW5","Male"
"GD9L-NHT",94492856633,"LHW3-3F1","Female"
"GGF3-WPM",94492856634,"GD9M-GN5","Male"
"GGF3-WPM",94492856635,"GG9W-8TK","Female"
"GMMD-GH5",94492856640,"GF59-F78","Male"
"GMMD-GH5",94492856641,"GLFD-4JJ","Female"
"LBK1-86P",94492856642,"L62H-Z9T","Male"
"LBK1-86P",94492856643,"GVSP-PVV","Female"
"GH7M-QSF",94492856672,"LHXT-LR1","Male"
"GH7M-QSF",94492856673,"GLTD-CTG","Female"
"L8YY-PH5",94492856676,"L8YG-8PB","Male"
"L8YY-PH5",94492856677,"G7B5-SX2","Female"
"KFX1-BZD",94492856678,"9C72-WGJ","Male"
"KFX1-BZD",94492856679,"9CZV-2KJ","Female"
"9SJP-9TN",94492856680,"9HP6-RVT","Male"
"9SJP-9TN",94492856681,"GG16-DL7","Female"
"9W7P-G88",94492856688,"L8YG-8PB","Male"
"9W7P-G88",94492856689,"G7B5-SX2","Female"
"GLB2-PPV",94492856690,"9H4X-GTQ","Male"
"GLB2-PPV",94492856691,"9C44-MQP","Female"
"LZVG-MCV",94492856692,"LKGC-DK6","Male"
"LZVG-MCV",94492856693,"93DX-FVV","Female"
"LCRR-KM2",94492856696,"9H6Q-VVW","Male"
"LCRR-KM2",94492856697,"9HPT-832","Female"
"LDW5-JN2",94492856698,"9C72-WGJ","Male"
"LDW5-JN2",94492856699,"9CZV-2KJ","Female"
"LD9Y-C7T",94492856700,"9SJP-9TN","Male"
"LD9Y-C7T",94492856701,"LVDV-KPT","Female"
"LD9Y-CW9",94492856702,"LZDH-NFR","Male"
"LD9Y-CW9",94492856703,"LD9C-ZGZ","Female"
"9SJP-9TN",94492856704,"9HP6-RVT","Male"
"9SJP-9TN",94492856705,"GG16-DL7","Female"
"GMSP-9XR",94492856712,"L2H4-9QX","Male"
"GMSP-9XR",94492856713,"GVD1-N5F","Female"
"KLXB-6QR",94492856714,"GQP1-CYV","Male"
"KLXB-6QR",94492856715,"GS8P-Y7X","Female"
"LBBB-4XS",94492856716,"KT4G-S84","Male"
"LBBB-4XS",94492856717,"GG1G-YJM","Female"
"LDHS-6S3",94492856718,"9H6Q-VVW","Male"
"LDHS-6S3",94492856719,"932C-Q9B","Female"
"L8RR-S6X",94492856720,"LYCT-Y9Q","Male"
"L8RR-S6X",94492856721,"L142-WBW","Female"
"L8RR-S6J",94492856722,"K6WN-292","Male"
"L8RR-S6J",94492856723,"2NBQ-VZ5","Female"
"GFQJ-6W3",94492856726,"GFJQ-RZT","Male"
"GFQJ-6W3",94492856727,"GLV2-2P8","Female"
"GH7M-QSF",94492856728,"LHXT-LR1","Male"
"GH7M-QSF",94492856729,"GLTD-CTG","Female"
"L8YY-PH5",94492856732,"L8YG-8PB","Male"
"L8YY-PH5",94492856733,"G7B5-SX2","Female"
"KFX1-BZD",94492856734,"9C72-WGJ","Male"
"KFX1-BZD",94492856735,"9CZV-2KJ","Female"
"LCRR-KM2",94492856736,"9H6Q-VVW","Male"
"LCRR-KM2",94492856737,"9HPT-832","Female"
"LDW5-JN2",94492856738,"9C72-WGJ","Male"
"LDW5-JN2",94492856739,"9CZV-2KJ","Female"
"LD9Y-C7T",94492856740,"9SJP-9TN","Male"
"LD9Y-C7T",94492856741,"LVDV-KPT","Female"
"LD9Y-CW9",94492856742,"LZDH-NFR","Male"
"LD9Y-CW9",94492856743,"LD9C-ZGZ","Female"
"94T6-749",94492856744,"GKZ8-PM1","Male"
"94T6-749",94492856745,"GMXZ-2CC","Female"
"GLLC-968",94492856746,"G8K3-VQ8","Male"
"GLLC-968",94492856747,"G9TH-6YX","Female"
"L1DW-Q5N",94492856748,"LY5W-N6P","Male"
"L1DW-Q5N",94492856749,"LHWS-BFW","Female"
"2781-6PP",94492856750,"GDB8-4V9","Male"
"2781-6PP",94492856751,"GVZM-RKC","Female"
"L1DW-Q5N",94492856752,"LY5W-N6P","Male"
"L1DW-Q5N",94492856753,"LHWS-BFW","Female"
"2781-6PP",94492856754,"GDB8-4V9","Male"
"2781-6PP",94492856755,"GVZM-RKC","Female"
"G36D-72Y",94492856756,"LBBB-4XS","Male"
"G36D-72Y",94492856757,"LDHS-6S3","Female"
"L18F-8KW",94492856758,"LM1T-ZQX","Male"
"L18F-8KW",94492856759,"273M-74Y","Female"
"LYDW-KW7",94492856760,"LZPK-P7H","Male"
"LYDW-KW7",94492856761,"GN4S-LXY","Female"
"LY67-3N8",94492856762,"LCRR-KM2","Male"
"LY67-3N8",94492856763,"LDW5-JN2","Female"
"LR1T-XQ7",94492856764,"GG45-P7D","Male"
"GZXX-B8X",94492856766,"L8RR-S6X","Male"
"GZXX-B8X",94492856767,"L8RR-S6J","Female"
"L1DW-Q5N",94492856772,"LY5W-N6P","Male"
"L1DW-Q5N",94492856773,"LHWS-BFW","Female"
"2781-6PP",94492856774,"GDB8-4V9","Male"
"2781-6PP",94492856775,"GVZM-RKC","Female"
"LH5D-1C9",94492856776,"94T6-749","Male"
"LH5D-1C9",94492856777,"GG5K-DVK","Female"
"G21C-YGX",94492856784,"G3J9-6J7","Male"
"G21C-YGX",94492856785,"G3TV-LBZ","Female"
"G8WB-J6L",94492856786,"L21Y-H6W","Male"
"G8WB-J6L",94492856787,"GWQD-2B3","Female"
"G8WL-T7Q",94492856788,"LRW8-HDK","Male"
"G8WL-T7Q",94492856789,"GG7X-L3P","Female"
"GDSY-Z6B",94492856790,"G2XY-THH","Male"
"GDSY-Z6B",94492856791,"G2XY-YY6","Female"
"G21J-37H",94492856792,"G6V3-NYN","Male"
"G21J-37H",94492856793,"G21J-LYT","Female"
"GG5W-TJ1",94492856808,"GGB9-4CK","Male"
"GG5W-TJ1",94492856809,"9MTF-W16","Female"
"LZ19-924",94492856812,"LZF6-M94","Male"
"LZ19-924",94492856813,"GWW8-LWR","Female"
"GGT6-NYC",94492856816,"GW2T-YH6","Male"
"GGT6-NYC",94492856817,"GX5P-L6M","Female"
"GGTD-5CG",94492856818,"GGTX-XJX","Male"
"GGTD-5CG",94492856819,"GGT6-1Q1","Female"
"LH3J-XVF",94492856820,"GGYS-TR5","Male"
"LH3J-XVF",94492856821,"GGYS-R4S","Female"
"LD9R-5PH",94492856824,"L187-NYR","Male"
"LD9R-5PH",94492856825,"9WQY-MZT","Female"
"LYCT-Y9Q",94492856832,"GSKF-F7X","Male"
"LYCT-Y9Q",94492856833,"GF1S-331","Female"
"L142-WBW",94492856834,"9W1F-TP6","Male"
"L142-WBW",94492856835,"K4BW-2FF","Female"
"K6WN-292",94492856836,"LD9Y-G1J","Male"
"K6WN-292",94492856837,"LYZB-L4Y","Female"
"2NBQ-VZ5",94492856838,"9H4X-GTQ","Male"
"2NBQ-VZ5",94492856839,"GG28-2WH","Female"
"GLTD-CTG",94492856850,"GD5G-7PX","Male"
"GLTD-CTG",94492856851,"GLFH-NWX","Female"
"L8YG-8PB",94492856856,"L87F-P2T","Male"
"L8YG-8PB",94492856857,"GNWG-WJ8","Female"
"9C72-WGJ",94492856860,"L4HF-2RY","Male"
"9C72-WGJ",94492856861,"L8TG-1DR","Female"
