"fid","ascendancy","parent","gender"
"G6BD-39L",13960105122,"LKV6-VJ5","Male"
"G6BD-39L",13960105123,"9HD7-6RX","Female"
"G2SJ-56D",13960105128,"G2WD-PJL","Male"
"G2SJ-8P4",13960105130,"GVSZ-WDK","Male"
"G2SJ-8P4",13960105131,"G2W6-MJZ","Female"
"G4R8-PS1",13960105136,"GSV7-NV5","Male"
"G4R8-PS1",13960105137,"GSCM-XFK","Female"
"GNLW-W9M",13960105138,"GKML-LQ9","Male"
"GNLW-W9M",13960105139,"G4MR-G11","Female"
"GHYL-DDR",13960105144,"GX2Q-S65","Male"
"GHYL-DDR",13960105145,"9CXW-ZN2","Female"
"G8YZ-QDQ",13960105148,"LL31-NXN","Male"
"G8YZ-QDQ",13960105149,"GLWQ-CLK","Female"
"LDZN-ZVF",13960105150,"L812-GLB","Male"
"LDZN-ZVF",13960105151,"GKNH-2K7","Female"
"LYJ2-TZG",13960105152,"LBX8-DDN","Male"
"LYJ2-TZG",13960105153,"LDW2-4JB","Female"
"LYJ2-LF5",13960105154,"M1S9-5V6","Male"
"GSW1-4MT",13960105156,"G8WY-NB7","Male"
"GSW1-4MT",13960105157,"9Z8H-QFQ","Female"
"L28C-QYX",13960105158,"935X-1CT","Male"
"L28C-QYX",13960105159,"LZS3-9ZK","Female"
"GKZZ-G86",13960105160,"G2C4-QBG","Male"
"GKZZ-G86",13960105161,"LYKL-Q41","Female"
"GG3V-MT8",13960105162,"GKZZ-32Y","Male"
"GG3V-MT8",13960105163,"L17Y-BLH","Female"
"G4D6-T9T",13960105164,"GJ4X-C6N","Male"
"G4D6-T9T",13960105165,"G4QS-TSJ","Female"
"GNXV-D5B",13960105166,"GNXV-C33","Male"
"GNXV-D5B",13960105167,"GS4N-539","Female"
"GX28-5SG",13960105168,"GX2Q-HY5","Male"
"GX28-5SG",13960105169,"GKZZ-JVH","Female"
"GK94-G65",13960105170,"GJBS-C31","Male"
"GK94-G65",13960105171,"GXQT-DLW","Female"
"9CSQ-RVL",13960105172,"G95M-WZ9","Male"
"9CSQ-RVL",13960105173,"9V7R-KN5","Female"
"GKNH-2K7",13960105174,"LDW2-QX1","Male"
"GKNH-2K7",13960105175,"267Y-B3F","Female"
"GJZ1-VHV",13960105176,"GKZZ-FLZ","Male"
"GJZ1-VHV",13960105177,"GKFB-368","Female"
"GKFJ-3NP",13960105182,"GJ89-N8N","Male"
"GKFJ-3NP",13960105183,"GLCM-C2W","Female"
"LZ1V-KTQ",13960105184,"9MWR-GHW","Male"
"LZ1V-KTQ",13960105185,"LZ1V-KT6","Female"
"GDN3-LQK",13960105186,"LH8G-2RH","Male"
"GDN3-LQK",13960105187,"LDW2-7JJ","Female"
"LBTD-DM3",13960105188,"GL9R-YL9","Male"
"LBTD-DM3",13960105189,"LDHQ-P5F","Female"
"LDSM-4M1",13960105190,"KHQ6-TFB","Male"
"LDSM-4M1",13960105191,"LDSM-H39","Female"
"GWMF-GL3",13960105192,"L7LL-FB1","Male"
"GWMF-GL3",13960105193,"LZVR-GMG","Female"
"LDSM-QN8",13960105194,"93LF-J1V","Male"
"LDSM-QN8",13960105195,"931M-DSZ","Female"
"LB4Q-HKB",13960105196,"LHYG-XJF","Male"
"LB4Q-HKB",13960105197,"GDGW-LRZ","Female"
