"fid","ascendancy","parent","gender"
"KH4D-HB7",5818332990,"KZKW-93X","Male"
"KH4D-HB7",5818332991,"G6SV-W29","Female"
"G6B1-LGM",5818333056,"G6B1-RJ4","Male"
"G6B1-LGM",5818333057,"G6LB-1ZJ","Female"
"934P-X69",5818333072,"949K-5Q2","Male"
"LDSS-8WS",5818333080,"L7LT-X1D","Male"
"9ZCG-R7L",5818333082,"KZPV-BQM","Male"
"9ZCG-R7L",5818333083,"GG81-W5D","Female"
"LRHH-9JN",5818333084,"M1VS-25N","Male"
"LRHH-9JN",5818333085,"LDSS-KHY","Female"
"LZGK-6BD",5818333086,"LZGQ-LJX","Male"
"LZGK-6BD",5818333087,"GG5V-KXG","Female"
"L619-MQH",5818333096,"934P-X69","Male"
"L619-MQH",5818333097,"GLVM-QFF","Female"
"LDSS-ZMW",5818333100,"LDSS-8WS","Male"
"LDSS-ZMW",5818333101,"9ZCG-R7L","Female"
"LDSS-ZMD",5818333102,"LRHH-9JN","Male"
"LDSS-ZMD",5818333103,"LZGK-6BD","Female"
"GDLQ-MX5",5818333104,"G69B-SSH","Male"
"GDLQ-MX5",5818333105,"GZYQ-4J1","Female"
"LY72-MRC",5818333106,"LJ2H-W3S","Male"
"LY72-MRC",5818333107,"LZ2S-DKM","Female"
"L8T9-YR8",5818333110,"GXDM-3H9","Male"
"L8T9-YR8",5818333111,"LBHG-TXR","Female"
"99Y7-MCD",5818333120,"KN8N-WHW","Male"
"99Y7-MCD",5818333121,"9SYL-S5H","Female"
"LBKM-9MP",5818333122,"G67W-G57","Male"
"LBKM-9MP",5818333123,"MZHC-RBM","Female"
"L1QG-G8M",5818333124,"LDFZ-8Q1","Male"
"L1QG-G8M",5818333125,"LHPZ-VGH","Female"
"LDW5-66P",5818333128,"LD9R-RB7","Male"
"LDW5-66P",5818333129,"LDSS-6H5","Female"
"LDW5-623",5818333130,"LDMT-HMZ","Male"
"LDW5-623",5818333131,"LD91-ST3","Female"
"KCXK-S69",5818333132,"L8MB-ZMK","Male"
"KCXK-S69",5818333133,"MB1Q-ZWW","Female"
"GJR2-7VD",5818333134,"LDMT-W6R","Male"
"GJR2-7VD",5818333135,"LT83-H6M","Female"
"MKKN-R3H",5818333136,"GG5Y-858","Male"
"9Q6D-L88",5818333138,"GKPX-TG7","Male"
"9Q6D-L88",5818333139,"GN4Z-XZP","Female"
"K417-PHT",5818333140,"LTTZ-YL8","Male"
"K417-PHT",5818333141,"LYSG-SY9","Female"
"9S3D-N8F",5818333142,"9C32-7PC","Male"
"9S3D-N8F",5818333143,"M5YG-GGX","Female"
"GN9S-PHK",5818333168,"GWKF-XY9","Male"
"GN9S-PHK",5818333169,"GWKF-FBF","Female"
"9HV8-NJK",5818333172,"9HV8-NVS","Male"
"9HV8-NJK",5818333173,"L2TT-6C2","Female"
"G6Y8-CVK",5818333176,"G6Y5-V53","Male"
"L8MP-TBP",5818333180,"GQPW-7XG","Male"
"L8MP-TBP",5818333181,"G6G8-S9J","Female"
"L2DW-2N6",5818333445,"GH2N-8CJ","Female"
"L23B-SML",5818333472,"949V-45K","Male"
"L23B-SML",5818333473,"LZJG-KGB","Female"
"93RB-1XB",5818333474,"GXDT-KYN","Male"
"93RB-1XB",5818333475,"GXDY-7MJ","Female"
"GHDX-6HK",5818333476,"G8S1-LJR","Male"
"GHDX-6HK",5818333477,"GCML-D6R","Female"
