"fid","ascendancy","parent","gender"
"9HYM-87T",14087257184,"GNT4-LY5","Male"
"9HYM-87T",14087257185,"GDL9-6NN","Female"
"LTK3-YL5",14087257186,"LTK3-8VH","Male"
"LTK3-YL5",14087257187,"GHMC-S6W","Female"
"9915-W3T",14087257188,"GL7X-KX1","Male"
"9915-W3T",14087257189,"GLWD-X2D","Female"
"G34F-CPK",14087257190,"LHTX-J4Y","Male"
"G34F-CPK",14087257191,"G34F-HFB","Female"
"G6T4-VS4",14087257192,"GW1V-6D9","Male"
"29YL-C18",14087257196,"GX5G-839","Male"
"29YL-C18",14087257197,"L87D-4PX","Female"
"K84R-TMS",14087257264,"LDHB-RRD","Male"
"K84R-TMS",14087257265,"GKVP-QMK","Female"
"LTF2-JTC",14087257268,"9SJJ-97N","Male"
"LTF2-JTC",14087257269,"LZJG-K5N","Female"
"LKNM-HR3",14087257270,"LJ2H-W3S","Male"
"LKNM-HR3",14087257271,"LZ2S-DKM","Female"
"L1QD-DXV",14087257272,"GJ2V-WRY","Male"
"L1QD-DXV",14087257273,"G2CN-HW6","Female"
"LD9P-M8N",14087257274,"LD9P-MFB","Male"
"LD9P-M8N",14087257275,"LH6C-VKZ","Female"
"GD65-2F2",14087257280,"G2RV-DFJ","Male"
"GD65-2F2",14087257281,"G2RJ-1WJ","Female"
"KNSN-3NT",14087257282,"KNQ6-9ZF","Male"
"LT8Q-95L",14087257284,"LDS9-GTK","Male"
"LT8Q-95L",14087257285,"GMN3-7TX","Female"
"LVVK-HVJ",14087257292,"LT83-QKS","Male"
"LVVK-HVJ",14087257293,"GDG2-NJC","Female"
"GX26-XRJ",14087257294,"G9M5-FF1","Male"
"GX26-XRJ",14087257295,"GN9F-M6Q","Female"
"GDHY-7SR",14087257296,"GXD4-VH6","Male"
"GDHY-7SR",14087257297,"GXDH-74P","Female"
"GLTH-3M3",14087257298,"GLTH-SF8","Male"
"GLTH-3M3",14087257299,"GLTH-M66","Female"
"LD1R-LZF",14087257304,"GNBX-9JC","Male"
"LD1R-LZF",14087257305,"GFC6-D1X","Female"
"LZ2K-W9Y",14087257306,"GD7G-BVP","Male"
"LZ2K-W9Y",14087257307,"9HG1-CKS","Female"
"9MH5-29J",14087257308,"9MH5-2Q7","Male"
"9MH5-29J",14087257309,"G6H3-26Y","Female"
"LZZW-6XG",14087257310,"M1W5-BFF","Male"
"LZZW-6XG",14087257311,"9CW5-JNL","Female"
"GMP6-NXR",14087257312,"GMF5-BSR","Male"
"GMP6-NXR",14087257313,"L1WB-PZW","Female"
"G39X-CX3",14087257314,"9H27-6Y3","Male"
"G39X-CX3",14087257315,"MWBC-XS5","Female"
"G9M5-FF1",14087257344,"LY9D-2F8","Male"
"G9M5-FF1",14087257345,"L28D-TJH","Female"
"GN9F-M6Q",14087257346,"GJTS-3TP","Male"
"GN9F-M6Q",14087257347,"GN15-LRT","Female"
"LZGQ-LJX",14087257348,"KDQW-JTJ","Male"
"LZGQ-LJX",14087257349,"LDS9-GGV","Female"
"GNSH-WMX",14087257352,"G7NH-CM4","Male"
"GNSH-WMX",14087257353,"G215-VM8","Female"
"G2J9-N5G",14087257364,"GLL2-BZV","Male"
"LT6Z-NRQ",14087257366,"GC4V-KPG","Male"
"LT6Z-NRQ",14087257367,"L175-67M","Female"
"M9L6-6YN",14087257368,"K84R-TMS","Male"
"M9L6-6YN",14087257369,"GGGW-RYH","Female"
"2MYM-NS1",14087257370,"LTF2-JTC","Male"
"2MYM-NS1",14087257371,"LKNM-HR3","Female"
"GD4S-KVF",14087257372,"L1QD-DXV","Male"
"GD4S-KVF",14087257373,"LD9P-M8N","Female"
"GVHW-NRT",14087257376,"GVDF-MGZ","Male"
"GVHW-NRT",14087257377,"GVDX-FF4","Female"
"9CHV-B26",14087257384,"GNSH-WMX","Male"
"9CHV-B26",14087257385,"G215-3C9","Female"
"M9L6-6YN",14087257388,"K84R-TMS","Male"
"M9L6-6YN",14087257389,"GGGW-RYH","Female"
"2MYM-NS1",14087257390,"LTF2-JTC","Male"
"2MYM-NS1",14087257391,"LKNM-HR3","Female"
"G2J9-N5G",14087257396,"GLL2-BZV","Male"
"LT6Z-NRQ",14087257398,"GC4V-KPG","Male"
"LT6Z-NRQ",14087257399,"L175-67M","Female"
"M9L6-6YN",14087257400,"K84R-TMS","Male"
"M9L6-6YN",14087257401,"GGGW-RYH","Female"
"2MYM-NS1",14087257402,"LTF2-JTC","Male"
"2MYM-NS1",14087257403,"LKNM-HR3","Female"
"GD4S-KVF",14087257404,"L1QD-DXV","Male"
"GD4S-KVF",14087257405,"LD9P-M8N","Female"
"K84R-TMS",14087257408,"LDHB-RRD","Male"
"K84R-TMS",14087257409,"GKVP-QMK","Female"
"LTF2-JTC",14087257412,"9SJJ-97N","Male"
"LTF2-JTC",14087257413,"LZJG-K5N","Female"
"LKNM-HR3",14087257414,"LJ2H-W3S","Male"
"LKNM-HR3",14087257415,"LZ2S-DKM","Female"
"L1QD-DXV",14087257416,"GJ2V-WRY","Male"
"L1QD-DXV",14087257417,"G2CN-HW6","Female"
"LD9P-M8N",14087257418,"LD9P-MFB","Male"
"LD9P-M8N",14087257419,"LH6C-VKZ","Female"
"KNDD-84D",14087257424,"L1WT-FRN","Male"
"KNDD-84D",14087257425,"L1WY-QMZ","Female"
"GQQX-89B",14087257426,"LB5R-TH8","Male"
"GQQX-89B",14087257427,"LDHQ-P5F","Female"
"LR6N-PQP",14087257428,"LBJ9-GZ4","Male"
"LR6N-PQP",14087257429,"KZPP-B68","Female"
"LDSS-RGB",14087257430,"L18B-R3G","Male"
"LDSS-RGB",14087257431,"KDQH-DJG","Female"
"LBLP-PPD",14087257438,"G23Z-T5F","Male"
"LBLP-PPD",14087257439,"GFJR-GNC","Female"
"GQRQ-LYV",14087257440,"GQRQ-G6B","Male"
"GQRQ-LYV",14087257441,"GGVR-2KC","Female"
"G6TY-2YB",14087257442,"GXCR-NTD","Male"
"G6TY-2YB",14087257443,"GXCR-22N","Female"
"L8B9-R7W",14087257472,"GGSV-LFL","Male"
"L8B9-R7W",14087257473,"GGSK-HFX","Female"
"GQ1N-HXB",14087257480,"G7YH-3GJ","Male"
"GQ1N-HXB",14087257481,"GC45-DB8","Female"
"G6T6-9H3",14087257484,"G8SK-15F","Male"
"G2J9-N5G",14087257492,"GLL2-BZV","Male"
"LT6Z-NRQ",14087257494,"GC4V-KPG","Male"
"LT6Z-NRQ",14087257495,"L175-67M","Female"
"M9L6-6YN",14087257496,"K84R-TMS","Male"
"M9L6-6YN",14087257497,"GGGW-RYH","Female"
"2MYM-NS1",14087257498,"LTF2-JTC","Male"
"2MYM-NS1",14087257499,"LKNM-HR3","Female"
"GD4S-KVF",14087257500,"L1QD-DXV","Male"
"GD4S-KVF",14087257501,"LD9P-M8N","Female"
"LJB5-Z4Y",14087257504,"9C32-7PC","Male"
"LJB5-Z4Y",14087257505,"M5YG-GGX","Female"
"29T1-RW8",14087257506,"93LF-J1V","Male"
"29T1-RW8",14087257507,"931M-DSZ","Female"
"LDSS-ZMW",14087257508,"LDSS-8WS","Male"
"LDSS-ZMW",14087257509,"9ZCG-R7L","Female"
"LDSS-ZMD",14087257510,"LRHH-9JN","Male"
"LDSS-ZMD",14087257511,"LZGK-6BD","Female"
"GH7M-SN1",14087257512,"LM1H-8JF","Male"
"GH7M-SN1",14087257513,"LBDD-T2H","Female"
"M1TK-CR7",14087257514,"LYJ2-TZG","Male"
"M1TK-CR7",14087257515,"LYJ2-LF5","Female"
"9CSQ-RVL",14087257516,"G95M-WZ9","Male"
"9CSQ-RVL",14087257517,"9V7R-KN5","Female"
"GKNH-2K7",14087257518,"LDW2-QX1","Male"
"GKNH-2K7",14087257519,"267Y-B3F","Female"
"L1Z8-522",14087257520,"99Y7-MCD","Male"
"L1Z8-522",14087257521,"LBKM-9MP","Female"
"L1S4-4N9",14087257522,"L1QG-G8M","Male"
"L1S4-4N9",14087257523,"LD97-QLP","Female"
"LDW5-FB6",14087257524,"LDW5-66P","Male"
"LDW5-FB6",14087257525,"LDW5-623","Female"
"LDW5-N39",14087257526,"KCXK-S69","Male"
"LDW5-N39",14087257527,"GJR2-7VD","Female"
"M4N1-6BT",14087257528,"MKKN-R3H","Male"
"M4N1-6BT",14087257529,"9Q6D-L88","Female"
"L8PY-H7K",14087257530,"K417-PHT","Male"
"L8PY-H7K",14087257531,"9S3D-N8F","Female"
"G6T4-VGS",14087257600,"GZ49-QNV","Male"
"G6T4-VGS",14087257601,"GX7F-YKZ","Female"
"GL79-WSF",14087257602,"LBX8-DDN","Male"
"GL79-WSF",14087257603,"LDW2-4JB","Female"
"G27V-714",14087257604,"GGG1-3DL","Male"
"G27V-714",14087257605,"GGG1-364","Female"
"LKGC-R98",14087257606,"G6GQ-R3F","Male"
"LKGC-R98",14087257607,"G8R7-2L1","Female"
"GGG1-3DL",14087257608,"GSCN-N5D","Male"
"GGG1-3DL",14087257609,"LHGL-6S6","Female"
"GGG1-364",14087257610,"GZ49-QNV","Male"
