"fid","ascendancy","parent","gender"
"LYBV-FJL",1412469630,"LBYK-MCN","Male"
"LYBV-FJL",1412469631,"LYBC-B2V","Female"
"LLQR-JZM",1412469632,"GKNF-W2B","Male"
"LLQR-JZM",1412469633,"GFF2-J1J","Female"
"L853-7GY",1412469634,"MLMR-64J","Male"
"L853-7GY",1412469635,"G2WX-CF6","Female"
"GN6J-679",1412469636,"GSYR-X36","Male"
"GN6J-679",1412469637,"KLXB-XZX","Female"
"LYDM-F1T",1412469638,"9HGZ-QJD","Male"
"LYDM-F1T",1412469639,"LRGN-LN7","Female"
"LRJ7-JBF",1412469640,"LB2K-M6V","Male"
"LRJ7-JBF",1412469641,"GQMG-8W6","Female"
"LBRH-PLS",1412469642,"GD9B-QYY","Male"
"LBRH-PLS",1412469643,"LH5H-7RJ","Female"
"GFT8-KGV",1412469644,"MB13-7W2","Male"
"GFT8-KGV",1412469645,"G3TY-3Q7","Female"
"GN47-2JY",1412469646,"G6YJ-W3R","Male"
"GN47-2JY",1412469647,"G4R9-F6Y","Female"
"GWJT-B55",1412469648,"G683-SRD","Male"
"GWJT-B55",1412469649,"LHXX-JQ2","Female"
"G3TY-GNY",1412469650,"LYPJ-P88","Male"
"G3TY-GNY",1412469651,"G2YM-LS2","Female"
"GX4V-CN4",1412469652,"G683-98R","Male"
"GX4V-CN4",1412469653,"G2T1-R1C","Female"
"G6MF-L5Q",1412469656,"GJRK-N7G","Male"
"G6MF-L5Q",1412469657,"G2YM-XJT","Female"
"GGC9-27X",1412469658,"GZTF-R9T","Male"
"GGC9-27X",1412469659,"LY3L-XFV","Female"
"GX4V-CN4",1412469660,"G683-98R","Male"
"GX4V-CN4",1412469661,"G2T1-R1C","Female"
"MFVK-8PY",1412469664,"9CMV-1BV","Male"
"MFVK-8PY",1412469665,"9CMV-1B2","Female"
"2M5Y-3XL",1412469672,"94RQ-Q21","Male"
"2M5Y-3XL",1412469673,"M7F1-XHN","Female"
"MSMF-15R",1412469674,"9S73-K2D","Male"
"MSMF-15R",1412469675,"LZLQ-12N","Female"
"9H8D-NKZ",1412469676,"L8MB-PR8","Male"
