"fid","ascendancy","parent","gender"
"LH86-HY5",44124049064,"KNDD-84D","Male"
"LH86-HY5",44124049065,"GQQX-89B","Female"
"GZRV-4MX",44124049066,"LR6N-PQP","Male"
"GZRV-4MX",44124049067,"LDSS-RGB","Female"
"GN38-YJ6",44124049070,"LYRG-K5J","Male"
"GN38-YJ6",44124049071,"LBLP-PPD","Female"
"G29L-DN9",44124049072,"GQRQ-LYV","Male"
"G29L-DN9",44124049073,"G6TY-2YB","Female"
"9CXW-GQR",44124049088,"G6B1-NGH","Male"
"9CXW-GQR",44124049089,"GJXP-LCC","Female"
"LBSY-43P",44124049092,"L619-MQH","Male"
"LBSY-43P",44124049093,"GK8M-8WF","Female"
"L8M6-YWJ",44124049094,"LDSS-ZMW","Male"
"L8M6-YWJ",44124049095,"LDSS-ZMD","Female"
"G7XM-XH5",44124049096,"LLCW-6W8","Male"
"G7XM-XH5",44124049097,"GWK5-12V","Female"
"KDQW-FYD",44124049098,"LBSY-43P","Male"
"KDQW-FYD",44124049099,"L8M6-YWJ","Female"
"M6Z8-D8X",44124049100,"9HGP-DBV","Male"
"M6Z8-D8X",44124049101,"LXWD-248","Female"
"L1Q8-65G",44124049104,"L1Z8-522","Male"
"L1Q8-65G",44124049105,"L1S4-4N9","Female"
"MXWH-HJ8",44124049106,"LDW5-FB6","Male"
"MXWH-HJ8",44124049107,"LDW5-N39","Female"
"L8YB-8WZ",44124049108,"M4N1-6BT","Male"
"L8YB-8WZ",44124049109,"L8PY-H7K","Female"
"GFG3-G3F",44124049110,"G8PF-7ZF","Male"
"9HZL-Y9F",44124049112,"9HZL-Y92","Male"
"LBS1-VRM",44124049116,"LJRG-7ST","Male"
"LBS1-VRM",44124049117,"28WM-FQ6","Female"
"LT7J-3T8",44124049118,"GDTX-41X","Male"
"LT7J-3T8",44124049119,"GX4S-QCJ","Female"
"LH86-HY5",44124049120,"KNDD-84D","Male"
"LH86-HY5",44124049121,"GQQX-89B","Female"
"GZRV-4MX",44124049122,"LR6N-PQP","Male"
"GZRV-4MX",44124049123,"LDSS-RGB","Female"
"GN38-YJ6",44124049126,"LYRG-K5J","Male"
"GN38-YJ6",44124049127,"LBLP-PPD","Female"
"9CS3-646",44124049128,"9H17-VTZ","Male"
"9CS3-646",44124049129,"LY57-55F","Female"
"KDQH-YTP",44124049132,"GGTT-FJW","Male"
"KDQH-YTP",44124049133,"GGT5-2TY","Female"
"LBH5-S3X",44124049134,"LD9R-5G3","Male"
"LBH5-S3X",44124049135,"M897-QTS","Female"
"93LF-J1V",44124049136,"L1HZ-WR2","Male"
"93LF-J1V",44124049137,"MDWC-L73","Female"
"931M-DSZ",44124049138,"KFLG-12B","Male"
"931M-DSZ",44124049139,"M5YG-GGX","Female"
"9WC7-CFS",44124049140,"GF4P-DDQ","Male"
"9WC7-CFS",44124049141,"GVW6-VCK","Female"
"KZQY-4CD",44124049142,"LJG8-98D","Male"
"KZQY-4CD",44124049143,"LBS6-SSC","Female"
