"fid","ascendancy","parent","gender"
"G6LM-CX5",28187559682,"G88B-91T","Male"
"G6LM-CX5",28187559683,"G75V-JYH","Female"
"G8W1-Q7K",28187559684,"9WQT-DRR","Male"
"G8W1-Q7K",28187559685,"GHXP-711","Female"
"MVX3-57J",28187559698,"LCCR-Z5Z","Male"
"MVX3-57J",28187559699,"G215-J1Y","Female"
"L2Y4-PFW",28187559700,"GZ7L-WGP","Male"
"L2Y4-PFW",28187559701,"GCKD-YVB","Female"
"GDBL-R24",28187559702,"9WQT-DRR","Male"
"GDBL-R24",28187559703,"GHXP-711","Female"
"LBYD-3B8",28187559704,"GQPW-7F4","Male"
"LBYD-3B8",28187559705,"GK56-S2G","Female"
"GWPQ-8SM",28187559706,"L8B9-R7W","Male"
"GWPQ-8SM",28187559707,"GL2S-9H4","Female"
"G9B5-T8B",28187559712,"LDSS-1KQ","Male"
"G9B5-T8B",28187559713,"LDSS-6CT","Female"
"GKDT-SNG",28187559714,"G21T-2NY","Male"
"GKDT-SNG",28187559715,"GKXZ-H66","Female"
"LB29-Z1M",28187559720,"GNNF-JLW","Male"
"LB29-Z1M",28187559721,"9Z8F-7QP","Female"
"LY6M-DJJ",28187559722,"998F-RYD","Male"
"LY6M-DJJ",28187559723,"9WYV-M96","Female"
"K23R-YZ3",28187559724,"LZ1V-KTQ","Male"
"K23R-YZ3",28187559725,"GDN3-LQK","Female"
"MJB1-X23",28187559726,"GGCR-SMM","Male"
"MJB1-X23",28187559727,"GGCR-FNL","Female"
"L1QD-DXV",28187559728,"GJ2V-WRY","Male"
"L1QD-DXV",28187559729,"G2CN-HW6","Female"
"LD9P-M8N",28187559730,"LD9P-MFB","Male"
"LD9P-M8N",28187559731,"LH6C-VKZ","Female"
"LB29-Z1M",28187559736,"GNNF-JLW","Male"
"LB29-Z1M",28187559737,"9Z8F-7QP","Female"
"LY6M-DJJ",28187559738,"998F-RYD","Male"
"LY6M-DJJ",28187559739,"9WYV-M96","Female"
"K23R-YZ3",28187559740,"LZ1V-KTQ","Male"
"K23R-YZ3",28187559741,"GDN3-LQK","Female"
"MJB1-X23",28187559742,"GGCR-SMM","Male"
"MJB1-X23",28187559743,"GGCR-FNL","Female"
"GKRH-C8F",28187559744,"GHDT-QDY","Male"
"GKRH-C8F",28187559745,"G233-Z3Q","Female"
"G7N2-L3R",28187559748,"MFHW-5JK","Male"
"G7N2-L3R",28187559749,"MFHW-5VS","Female"
"LBG5-2XW",28187559754,"GGQP-8FZ","Male"
"GN8T-XXP",28187559761,"GDDX-26N","Female"
"GN8T-XXP",28187559760,"GL19-WZ2","Male"
"GDDX-26N",28187559762,"L44F-CR9","Male"
"GDDX-26N",28187559763,"KZYR-P8Q","Female"
"GX7F-H4V",28187559768,"GJHN-D6T","Male"
"GX7F-H4V",28187559769,"GG3N-MY5","Female"
"LRHV-NGV",28187559770,"GG91-F5X","Male"
"LRHV-NGV",28187559771,"LRHH-6PZ","Female"
"GH7M-SN1",28187559772,"LM1H-8JF","Male"
"GH7M-SN1",28187559773,"LBDD-T2H","Female"
"M1TK-CR7",28187559774,"LYJ2-TZG","Male"
"M1TK-CR7",28187559775,"LYJ2-LF5","Female"
"G6LS-MKQ",28187559778,"G6L9-L23","Male"
"G6LS-MKQ",28187559779,"G6L9-T81","Female"
"GVP5-C9T",28187559784,"GXL2-JW3","Male"
"GVP5-C9T",28187559785,"LB6T-R26","Female"
"GXL2-JW9",28187559786,"GXL2-PWL","Male"
"GXL2-JW9",28187559787,"G691-QBT","Female"
"GXLL-772",28187559788,"G8WB-FXH","Male"
"GXLL-772",28187559789,"LRCX-B7P","Female"
"GXLL-H1T",28187559790,"GCHN-1NN","Male"
"GXLL-H1T",28187559791,"LRC2-BZP","Female"
"GDYF-V45",28187559792,"GKKR-SJS","Male"
"GDYF-V45",28187559793,"GKKR-M85","Female"
"GDYF-P27",28187559794,"GJ1K-3TF","Male"
"GDYF-P27",28187559795,"GJ1K-Z21","Female"
"GJLX-WCJ",28187559796,"GVML-H6M","Male"
"GJLX-WCJ",28187559797,"L2TG-GJM","Female"
"GJLX-3XB",28187559798,"GJLX-96Z","Male"
"GJLX-3XB",28187559799,"GQQ4-7ZD","Female"
"G8ML-9YW",28187559800,"GNRP-KHY","Male"
"G8ML-9YW",28187559801,"GJG3-DF2","Female"
"L2SG-RS8",28187559804,"9WQB-K5S","Male"
"L2SG-RS8",28187559805,"GXRK-V4T","Female"
"MD74-CND",28187559808,"GGJ6-SZK","Male"
"MD74-CND",28187559809,"G622-2DY","Female"
"GHLG-RRM",28187559810,"G6TY-QJN","Male"
"GHLG-RRM",28187559811,"G8W1-9JZ","Female"
"K8K2-683",28187559812,"KC9S-MPC","Male"
"K8K2-683",28187559813,"L7JF-2YC","Female"
"G62Y-2LW",28187559828,"LB29-Z1M","Male"
"G62Y-2LW",28187559829,"LY6M-DJJ","Female"
"LDSM-WYF",28187559840,"998F-RYD","Male"
"LDSM-WYF",28187559841,"9WYV-M96","Female"
"9SZ5-9W1",28187559842,"L8T2-WP2","Male"
"9SZ5-9W1",28187559843,"LQR2-NXQ","Female"
"L8WB-9MG",28187559844,"M1DV-XGP","Male"
"L8WB-9MG",28187559845,"L19S-RGW","Female"
"L8WB-8LY",28187559846,"L8BS-C55","Male"
"L8WB-8LY",28187559847,"9Z45-3FJ","Female"
"9C7K-RHB",28187559848,"KZGJ-SQ8","Male"
"9C7K-RHB",28187559849,"L87F-RS8","Female"
"GMLQ-HJ4",28187559850,"L8T2-WP2","Male"
"GMLQ-HJ4",28187559851,"L5T3-JSG","Female"
"KFLJ-TW7",28187559852,"93QC-WRW","Male"
"KFLJ-TW7",28187559853,"LVD6-PLK","Female"
"L5YR-XC6",28187559854,"L8T2-W14","Male"
"L5YR-XC6",28187559855,"L64T-8MH","Female"
"LDSM-QML",28187559856,"LDSM-WYF","Male"
"LDSM-QML",28187559857,"9SZ5-9W1","Female"
"L1H7-X4B",28187559858,"L8WB-9MG","Male"
"L1H7-X4B",28187559859,"L8WB-8LY","Female"
"L8T2-WFV",28187559860,"9H6D-XP1","Male"
"L8T2-WFV",28187559861,"9H6D-XP2","Female"
"L8T2-WFG",28187559862,"LY6D-HVT","Male"
"L8T2-WFG",28187559863,"LZTQ-MTH","Female"
"9HBT-X6S",28187559864,"LBBZ-8DB","Male"
"9HBT-X6S",28187559865,"LHZT-ZL9","Female"
"9CW3-3SK",28187559866,"9CS3-646","Male"
"9CW3-3SK",28187559867,"LY6J-G8R","Female"
"KF9B-5KD",28187559868,"LBV3-PXG","Male"
"KF9B-5KD",28187559869,"L8WB-MRM","Female"
"LDSM-3YK",28187559870,"LTC9-L6F","Male"
"LDSM-3YK",28187559871,"LTC9-G9Y","Female"
"G91J-D7N",28187559872,"GH7P-3TW","Male"
"G91J-D7N",28187559873,"G6R5-ZG3","Female"
"GSZF-838",28187559874,"G6R5-8H1","Male"
"GSZF-838",28187559875,"LD37-X5G","Female"
"G6R5-DYJ",28187559876,"GZ5H-B7N","Male"
"G6R5-FLM",28187559878,"G6R5-8H1","Male"
"G6R5-FLM",28187559879,"LD37-X5G","Female"
"G8W1-4RF",28187559880,"G325-7CS","Male"
"G8WB-FFH",28187559882,"G8WB-2S4","Male"
"G8WB-FFH",28187559883,"GXQP-DGZ","Female"
"LH2K-31V",28187559886,"G6R5-8H1","Male"
"LH2K-31V",28187559887,"LD37-X5G","Female"
"L44D-MXY",28187559888,"G3SD-D1M","Male"
"L44D-MXY",28187559889,"G3SD-9NV","Female"
"GMNF-3QK",28187559890,"9HV8-71B","Male"
"GMNF-3QK",28187559891,"GW98-7HP","Female"
"GQ6Q-N3N",28187559892,"G8W1-ZMX","Male"
"GQ6Q-N3N",28187559893,"G6RP-58K","Female"
"GSZX-TSJ",28187559894,"GH7P-3TW","Male"
"GSZX-TSJ",28187559895,"G6R5-ZG3","Female"
"LTC9-L6F",28187559896,"GVX1-XXB","Male"
"LTC9-L6F",28187559897,"LYR8-2CF","Female"
"LTC9-G9Y",28187559898,"LYK6-S2M","Male"
"LTC9-G9Y",28187559899,"G236-Z9L","Female"
"GHVX-RWN",28187559900,"GMJ9-XT4","Male"
"GHVX-RWN",28187559901,"GMJ9-XDV","Female"
"LYLP-MPV",28187559902,"L8DN-38J","Male"
"LYLP-MPV",28187559903,"GQ3M-1M2","Female"
"L67B-KPM",28187559920,"G77C-C5D","Male"
"L67B-KPM",28187559921,"LV9P-VBY","Female"
"GXH6-KKJ",28187559922,"LHN5-G9X","Male"
"GXH6-KKJ",28187559923,"LHN5-GMC","Female"
"G79V-F4Y",28187559924,"LVDJ-HBH","Male"
"G79V-F4Y",28187559925,"LHDT-YGB","Female"
"GCZ3-B45",28187559928,"GGDB-YLM","Male"
"GCZ3-B45",28187559929,"G4CX-BLK","Female"
"LJ7F-4WS",28187559930,"KP3V-8XM","Male"
"LJ7F-4WS",28187559931,"KH5L-XVR","Female"
"9ZH7-P5G",28187559932,"L2QK-S7H","Male"
"9ZH7-P5G",28187559933,"K8LG-7VF","Female"
"GJWC-8NZ",28187559934,"9CS3-646","Male"
"L5YD-TG1",28187625152,"LT7M-JJ5","Male"
"L5YD-TG1",28187625153,"G9JX-SN6","Female"
