"fid","ascendancy","parent","gender"
"KN4J-P1M",27920669568,"K8D7-F5D","Male"
"KN4J-P1M",27920669569,"L8MB-CYC","Female"
"L8M6-YW7",27920669570,"LDZ2-8G7","Male"
"L8M6-YW7",27920669571,"LY6V-8G3","Female"
"9SZ7-ST1",27920669572,"L4S5-G86","Male"
"9SZ7-ST1",27920669573,"9HYH-BLK","Female"
"GLFN-R55",27920669574,"GDG8-GMK","Male"
"GLFN-R55",27920669575,"GXT8-RQB","Female"
"G652-89H",27920669600,"LDSS-8LB","Male"
"G652-89H",27920669601,"G2RP-CG1","Female"
"GQJ4-YYT",27920669602,"GKZZ-9SN","Male"
"GQJ4-YYT",27920669603,"GLND-D3K","Female"
"G78W-VCW",27920669604,"GXB3-LRB","Male"
"G78W-VCW",27920669605,"G2N1-CGQ","Female"
"MM93-ND3",27920669606,"GLB1-ZRJ","Male"
"LDW5-66P",27920669608,"LD9R-RB7","Male"
"LDW5-66P",27920669609,"LDSS-6H5","Female"
"LDW5-623",27920669610,"LDMT-HMZ","Male"
"LDW5-623",27920669611,"LD91-ST3","Female"
"KCXK-S69",27920669612,"L8MB-ZMK","Male"
"KCXK-S69",27920669613,"MB1Q-ZWW","Female"
"GJR2-7VD",27920669614,"LDMT-W6R","Male"
"GJR2-7VD",27920669615,"LT83-H6M","Female"
"L4XX-97T",27920669616,"GJXT-WPH","Male"
"L4XX-97T",27920669617,"G2NZ-FN6","Female"
"GHT6-P7M",27920669632,"GHT6-GVY","Male"
"GHT6-P7M",27920669633,"GFQ9-6S2","Female"
"GHT6-P7M",27920669640,"GHT6-GVY","Male"
"GHT6-P7M",27920669641,"GFQ9-6S2","Female"
"G29L-DN9",27920669680,"GQRQ-LYV","Male"
"G29L-DN9",27920669681,"G6TY-2YB","Female"
"G7XJ-1LY",27920669824,"L6NQ-1X6","Male"
"G7XJ-1LY",27920669825,"GDX5-HMR","Female"
"LZF6-M94",27920669832,"KGSQ-35V","Male"
"LZF6-M94",27920669833,"GKZQ-S2R","Female"
"GWW8-LWR",27920669834,"9ZHZ-89Q","Male"
"GWW8-LWR",27920669835,"G8L4-56J","Female"
"G7XJ-1LY",27920669840,"L6NQ-1X6","Male"
"G7XJ-1LY",27920669841,"GDX5-HMR","Female"
"LZF6-M94",27920669848,"KGSQ-35V","Male"
"LZF6-M94",27920669849,"GKZQ-S2R","Female"
"GWW8-LWR",27920669850,"9ZHZ-89Q","Male"
"GWW8-LWR",27920669851,"G8L4-56J","Female"
"GDFJ-TC8",27920669856,"9CS2-F59","Male"
"GDFJ-TC8",27920669857,"GGM8-4Z7","Female"
"G2XB-KHW",27920669858,"9W46-QD7","Male"
"G2XB-KHW",27920669859,"LRBL-B6T","Female"
"MQ6Y-DJR",27920669860,"MYW1-TBC","Male"
"MQ6Y-DJR",27920669861,"G6J8-FMV","Female"
"LHR1-9SN",27920669862,"9CS2-F59","Male"
"LHR1-9SN",27920669863,"GGM8-4Z7","Female"
"G7XJ-1LY",27920669888,"L6NQ-1X6","Male"
"G7XJ-1LY",27920669889,"GDX5-HMR","Female"
"LZF6-M94",27920669896,"KGSQ-35V","Male"
"LZF6-M94",27920669897,"GKZQ-S2R","Female"
"GWW8-LWR",27920669898,"9ZHZ-89Q","Male"
"GWW8-LWR",27920669899,"G8L4-56J","Female"
"GDFJ-TC8",27920669920,"9CS2-F59","Male"
"GDFJ-TC8",27920669921,"GGM8-4Z7","Female"
"G2XB-KHW",27920669922,"9W46-QD7","Male"
"G2XB-KHW",27920669923,"LRBL-B6T","Female"
"MQ6Y-DJR",27920669924,"MYW1-TBC","Male"
"MQ6Y-DJR",27920669925,"G6J8-FMV","Female"
"LHR1-9SN",27920669926,"9CS2-F59","Male"
"LHR1-9SN",27920669927,"GGM8-4Z7","Female"
"M471-D7G",27920670224,"GG5H-GF8","Male"
"M471-D7G",27920670225,"GG7C-ZDW","Female"
"G6WK-YN3",27920670226,"GXPV-L5Z","Male"
"G6WK-YN3",27920670227,"GJ16-DXR","Female"
"GH9M-VQF",27920670228,"LT2S-JDD","Male"
"GH9M-VQF",27920670229,"LHVH-QN6","Female"
"G8JF-2PY",27920670230,"GD98-WWP","Male"
"G8JF-2PY",27920670231,"GC4C-31N","Female"
"KJ5F-4ZR",27920671392,"LZS9-ZC2","Male"
"KJ5F-4ZR",27920671393,"LZ61-F76","Female"
"LDMG-1HD",27920671394,"KZPV-BQM","Male"
"LDMG-1HD",27920671395,"MP6J-D9N","Female"
"GJW6-BQP",27920671396,"GGT9-98G","Male"
"GJW6-BQP",27920671397,"GGTM-B2D","Female"
"G26B-199",27920671400,"GKJW-D8S","Male"
"G26B-199",27920671401,"GJY8-7WZ","Female"
"LZS9-ZC2",27920671424,"9HYQ-M4G","Male"
"LZS9-ZC2",27920671425,"GJGW-QM6","Female"
"LZ61-F76",27920671426,"LZ19-924","Male"
"LZ61-F76",27920671427,"GL5F-YH1","Female"
"KNXX-WBQ",27920671432,"LHPZ-9WQ","Male"
"KNXX-WBQ",27920671433,"LCT8-QVQ","Female"
"LDMT-HMZ",27920671436,"L8BY-3VJ","Male"
"LDMT-HMZ",27920671437,"94BP-X4Z","Female"
"LD91-ST3",27920671438,"L8YY-5HK","Male"
"LD91-ST3",27920671439,"L8WB-D2Z","Female"
"KZPV-BQM",27920671444,"L8RR-4KG","Male"
"KZPV-BQM",27920671445,"99QT-MCB","Female"
"M1VS-25N",27920671448,"LDSS-KJ6","Male"
"M1VS-25N",27920671449,"L28D-TJH","Female"
"LDSS-KHY",27920671450,"LYCY-PN6","Male"
"LDSS-KHY",27920671451,"LDSS-KKV","Female"
"LZGQ-LJX",27920671452,"KDQW-JTJ","Male"
"LZGQ-LJX",27920671453,"LDS9-GGV","Female"
"LDSS-8LB",27920671456,"LVMF-2JP","Male"
"LDSS-8LB",27920671457,"GW2T-LDK","Female"
"G2RP-CG1",27920671458,"LDSS-D1D","Male"
"G2RP-CG1",27920671459,"GKZ8-SNZ","Female"
"LD9R-RB7",27920671472,"LD9R-RYR","Male"
"LD9R-RB7",27920671473,"M15L-V4Q","Female"
"LDSS-6H5",27920671474,"L133-HLP","Male"
"LDSS-6H5",27920671475,"KH8N-T92","Female"
"LDMT-HMZ",27920671476,"L8BY-3VJ","Male"
"LDMT-HMZ",27920671477,"94BP-X4Z","Female"
"LD91-ST3",27920671478,"L8YY-5HK","Male"
"LD91-ST3",27920671479,"L8WB-D2Z","Female"
"L8MB-ZMK",27920671480,"L8YY-PD5","Male"
"L8MB-ZMK",27920671481,"MBV2-T1M","Female"
"MB1Q-ZWW",27920671482,"GKZZ-K49","Male"
"MB1Q-ZWW",27920671483,"GL6R-9XP","Female"
"LDMT-W6R",27920671484,"KJP2-TBR","Male"
"LDMT-W6R",27920671485,"GFN3-DQ5","Female"
"LT83-H6M",27920671486,"GQ59-8LX","Male"
"LT83-H6M",27920671487,"GSCJ-Z9D","Female"
