"fid","ascendancy","parent","gender"
"LTTZ-YL8",90858253544,"L8TJ-5XS","Male"
"LYSG-SY9",90858253546,"LJG4-5YW","Male"
"LYSG-SY9",90858253547,"GH91-DSB","Female"
"9C32-7PC",90858253548,"G7YH-3GJ","Male"
"9C32-7PC",90858253549,"GC45-DB8","Female"
"GL82-ZQM",90858253956,"GFPT-FJ5","Male"
"GL82-ZQM",90858253957,"GG1L-NFG","Female"
"GG6H-89X",90858253958,"GKCN-PRS","Male"
"G9R3-YW1",90858254016,"GKYZ-8KF","Male"
"G9R3-YW1",90858254017,"GGPV-1Q4","Female"
"L7NG-DRP",90858254080,"9H5N-BFF","Male"
"L7NG-DRP",90858254081,"GKZ8-4FD","Female"
"LYTH-K3C",90858254082,"G6Q3-JX4","Male"
"LTT6-YJQ",90858254084,"GVBH-MTY","Male"
"938W-39J",90858254088,"LCBD-GVR","Male"
"938W-39J",90858254089,"LCB8-2VX","Female"
"9W89-MK6",90858254090,"L8MB-ZF7","Male"
"9W89-MK6",90858254091,"L83F-5Z6","Female"
"9HTX-2CD",90858254092,"9HRG-JDL","Male"
"9HTX-2CD",90858254093,"LDH1-G9D","Female"
"G39Q-HBK",90858254094,"KX2S-NWF","Male"
"G39Q-HBK",90858254095,"L7GV-KKS","Female"
"GJMV-L5G",90858254096,"GV4D-MPR","Male"
"GJMV-L5G",90858254097,"LTXK-RJK","Female"
"99Y7-MCD",90858254240,"KN8N-WHW","Male"
"99Y7-MCD",90858254241,"9SYL-S5H","Female"
"LBKM-9MP",90858254242,"G67W-G57","Male"
"LBKM-9MP",90858254243,"MZHC-RBM","Female"
"L1QG-G8M",90858254244,"LDFZ-8Q1","Male"
"L1QG-G8M",90858254245,"LHPZ-VGH","Female"
"GGG7-Q5M",90858254272,"G6TC-GD8","Male"
"GGG7-Q5M",90858254273,"GGG3-LR4","Female"
"GZL1-BTV",90858254274,"GZVH-K4C","Male"
"GZL1-BTV",90858254275,"GZVH-NJM","Female"
"L1SL-2HR",90858258448,"L1ZH-YYR","Male"
"LZF6-M94",90858258452,"KGSQ-35V","Male"
"LZF6-M94",90858258453,"GKZQ-S2R","Female"
"2RBY-DVZ",90858258456,"2RBY-DV6","Male"
"2RBY-DVZ",90858258457,"2R66-L8J","Female"
"LVMF-2YH",90858258464,"GG7D-MRS","Male"
"LVMF-2YH",90858258465,"GG78-1G9","Female"
"GH4Y-2HC",90858258466,"9HT1-TZH","Male"
"GH4Y-2HC",90858258467,"G6ZK-D3J","Female"
"LCQX-XJS",90858258468,"G27L-LWB","Male"
"L1MT-HC1",90858258472,"L134-D1P","Male"
"L1MT-HC1",90858258473,"L8YY-R1N","Female"
"GVGZ-DCK",90858258474,"LDQ1-RBN","Male"
"GVGZ-DCK",90858258475,"GVN6-YQL","Female"
"GKDX-73T",90858258560,"L5J9-QL8","Male"
"GKDX-73T",90858258561,"GG24-4LF","Female"
"GLBT-CTV",90858258584,"GGG9-961","Male"
"GLBT-CTV",90858258585,"GGG9-MX6","Female"
"GG8F-4ZT",90858258586,"GGGM-1ZZ","Male"
"9HTX-2CD",90858258880,"9HRG-JDL","Male"
"9HTX-2CD",90858258881,"LDH1-G9D","Female"
"LZGK-ZV2",90858258886,"LZ1T-YG5","Male"
"LZGK-ZV2",90858258887,"LZZF-5Z1","Female"
"GGG7-Q5M",90858258896,"G6TC-GD8","Male"
"GGG7-Q5M",90858258897,"GGG3-LR4","Female"
"GZL1-BTV",90858258898,"GZVH-K4C","Male"
"GZL1-BTV",90858258899,"GZVH-NJM","Female"
"28YJ-Z4N",90858258908,"9HTX-2CD","Male"
"28YJ-Z4N",90858258909,"G39Q-HBK","Female"
"GGGT-9MX",90858258910,"MXVC-BK8","Male"
"G233-LXN",90858258912,"GGJD-LJM","Male"
"G233-LXN",90858258913,"G2PL-CYW","Female"
"GC7G-R6L",90858258920,"9CHR-8ZW","Male"
"GC7G-R6L",90858258921,"GVWL-TZN","Female"
"GC7P-77S",90858258922,"G2PK-2PB","Male"
"GC7P-77S",90858258923,"GVXD-YLR","Female"
"G6LT-J5Y",90858258952,"LC3F-X4D","Male"
"G6LT-J5Y",90858258953,"GPMZ-2FZ","Female"
"GGSV-LFL",90858258976,"GGZD-RQR","Male"
"GGSV-LFL",90858258977,"GL9M-YXL","Female"
"G7YH-3GJ",90858258992,"GV4P-VY5","Male"
"G7YH-3GJ",90858258993,"GGJD-JSR","Female"
"GC45-DB8",90858258994,"GZRK-SFB","Male"
"GC45-DB8",90858258995,"GVSP-WS2","Female"
"LDSS-26H",90858259008,"9W7P-G88","Male"
"LDSS-26H",90858259009,"GLB2-PPV","Female"
"L6SC-CJF",90858259010,"LZVG-MCV","Male"
"L6SC-CJF",90858259011,"LQR5-6N2","Female"
"LZLQ-664",90858259012,"9S9W-MPL","Male"
"LZLQ-664",90858259013,"KFX1-BZD","Female"
"94HZ-CG3",90858259016,"L4Y9-TXB","Male"
"94HZ-CG3",90858259017,"GSX5-T31","Female"
"LDSS-BYY",90858259018,"99PY-ZDF","Male"
"LDSS-BYY",90858259019,"LD97-C7T","Female"
"L8RR-S6X",90858259020,"LYCT-Y9Q","Male"
"L8RR-S6X",90858259021,"L142-WBW","Female"
"L8RR-S6J",90858259022,"K6WN-292","Male"
"L8RR-S6J",90858259023,"2NBQ-VZ5","Female"
"GXD6-NBC",90858259040,"LT83-YRW","Male"
"GXD6-NBC",90858259041,"GCSF-88Q","Female"
"G23C-HT1",90858259048,"29H4-2Y1","Male"
"G23C-HT1",90858259049,"GKZ8-Q9M","Female"
"93LP-LVJ",90858259052,"9S8N-BNB","Male"
"93LP-LVJ",90858259053,"GG6X-7XK","Female"
"LBSF-ZFR",90858259054,"KZSM-RXV","Male"
"LBSF-ZFR",90858259055,"LD9R-RBH","Female"
"LCVR-TFD",90858259056,"GVNC-TFT","Male"
"LCVR-TFD",90858259057,"GNFT-19B","Female"
"9Z4P-BQB",90858259058,"LZLQ-664","Male"
"9Z4P-BQB",90858259059,"GK2Y-MJB","Female"
"LDW2-41W",90858259060,"94HZ-CG3","Male"
"LDW2-41W",90858259061,"LDSS-BYY","Female"
"G4NJ-GVF",90858259062,"L8RR-S6X","Male"
"G4NJ-GVF",90858259063,"L8RR-S6J","Female"
"LD97-CH9",90858259064,"99PY-ZDF","Male"
