"fid","ascendancy","parent","gender"
"28YJ-Z4N",56295710940,"9HTX-2CD","Male"
"28YJ-Z4N",56295710941,"G39Q-HBK","Female"
"GGGT-9MX",56295710942,"MXVC-BK8","Male"
"G233-LXN",56295710944,"GGJD-LJM","Male"
"G233-LXN",56295710945,"G2PL-CYW","Female"
"GC7G-R6L",56295710952,"9CHR-8ZW","Male"
"GC7G-R6L",56295710953,"GVWL-TZN","Female"
"GC7P-77S",56295710954,"G2PK-2PB","Male"
"GC7P-77S",56295710955,"GVXD-YLR","Female"
"GFJ1-LXM",56295710976,"GGB7-56K","Male"
"9HT1-YR2",56295711104,"GH2M-VGN","Male"
"9HT1-YR2",56295711105,"G649-8LB","Female"
"GGL8-Q37",56295711232,"MVTT-BLN","Male"
"LT83-QKS",56295711296,"GZ2L-M6L","Male"
"LT83-QKS",56295711297,"LBTR-BTW","Female"
"GDG2-NJC",56295711298,"G6RN-4Y7","Male"
"GDG2-NJC",56295711299,"GFPT-S5P","Female"
"G9M5-FF1",56295711300,"LY9D-2F8","Male"
"G9M5-FF1",56295711301,"L28D-TJH","Female"
"GN9F-M6Q",56295711302,"GJTS-3TP","Male"
"GN9F-M6Q",56295711303,"GN15-LRT","Female"
"LY9D-2F8",56295711360,"LCJD-VX6","Male"
"LY9D-2F8",56295711361,"LD9R-RKH","Female"
"L28D-TJH",56295711362,"9WMP-NNQ","Male"
"L28D-TJH",56295711363,"945D-J9Y","Female"
"GJTS-3TP",56295711364,"GZ8X-GV2","Male"
"GJTS-3TP",56295711365,"G6ZP-B73","Female"
"KDQW-JTJ",56295711368,"9HTX-2CD","Male"
"KDQW-JTJ",56295711369,"G39Q-HBK","Female"
"LDS9-GGV",56295711370,"LZGK-GZB","Male"
"LDS9-GGV",56295711371,"MXKR-J9R","Female"
"G7NH-CM4",56295711376,"G215-NYD","Male"
"G7NH-CM4",56295711377,"GG1F-HTT","Female"
"GLL2-BZV",56295711401,"G8W1-V4X","Female"
"GC4V-KPG",56295711404,"G891-N1Z","Male"
"GC4V-KPG",56295711405,"G3YQ-19T","Female"
"L175-67M",56295711406,"GGKJ-Z1T","Male"
"L175-67M",56295711407,"KL6C-XQV","Female"
"K84R-TMS",56295711408,"LDHB-RRD","Male"
"K84R-TMS",56295711409,"GKVP-QMK","Female"
"LTF2-JTC",56295711412,"9SJJ-97N","Male"
"LTF2-JTC",56295711413,"LZJG-K5N","Female"
"LKNM-HR3",56295711414,"LJ2H-W3S","Male"
"LKNM-HR3",56295711415,"LZ2S-DKM","Female"
"L1QD-DXV",56295711416,"GJ2V-WRY","Male"
"L1QD-DXV",56295711417,"G2CN-HW6","Female"
"LD9P-M8N",56295711418,"LD9P-MFB","Male"
"LD9P-M8N",56295711419,"LH6C-VKZ","Female"
"GNSH-WMX",56295711440,"G7NH-CM4","Male"
"GNSH-WMX",56295711441,"G215-VM8","Female"
"K84R-TMS",56295711448,"LDHB-RRD","Male"
"K84R-TMS",56295711449,"GKVP-QMK","Female"
"LTF2-JTC",56295711452,"9SJJ-97N","Male"
"LTF2-JTC",56295711453,"LZJG-K5N","Female"
"LKNM-HR3",56295711454,"LJ2H-W3S","Male"
"LKNM-HR3",56295711455,"LZ2S-DKM","Female"
"GLL2-BZV",56295711465,"G8W1-V4X","Female"
"GC4V-KPG",56295711468,"G891-N1Z","Male"
"GC4V-KPG",56295711469,"G3YQ-19T","Female"
"L175-67M",56295711470,"GGKJ-Z1T","Male"
"L175-67M",56295711471,"KL6C-XQV","Female"
"K84R-TMS",56295711472,"LDHB-RRD","Male"
"K84R-TMS",56295711473,"GKVP-QMK","Female"
"LTF2-JTC",56295711476,"9SJJ-97N","Male"
"LTF2-JTC",56295711477,"LZJG-K5N","Female"
"LKNM-HR3",56295711478,"LJ2H-W3S","Male"
"LKNM-HR3",56295711479,"LZ2S-DKM","Female"
"L1QD-DXV",56295711480,"GJ2V-WRY","Male"
"L1QD-DXV",56295711481,"G2CN-HW6","Female"
"LD9P-M8N",56295711482,"LD9P-MFB","Male"
"LD9P-M8N",56295711483,"LH6C-VKZ","Female"
"GLFD-7MD",56295711616,"GMMD-GH5","Male"
"GLFD-7MD",56295711617,"LBK1-86P","Female"
"GGFH-MVX",56295711618,"LCJD-VX6","Male"
"GGFH-MVX",56295711619,"LD9R-RKH","Female"
"9HTX-2CD",56295711620,"9HRG-JDL","Male"
"9HTX-2CD",56295711621,"LDH1-G9D","Female"
"G6LZ-TWJ",56295711624,"L5LL-BRL","Male"
"G6LZ-TWJ",56295711625,"GZ4M-H94","Female"
"G6R2-BDM",56295711630,"GFZ2-JTZ","Male"
"9HYQ-M4G",56295711744,"G7XJ-1LY","Male"
"9HYQ-M4G",56295711745,"GL2J-F24","Female"
"GJGW-QM6",56295711746,"GGL4-859","Male"
"GJGW-QM6",56295711747,"GGL4-6DG","Female"
"LZ19-924",56295711748,"LZF6-M94","Male"
"LZ19-924",56295711749,"GWW8-LWR","Female"
"GL5F-YH1",56295711750,"GGHH-9CK","Male"
"GL5F-YH1",56295711751,"GGHH-4HZ","Female"
"L8RR-4KG",56295711752,"L8WY-72D","Male"
"L8RR-4KG",56295711753,"GZBB-BMJ","Female"
"99QT-MCB",56295711754,"LDSS-KBB","Male"
"99QT-MCB",56295711755,"GLZ3-DZS","Female"
"G792-Y4T",56295711764,"GZ9Q-17G","Male"
"GK5F-4LY",56295711766,"GK5F-8MJ","Male"
"GK5F-4LY",56295711767,"GQ2G-ZP8","Female"
"9HYQ-M4G",56295711872,"G7XJ-1LY","Male"
"9HYQ-M4G",56295711873,"GL2J-F24","Female"
"GJGW-QM6",56295711874,"GGL4-859","Male"
"GJGW-QM6",56295711875,"GGL4-6DG","Female"
"LZ19-924",56295711876,"LZF6-M94","Male"
"LZ19-924",56295711877,"GWW8-LWR","Female"
"GL5F-YH1",56295711878,"GGHH-9CK","Male"
