"fid","ascendancy","parent","gender"
"G8R1-427",88201104480,"G9R3-YW1","Male"
"L2MN-44Y",88201104484,"LZ8D-9DK","Male"
"L2MN-44Y",88201104485,"GK9J-9XB","Female"
"9HRG-JDL",88201104512,"LZDH-NFR","Male"
"9HRG-JDL",88201104513,"LD9C-ZGZ","Female"
"LZ8D-9DK",88201104520,"MW4S-HPZ","Male"
"LZ8D-9DK",88201104521,"GGYL-CGH","Female"
"9QZD-J5R",88201104524,"L1DW-Q5N","Male"
"9QZD-J5R",88201104525,"2781-6PP","Female"
"L18P-6ZG",88201104526,"G36D-72Y","Male"
"L18P-6ZG",88201104527,"L18F-8KW","Female"
"GGB9-4CK",88201104528,"L7N5-6KK","Male"
"GGB9-4CK",88201104529,"L87C-W52","Female"
"9MTF-W16",88201104530,"LZXX-FT2","Male"
"9MTF-W16",88201104531,"GNN8-QJH","Female"
"LZF6-M94",88201104536,"KGSQ-35V","Male"
"LZF6-M94",88201104537,"GKZQ-S2R","Female"
"GWW8-LWR",88201104538,"9ZHZ-89Q","Male"
"GWW8-LWR",88201104539,"G8L4-56J","Female"
"LD97-4RG",88201104544,"LZ1T-YG5","Male"
"LD97-4RG",88201104545,"LZZF-5Z1","Female"
"LDSS-BYY",88201104546,"99PY-ZDF","Male"
"LDSS-BYY",88201104547,"LD97-C7T","Female"
"L8RR-S6X",88201104548,"LYCT-Y9Q","Male"
"L8RR-S6X",88201104549,"L142-WBW","Female"
"L8RR-S6J",88201104550,"K6WN-292","Male"
"L8RR-S6J",88201104551,"2NBQ-VZ5","Female"
"LZ9M-HWG",88201104552,"LZPK-P7H","Male"
"LZ9M-HWG",88201104553,"GN4S-LXY","Female"
"9M85-YGM",88201104554,"L8YY-PH5","Male"
"9M85-YGM",88201104555,"KFX1-BZD","Female"
"21JJ-KNR",88201104556,"GX7F-1V3","Male"
"21JJ-KNR",88201104557,"L179-W5T","Female"
"GZL8-6WN",88201104558,"LZPK-K9R","Male"
"GZL8-6WN",88201104559,"GMNF-CHM","Female"
"LCRR-KM2",88201104560,"9H6Q-VVW","Male"
"LCRR-KM2",88201104561,"9HPT-832","Female"
"LDW5-JN2",88201104562,"9C72-WGJ","Male"
"LDW5-JN2",88201104563,"9CZV-2KJ","Female"
"LD9Y-C7T",88201104564,"9SJP-9TN","Male"
"LD9Y-C7T",88201104565,"LVDV-KPT","Female"
"LD9Y-CW9",88201104566,"LZDH-NFR","Male"
"LD9Y-CW9",88201104567,"LD9C-ZGZ","Female"
"94T6-749",88201104568,"GKZ8-PM1","Male"
"94T6-749",88201104569,"GMXZ-2CC","Female"
"GLLC-968",88201104570,"G8K3-VQ8","Male"
"GLLC-968",88201104571,"G9TH-6YX","Female"
"L1DW-Q5N",88201104572,"LY5W-N6P","Male"
"L1DW-Q5N",88201104573,"LHWS-BFW","Female"
"2781-6PP",88201104574,"GDB8-4V9","Male"
"2781-6PP",88201104575,"GVZM-RKC","Female"
"G7XJ-1LY",88201104576,"L6NQ-1X6","Male"
"G7XJ-1LY",88201104577,"GDX5-HMR","Female"
"LZF6-M94",88201104584,"KGSQ-35V","Male"
"LZF6-M94",88201104585,"GKZQ-S2R","Female"
"GWW8-LWR",88201104586,"9ZHZ-89Q","Male"
"GWW8-LWR",88201104587,"G8L4-56J","Female"
"938W-39J",88201104608,"LCBD-GVR","Male"
"938W-39J",88201104609,"LCB8-2VX","Female"
"9W89-MK6",88201104610,"L8MB-ZF7","Male"
"9W89-MK6",88201104611,"L83F-5Z6","Female"
"LYXW-BQK",88201104612,"G791-PCN","Male"
"L8YY-PP2",88201104624,"LCN5-99B","Male"
"L8YY-PP2",88201104625,"LYNX-745","Female"
"LT5Z-556",88201104626,"GS83-FSL","Male"
"LT5Z-556",88201104627,"GL79-7R2","Female"
"LBGF-H83",88201104628,"LRQD-FS2","Male"
"LBGF-H83",88201104629,"L5VF-6MD","Female"
"LZ56-WY6",88201104630,"GJSD-GLT","Male"
"LZ56-WY6",88201104631,"GVMD-TBD","Female"
"9CXC-B7Y",88201104632,"L1WS-BMM","Male"
"9CXC-B7Y",88201104633,"9Z8D-P68","Female"
"LZBY-TS8",88201104634,"LDMN-PWB","Male"
"LZBY-TS8",88201104635,"2NBQ-FP2","Female"
"GK9Q-S8F",88201104636,"L81Y-9GD","Male"
"GK9Q-S8F",88201104637,"LB2S-PWM","Female"
"9SJP-9TN",88201104640,"9HP6-RVT","Male"
"9SJP-9TN",88201104641,"GG16-DL7","Female"
"GMSP-9XR",88201104648,"L2H4-9QX","Male"
"GMSP-9XR",88201104649,"GVD1-N5F","Female"
"KLXB-6QR",88201104650,"GQP1-CYV","Male"
"KLXB-6QR",88201104651,"GS8P-Y7X","Female"
"LBBB-4XS",88201104652,"KT4G-S84","Male"
"LBBB-4XS",88201104653,"GG1G-YJM","Female"
"LDHS-6S3",88201104654,"9H6Q-VVW","Male"
"LDHS-6S3",88201104655,"932C-Q9B","Female"
"L8RR-S6X",88201104656,"LYCT-Y9Q","Male"
"L8RR-S6X",88201104657,"L142-WBW","Female"
"L8RR-S6J",88201104658,"K6WN-292","Male"
"L8RR-S6J",88201104659,"2NBQ-VZ5","Female"
"GFQJ-6W3",88201104662,"GFJQ-RZT","Male"
"GFQJ-6W3",88201104663,"GLV2-2P8","Female"
"GH7M-QSF",88201104664,"LHXT-LR1","Male"
"GH7M-QSF",88201104665,"GLTD-CTG","Female"
"L8YY-PH5",88201104668,"L8YG-8PB","Male"
"L8YY-PH5",88201104669,"G7B5-SX2","Female"
"KFX1-BZD",88201104670,"9C72-WGJ","Male"
"KFX1-BZD",88201104671,"9CZV-2KJ","Female"
"LCRR-KM2",88201104672,"9H6Q-VVW","Male"
"LCRR-KM2",88201104673,"9HPT-832","Female"
"LDW5-JN2",88201104674,"9C72-WGJ","Male"
"LDW5-JN2",88201104675,"9CZV-2KJ","Female"
"LD9Y-C7T",88201104676,"9SJP-9TN","Male"
"LD9Y-C7T",88201104677,"LVDV-KPT","Female"
"LD9Y-CW9",88201104678,"LZDH-NFR","Male"
"LD9Y-CW9",88201104679,"LD9C-ZGZ","Female"
"94T6-749",88201104680,"GKZ8-PM1","Male"
"94T6-749",88201104681,"GMXZ-2CC","Female"
"GLLC-968",88201104682,"G8K3-VQ8","Male"
"GLLC-968",88201104683,"G9TH-6YX","Female"
"L1DW-Q5N",88201104684,"LY5W-N6P","Male"
"L1DW-Q5N",88201104685,"LHWS-BFW","Female"
"2781-6PP",88201104686,"GDB8-4V9","Male"
"2781-6PP",88201104687,"GVZM-RKC","Female"
"L1DW-Q5N",88201104688,"LY5W-N6P","Male"
"L1DW-Q5N",88201104689,"LHWS-BFW","Female"
"2781-6PP",88201104690,"GDB8-4V9","Male"
"2781-6PP",88201104691,"GVZM-RKC","Female"
"G36D-72Y",88201104692,"LBBB-4XS","Male"
"G36D-72Y",88201104693,"LDHS-6S3","Female"
"L18F-8KW",88201104694,"LM1T-ZQX","Male"
"L18F-8KW",88201104695,"273M-74Y","Female"
"LYDW-KW7",88201104696,"LZPK-P7H","Male"
"LYDW-KW7",88201104697,"GN4S-LXY","Female"
"LY67-3N8",88201104698,"LCRR-KM2","Male"
"LY67-3N8",88201104699,"LDW5-JN2","Female"
"LR1T-XQ7",88201104700,"GG45-P7D","Male"
"GZXX-B8X",88201104702,"L8RR-S6X","Male"
"GZXX-B8X",88201104703,"L8RR-S6J","Female"
"L1DW-Q5N",88201104708,"LY5W-N6P","Male"
"L1DW-Q5N",88201104709,"LHWS-BFW","Female"
"2781-6PP",88201104710,"GDB8-4V9","Male"
"2781-6PP",88201104711,"GVZM-RKC","Female"
"LH5D-1C9",88201104712,"94T6-749","Male"
"LH5D-1C9",88201104713,"GG5K-DVK","Female"
"G21C-YGX",88201104720,"G3J9-6J7","Male"
"G21C-YGX",88201104721,"G3TV-LBZ","Female"
"G8WB-J6L",88201104722,"L21Y-H6W","Male"
"G8WB-J6L",88201104723,"GWQD-2B3","Female"
"G8WL-T7Q",88201104724,"LRW8-HDK","Male"
"G8WL-T7Q",88201104725,"GG7X-L3P","Female"
"GDSY-Z6B",88201104726,"G2XY-THH","Male"
