"fid","ascendancy","parent","gender"
"GX56-KLT",87243990538,"GQ5K-8HW","Male"
"GX56-KLT",87243990539,"G6Y7-FRQ","Female"
"G94Q-8SY",87243990540,"L1P1-X8G","Male"
"G94Q-8SY",87243990541,"GZ7N-HW6","Female"
"G6RT-9MK",87243990542,"KCX4-WPN","Male"
"G6RT-9MK",87243990543,"L14D-MYQ","Female"
"G2SL-H2T",87243990544,"G2SL-6SH","Male"
"G2SL-H2T",87243990545,"G27H-VYG","Female"
"G2S2-Y92",87243990546,"G27H-3TN","Male"
"G2S2-Y92",87243990547,"G2SL-SM5","Female"
"LDSK-V77",87243990560,"L8RR-S6X","Male"
"LDSK-V77",87243990561,"L8RR-S6J","Female"
"LDSQ-F68",87243990562,"9CCG-XPQ","Male"
"LDSQ-F68",87243990563,"GFQJ-6W3","Female"
"LB27-YWT",87243990564,"GH7M-QSF","Male"
"LB27-YWT",87243990565,"LYTM-8KB","Female"
"GWZB-NNM",87243990566,"L8YY-PH5","Male"
"GWZB-NNM",87243990567,"KFX1-BZD","Female"
"9HTX-2CD",87243990568,"9HRG-JDL","Male"
"9HTX-2CD",87243990569,"LDH1-G9D","Female"
"G39Q-HBK",87243990570,"KX2S-NWF","Male"
"G39Q-HBK",87243990571,"L7GV-KKS","Female"
"LZGK-GZB",87243990572,"LZ8D-9DK","Male"
"LZGK-GZB",87243990573,"GK9J-9XB","Female"
"MXKR-J9R",87243990574,"9QZD-J5R","Male"
"MXKR-J9R",87243990575,"L18P-6ZG","Female"
"K8M3-FZQ",87243990576,"GFR1-8PR","Male"
"K8M3-FZQ",87243990577,"GFR1-JPJ","Female"
"MBPN-4DK",87243990580,"GFR1-8PR","Male"
"MBPN-4DK",87243990581,"GFR1-JPJ","Female"
"9H9K-FVG",87243990582,"LZ9M-HWG","Male"
"9H9K-FVG",87243990583,"9M85-YGM","Female"
"L8RK-RPS",87243990584,"GM2P-GSQ","Male"
"L8RK-RPS",87243990585,"L1PP-NHR","Female"
"LJG8-9LJ",87243990586,"LYDQ-TG6","Male"
"LJG8-9LJ",87243990587,"9HM8-2GK","Female"
"LYNF-SFN",87243990588,"GJQD-V62","Male"
"LYNF-SFN",87243990589,"G3CD-LLK","Female"
"GJQD-6SP",87243990590,"GKZ8-84G","Male"
"GJQD-6SP",87243990591,"G4Z4-XVP","Female"
"GK8Y-WSW",87243990592,"GZX1-LWT","Male"
"GZRK-8R1",87243990594,"GVSX-62Y","Male"
"GZRK-8R1",87243990595,"GX75-Q8F","Female"
"GK6W-7WV",87243990596,"G784-9PW","Male"
"GK6W-7WV",87243990597,"GK6W-LHQ","Female"
"GNQ4-PDJ",87243990598,"G8K3-VQ8","Male"
"GNQ4-PDJ",87243990599,"G9TH-6YX","Female"
"GXVL-81C",87243990600,"GGJD-WR9","Male"
"GXVL-81C",87243990601,"GGJD-MFR","Female"
"GG2T-MRH",87243990624,"GH8J-X9K","Male"
"LDSQ-XRK",87243990656,"LDSK-V77","Male"
"LDSQ-XRK",87243990657,"LDSQ-F68","Female"
"LCFL-9DP",87243990658,"LB27-YWT","Male"
"LCFL-9DP",87243990659,"GWZB-NNM","Female"
"KDQW-JTJ",87243990660,"9HTX-2CD","Male"
"KDQW-JTJ",87243990661,"G39Q-HBK","Female"
"LDS9-GGV",87243990662,"LZGK-GZB","Male"
"LDS9-GGV",87243990663,"MXKR-J9R","Female"
"9MWR-GHW",87243990664,"K8M3-FZQ","Male"
"9MWR-GHW",87243990665,"LVDF-9DW","Female"
"LZ1V-KT6",87243990666,"MBPN-4DK","Male"
"LZ1V-KT6",87243990667,"9H9K-FVG","Female"
