"fid","ascendancy","parent","gender"
"2NBQ-VZ5",111680111142,"9H4X-GTQ","Male"
"2NBQ-VZ5",111680111143,"GG28-2WH","Female"
"GLTD-CTG",111680111154,"GD5G-7PX","Male"
"GLTD-CTG",111680111155,"GLFH-NWX","Female"
"L8YG-8PB",111680111160,"L87F-P2T","Male"
"L8YG-8PB",111680111161,"GNWG-WJ8","Female"
"9C72-WGJ",111680111164,"L4HF-2RY","Male"
"9C72-WGJ",111680111165,"L8TG-1DR","Female"
"9CZV-2KJ",111680111166,"LB2S-FHY","Male"
"9CZV-2KJ",111680111167,"G88G-V6W","Female"
"9H6Q-VVW",111680111168,"L4SB-2FB","Male"
"9H6Q-VVW",111680111169,"LDHS-6CV","Female"
"9HPT-832",111680111170,"KT4G-S84","Male"
"9HPT-832",111680111171,"GLMZ-NCG","Female"
"9C72-WGJ",111680111172,"L4HF-2RY","Male"
"9C72-WGJ",111680111173,"L8TG-1DR","Female"
"9CZV-2KJ",111680111174,"LB2S-FHY","Male"
"9CZV-2KJ",111680111175,"G88G-V6W","Female"
"9SJP-9TN",111680111176,"9HP6-RVT","Male"
"9SJP-9TN",111680111177,"GG16-DL7","Female"
"GKZ8-PM1",111680111184,"K6WN-292","Male"
"GKZ8-PM1",111680111185,"2NBQ-VZ5","Female"
"GMXZ-2CC",111680111186,"G231-B8V","Male"
"GMXZ-2CC",111680111187,"LY6V-924","Female"
"G8K3-VQ8",111680111188,"99Y7-Y7P","Male"
"G8K3-VQ8",111680111189,"L8YR-PKK","Female"
"G9TH-6YX",111680111190,"GZRF-9R1","Male"
"G9TH-6YX",111680111191,"G8WY-DDP","Female"
"LY5W-N6P",111680111192,"LBKG-X1C","Male"
"LY5W-N6P",111680111193,"LD9Y-GRR","Female"
"LHWS-BFW",111680111194,"94JG-Z57","Male"
"LHWS-BFW",111680111195,"L6PS-XJK","Female"
"GDB8-4V9",111680111196,"9CNQ-DB2","Male"
"GDB8-4V9",111680111197,"GG95-H9P","Female"
"GVZM-RKC",111680111198,"G6N5-9YG","Male"
"GVZM-RKC",111680111199,"9CFL-GCC","Female"
"LY5W-N6P",111680111200,"LBKG-X1C","Male"
"LY5W-N6P",111680111201,"LD9Y-GRR","Female"
"LHWS-BFW",111680111202,"94JG-Z57","Male"
"LHWS-BFW",111680111203,"L6PS-XJK","Female"
"GDB8-4V9",111680111204,"9CNQ-DB2","Male"
"GDB8-4V9",111680111205,"GG95-H9P","Female"
"GVZM-RKC",111680111206,"G6N5-9YG","Male"
"GVZM-RKC",111680111207,"9CFL-GCC","Female"
"LBBB-4XS",111680111208,"KT4G-S84","Male"
"LBBB-4XS",111680111209,"GG1G-YJM","Female"
"LDHS-6S3",111680111210,"9H6Q-VVW","Male"
"LDHS-6S3",111680111211,"932C-Q9B","Female"
"LM1T-ZQX",111680111212,"G231-B8V","Male"
"LM1T-ZQX",111680111213,"LY6V-924","Female"
"273M-74Y",111680111214,"9H4X-GTQ","Male"
"273M-74Y",111680111215,"9C44-MQP","Female"
"LZPK-P7H",111680111216,"G84G-L58","Male"
"GN4S-LXY",111680111219,"LHTH-XJT","Female"
"LCRR-KM2",111680111220,"9H6Q-VVW","Male"
"LCRR-KM2",111680111221,"9HPT-832","Female"
"LDW5-JN2",111680111222,"9C72-WGJ","Male"
"LDW5-JN2",111680111223,"9CZV-2KJ","Female"
