"fid","ascendancy","parent","gender"
"LDHQ-P5F",56933311894,"LD9R-RB7","Male"
"LDHQ-P5F",56933311895,"LDSS-6H5","Female"
"K8D7-F5D",56933311896,"LZS9-ZC2","Male"
"K8D7-F5D",56933311897,"LZ61-F76","Female"
"LDZ2-8G7",56933311900,"KNXX-WBQ","Male"
"LDZ2-8G7",56933311901,"LDZ2-8LP","Female"
"LY6V-8G3",56933311902,"LDMT-HMZ","Male"
"LY6V-8G3",56933311903,"LD91-ST3","Female"
"LH7S-18K",56933311904,"LDW2-7WW","Male"
"LH7S-18K",56933311905,"LH7S-12Y","Female"
"LDSV-5Q1",56933311906,"LDSQ-XRK","Male"
"LDSV-5Q1",56933311907,"LCFL-9DP","Female"
"LYGH-JR3",56933311908,"LD9R-RB7","Male"
"LYGH-JR3",56933311909,"LDSS-6H5","Female"
"LZVR-GMG",56933311910,"L18X-ZNH","Male"
"LZVR-GMG",56933311911,"MVL6-5PR","Female"
"GNYN-63S",56933311912,"L8YY-G2B","Male"
"GNYN-63S",56933311913,"93BR-9XQ","Female"
"LBDM-38D",56933311914,"L8R2-SJ9","Male"
"LBDM-38D",56933311915,"LCXP-QW3","Female"
"9H16-YMP",56933311916,"L18B-R3G","Male"
"9H16-YMP",56933311917,"KDQH-DJG","Female"
"L82R-5HJ",56933311918,"LD9R-5G3","Male"
"L82R-5HJ",56933311919,"M897-QTS","Female"
"G7L7-K4V",56933311920,"GJN4-XTB","Male"
"G7L7-K4V",56933311921,"GVSX-46Q","Female"
"GVMM-WY2",56933311922,"GSD6-K7P","Male"
"GVMM-WY2",56933311923,"G6WQ-WBM","Female"
"LZJX-4WX",56933311924,"G95X-P39","Male"
"LZJX-4WX",56933311925,"GSBX-MD1","Female"
"2ZVG-JS3",56933311926,"L1QG-G8M","Male"
"2ZVG-JS3",56933311927,"LD97-QLP","Female"
"94BN-14G",56933311928,"G27Z-3CW","Male"
"94BN-14G",56933311929,"G27Z-QDV","Female"
"GQP1-GKY",56933311932,"G6MW-WVX","Male"
"GQP1-GKY",56933311933,"GX82-GBC","Female"
"LD33-H5D",56933311934,"GMXF-JSD","Male"
"LD33-H5D",56933311935,"GQSG-1F8","Female"
"KNQ6-9ZF",56933312005,"GGM3-KZW","Female"
"LDS9-GTK",56933312008,"9HTX-2CD","Male"
"LDS9-GTK",56933312009,"G39Q-HBK","Female"
"GMN3-7TX",56933312010,"L7LR-RWX","Male"
"GMN3-7TX",56933312011,"GKGZ-365","Female"
"LT83-QKS",56933312024,"GZ2L-M6L","Male"
"LT83-QKS",56933312025,"LBTR-BTW","Female"
"GDG2-NJC",56933312026,"G6RN-4Y7","Male"
"GDG2-NJC",56933312027,"GFPT-S5P","Female"
"G9M5-FF1",56933312028,"LY9D-2F8","Male"
"G9M5-FF1",56933312029,"L28D-TJH","Female"
"GN9F-M6Q",56933312030,"GJTS-3TP","Male"
"GN9F-M6Q",56933312031,"GN15-LRT","Female"
"GLTH-SF8",56933312036,"GGKB-FBC","Male"
"GLTH-SF8",56933312037,"GKK9-K98","Female"
"GNBX-9JC",56933312048,"GKCC-1KD","Male"
"GNBX-9JC",56933312049,"G2KS-LP1","Female"
"GFC6-D1X",56933312050,"GGRW-3PW","Male"
"GFC6-D1X",56933312051,"LXSK-QX8","Female"
"GD7G-BVP",56933312052,"GMF5-BSR","Male"
"GD7G-BVP",56933312053,"L1WB-PZW","Female"
"9HG1-CKS",56933312054,"L1W8-W7S","Male"
"9MH5-2Q7",56933312056,"GD7W-JS7","Male"
"9MH5-2Q7",56933312057,"GD7W-NSX","Female"
"M1W5-BFF",56933312060,"9376-JCH","Male"
"M1W5-BFF",56933312061,"9HVH-9GD","Female"
"9CW5-JNL",56933312062,"GG3M-7JP","Male"
"9CW5-JNL",56933312063,"GG3M-7PG","Female"
"GMF5-BSR",56933312064,"GLFD-7MD","Male"
"GMF5-BSR",56933312065,"GGFH-MVX","Female"
"L1WB-PZW",56933312066,"9HTX-2CD","Male"
"L1WB-PZW",56933312067,"L83J-4S6","Female"
"9H27-6Y3",56933312068,"G6LZ-TWJ","Male"
"MWBC-XS5",56933312070,"9ZHQ-5GQ","Male"
"MWBC-XS5",56933312071,"G6R2-BDM","Female"
"LDSQ-XRK",56933312352,"LDSK-V77","Male"
"LDSQ-XRK",56933312353,"LDSQ-F68","Female"
"LCFL-9DP",56933312354,"LB27-YWT","Male"
"LCFL-9DP",56933312355,"GWZB-NNM","Female"
"L644-9GY",56933312356,"LT61-JHR","Male"
"L644-9GY",56933312357,"LT6B-L2F","Female"
"KVGF-FPJ",56933312358,"GN4C-HR9","Male"
"KVGF-FPJ",56933312359,"GXGV-HXF","Female"
"LDHB-RRD",56933312384,"9HTX-2CD","Male"
"LDHB-RRD",56933312385,"L83J-4S6","Female"
"GKVP-QMK",56933312386,"LDHS-Z3V","Male"
"GKVP-QMK",56933312387,"LZGK-ZV2","Female"
"9SJJ-97N",56933312392,"GGG7-Q5M","Male"
"9SJJ-97N",56933312393,"GZL1-BTV","Female"
"LZJG-K5N",56933312394,"KX2S-NWF","Male"
"LZJG-K5N",56933312395,"L7GV-KKS","Female"
"LJ2H-W3S",56933312396,"GD74-RRH","Male"
"LJ2H-W3S",56933312397,"GJ5M-BKM","Female"
"LZ2S-DKM",56933312398,"28YJ-Z4N","Male"
"LZ2S-DKM",56933312399,"GGGT-9MX","Female"
"GJ2V-WRY",56933312400,"G233-LXN","Male"
"GJ2V-WRY",56933312401,"GGWK-NT3","Female"
"LD9P-MFB",56933312404,"GC7G-R6L","Male"
"LD9P-MFB",56933312405,"GC7P-77S","Female"
"KN8N-WHW",56933312416,"LBKM-2H9","Male"
"KN8N-WHW",56933312417,"LBDY-3J8","Female"
"9SYL-S5H",56933312418,"KX2S-NWF","Male"
"9SYL-S5H",56933312419,"L7GV-KKS","Female"
"G67W-G57",56933312420,"MKTV-TMC","Male"
"G67W-G57",56933312421,"G67G-YFC","Female"
"LDFZ-8Q1",56933312424,"GJ9M-PR2","Male"
"LDFZ-8Q1",56933312425,"GL14-857","Female"
"LHPZ-VGH",56933312426,"LZLG-V3F","Male"
"LHPZ-VGH",56933312427,"LH6K-2BP","Female"
"LD9R-RB7",56933312432,"LD9R-RYR","Male"
"LD9R-RB7",56933312433,"M15L-V4Q","Female"
"LDSS-6H5",56933312434,"L133-HLP","Male"
"LDSS-6H5",56933312435,"KH8N-T92","Female"
"LDMT-HMZ",56933312436,"L8BY-3VJ","Male"
"LDMT-HMZ",56933312437,"94BP-X4Z","Female"
"LD91-ST3",56933312438,"L8YY-5HK","Male"
"LD91-ST3",56933312439,"L8WB-D2Z","Female"
"L8MB-ZMK",56933312440,"L8YY-PD5","Male"
"L8MB-ZMK",56933312441,"MBV2-T1M","Female"
"MB1Q-ZWW",56933312442,"GKZZ-K49","Male"
"MB1Q-ZWW",56933312443,"GL6R-9XP","Female"
"LDMT-W6R",56933312444,"KJP2-TBR","Male"
"LDMT-W6R",56933312445,"GFN3-DQ5","Female"
"LT83-H6M",56933312446,"GQ59-8LX","Male"
"LT83-H6M",56933312447,"GSCJ-Z9D","Female"
"GNT4-LY5",56933312448,"LZZK-7QX","Male"
"GNT4-LY5",56933312449,"9SR5-6SR","Female"
"GDL9-6NN",56933312450,"G8D1-62Y","Male"
"GDL9-6NN",56933312451,"GCXR-Q7Y","Female"
"LTK3-8VH",56933312452,"LD9P-Q15","Male"
"LTK3-8VH",56933312453,"LKDQ-86Y","Female"
"GHMC-S6W",56933312454,"GNK2-CCY","Male"
"LHTX-J4Y",56933312460,"LH68-32D","Male"
"G34F-HFB",56933312462,"G95P-96W","Male"
"GW1V-6D9",56933312464,"GW1J-L9F","Male"
"9Z8P-D5J",56933312480,"GHXN-VML","Male"
"9Z8P-D5J",56933312481,"MH2M-DJX","Female"
"G2HQ-H3Y",56933312484,"9CCZ-PKB","Male"
"G2HQ-H3Y",56933312485,"L75S-MVR","Female"
"GFDK-XX3",56933312488,"GFDK-41H","Male"
"GFDK-XX3",56933312489,"GVJP-DFN","Female"
"GCQF-WFQ",56933312496,"LBWD-HLB","Male"
"GCQF-WFQ",56933312497,"9Z8K-VF6","Female"
"9CWG-P3Q",56933312504,"GQ61-KWP","Male"
"9CWG-P3Q",56933312505,"G286-7NZ","Female"
"LCZD-G2Y",56933312506,"G242-XCP","Male"
"LCZD-G2Y",56933312507,"G2L3-V7G","Female"
"G8W1-9VC",56933312508,"GQ61-KWP","Male"
"G8W1-9VC",56933312509,"G286-7NZ","Female"
"LCZD-G2Y",56933312510,"G242-XCP","Male"
"LCZD-G2Y",56933312511,"G2L3-V7G","Female"
"M338-1VR",56933312512,"KCHJ-P7N","Male"
"M338-1VR",56933312513,"LJR1-GHV","Female"
"M338-1KK",56933312514,"GGBS-LZN","Male"
"M338-1KK",56933312515,"G6K5-6C6","Female"
"G94Q-8SY",56933312520,"L1P1-X8G","Male"
"G94Q-8SY",56933312521,"GZ7N-HW6","Female"
"G6RT-9MK",56933312522,"KCX4-WPN","Male"
"G6RT-9MK",56933312523,"L14D-MYQ","Female"
"GZ54-6L6",56933312524,"GGNM-T2J","Male"
"GZ54-6L6",56933312525,"GGF1-X36","Female"
"G6T7-827",56933312528,"G23D-KZM","Male"
"G6T7-827",56933312529,"LVGC-69N","Female"
"LJYJ-Z6W",56933312530,"GQN9-B5Z","Male"
"LJYJ-Z6W",56933312531,"GKZH-CS2","Female"
"GQ5K-8HW",56933312532,"LBK7-5CF","Male"
"GQ5K-8HW",56933312533,"LB43-MLT","Female"
"G6Y7-FRQ",56933312534,"GMN8-X11","Male"
"G6Y7-FRQ",56933312535,"GL3Z-GGH","Female"
"L1P1-X8G",56933312536,"G218-WV4","Male"
"L1P1-X8G",56933312537,"GKZZ-GZ1","Female"
"GZ7N-HW6",56933312538,"GKZC-T8R","Male"
"GZ7N-HW6",56933312539,"GKZZ-D8G","Female"
"KCX4-WPN",56933312540,"GHGS-6FB","Male"
"KCX4-WPN",56933312541,"GHGS-KF1","Female"
"L14D-MYQ",56933312542,"LLMG-KTB","Male"
"L14D-MYQ",56933312543,"G73Y-SQS","Female"
"LDZR-77D",56933312544,"GK3W-VTQ","Male"
"LDZR-77D",56933312545,"GK3W-JGK","Female"
"GWH7-Y5B",56933312548,"G45G-ZCP","Male"
"GWH7-Y5B",56933312549,"G2BF-NWG","Female"
"GGD3-D92",56933312552,"G6T7-827","Male"
"GGD3-D92",56933312553,"LJYJ-Z6W","Female"
"GX56-KLT",56933312554,"GQ5K-8HW","Male"
"GX56-KLT",56933312555,"G6Y7-FRQ","Female"
"G94Q-8SY",56933312556,"L1P1-X8G","Male"
"G94Q-8SY",56933312557,"GZ7N-HW6","Female"
"G6RT-9MK",56933312558,"KCX4-WPN","Male"
"G6RT-9MK",56933312559,"L14D-MYQ","Female"
"LDW2-7WW",56933312560,"LD9Y-C7T","Male"
"LDW2-7WW",56933312561,"LD9Y-CW9","Female"
"LH7S-12Y",56933312562,"9CXC-BT8","Male"
"LH7S-12Y",56933312563,"L8MP-T1Y","Female"
"LDSQ-XRK",56933312564,"LDSK-V77","Male"
"LDSQ-XRK",56933312565,"LDSQ-F68","Female"
"LCFL-9DP",56933312566,"LB27-YWT","Male"
"LCFL-9DP",56933312567,"GWZB-NNM","Female"
"G78J-DQ6",56933312576,"GJMG-75Y","Male"
"G78J-DQ6",56933312577,"G78J-NMT","Female"
"GJMG-75Y",56933312609,"G78J-1W4","Female"
"GJMG-75Y",56933312608,"GJ98-538","Male"
"9HGR-GSQ",56933312640,"M338-1VR","Male"
"9HGR-GSQ",56933312641,"M338-1KK","Female"
"G38X-RN3",56933312642,"KCX4-WPN","Male"
"G38X-RN3",56933312643,"L14D-MYQ","Female"
"LDZR-77D",56933312648,"GK3W-VTQ","Male"
"LDZR-77D",56933312649,"GK3W-JGK","Female"
"GWH7-Y5B",56933312652,"G45G-ZCP","Male"
"GWH7-Y5B",56933312653,"G2BF-NWG","Female"
"LDSK-V77",56933312672,"L8RR-S6X","Male"
"LDSK-V77",56933312673,"L8RR-S6J","Female"
"LDSQ-F68",56933312674,"9CCG-XPQ","Male"
"LDSQ-F68",56933312675,"GFQJ-6W3","Female"
"LB27-YWT",56933312676,"GH7M-QSF","Male"
"LB27-YWT",56933312677,"LYTM-8KB","Female"
"GWZB-NNM",56933312678,"L8YY-PH5","Male"
"GWZB-NNM",56933312679,"KFX1-BZD","Female"
"9HTX-2CD",56933312680,"9HRG-JDL","Male"
"9HTX-2CD",56933312681,"LDH1-G9D","Female"
"G39Q-HBK",56933312682,"KX2S-NWF","Male"
"G39Q-HBK",56933312683,"L7GV-KKS","Female"
"LZGK-GZB",56933312684,"LZ8D-9DK","Male"
"LZGK-GZB",56933312685,"GK9J-9XB","Female"
"MXKR-J9R",56933312686,"9QZD-J5R","Male"
"MXKR-J9R",56933312687,"L18P-6ZG","Female"
"K8M3-FZQ",56933312688,"GFR1-8PR","Male"
"K8M3-FZQ",56933312689,"GFR1-JPJ","Female"
"MBPN-4DK",56933312692,"GFR1-8PR","Male"
"MBPN-4DK",56933312693,"GFR1-JPJ","Female"
"9H9K-FVG",56933312694,"LZ9M-HWG","Male"
"9H9K-FVG",56933312695,"9M85-YGM","Female"
"L8RK-RPS",56933312696,"GM2P-GSQ","Male"
"L8RK-RPS",56933312697,"L1PP-NHR","Female"
"LJG8-9LJ",56933312698,"LYDQ-TG6","Male"
"LJG8-9LJ",56933312699,"9HM8-2GK","Female"
"LYNF-SFN",56933312700,"GJQD-V62","Male"
"LYNF-SFN",56933312701,"G3CD-LLK","Female"
"GJQD-6SP",56933312702,"GKZ8-84G","Male"
"GJQD-6SP",56933312703,"G4Z4-XVP","Female"
"LZZ9-DZP",56933312704,"LDMK-R8Z","Male"
"LZZ9-DZP",56933312705,"GS6Z-RB1","Female"
"LYXN-DBC",56933312706,"LCR2-9ZV","Male"
"LYXN-DBC",56933312707,"GVVY-P8M","Female"
"G8R1-HG3",56933312708,"GKZZ-PK3","Male"
"G8R1-HG3",56933312709,"GKZZ-L17","Female"
"GKZZ-P14",56933312710,"L1ZM-514","Male"
"GKZZ-P14",56933312711,"LZPX-339","Female"
"M6YB-X4X",56933312712,"GH55-3KJ","Male"
"M6YB-X4X",56933312713,"GKZH-GL4","Female"
"GZRK-8NP",56933312714,"L5VK-7N8","Male"
"GZRK-8NP",56933312715,"9QG9-DXL","Female"
