"start","stop"
39,39
78,79
156,159
312,319
624,639
1248,1279
2496,2559
4992,5119
9984,10239
19968,20479
39936,40959
79872,81919
159744,163839
319488,327679
638976,655359
1277952,1310719
2555904,2621439
5111808,5242879
10223616,10485759
20447232,20971519
40894464,41943039
81788928,83886079
163577856,167772159
327155712,335544319
654311424,671088639
1308622848,1342177279
2617245696,2684354559
5234491392,5368709119
10468982784,10737418239
20937965568,21474836479
