"start","stop"
47,47
94,95
188,191
376,383
752,767
1504,1535
3008,3071
6016,6143
12032,12287
24064,24575
48128,49151
96256,98303
192512,196607
385024,393215
770048,786431
1540096,1572863
3080192,3145727
6160384,6291455
12320768,12582911
24641536,25165823
49283072,50331647
98566144,100663295
197132288,201326591
394264576,402653183
788529152,805306367
1577058304,1610612735
3154116608,3221225471
6308233216,6442450943
12616466432,12884901887
25232932864,25769803775
