"start","stop"
50,50
100,101
200,203
400,407
800,815
1600,1631
3200,3263
6400,6527
12800,13055
25600,26111
51200,52223
102400,104447
204800,208895
409600,417791
819200,835583
1638400,1671167
3276800,3342335
6553600,6684671
13107200,13369343
26214400,26738687
52428800,53477375
104857600,106954751
209715200,213909503
419430400,427819007
838860800,855638015
1677721600,1711276031
3355443200,3422552063
6710886400,6845104127
13421772800,13690208255
26843545600,27380416511
