"start","stop"
62,62
124,125
248,251
496,503
992,1007
1984,2015
3968,4031
7936,8063
15872,16127
31744,32255
63488,64511
126976,129023
253952,258047
507904,516095
1015808,1032191
2031616,2064383
4063232,4128767
8126464,8257535
16252928,16515071
32505856,33030143
65011712,66060287
130023424,132120575
260046848,264241151
520093696,528482303
1040187392,1056964607
2080374784,2113929215
4160749568,4227858431
8321499136,8455716863
16642998272,16911433727
33285996544,33822867455
