"start","stop"
34,34
68,69
136,139
272,279
544,559
1088,1119
2176,2239
4352,4479
8704,8959
17408,17919
34816,35839
69632,71679
139264,143359
278528,286719
557056,573439
1114112,1146879
2228224,2293759
4456448,4587519
8912896,9175039
17825792,18350079
35651584,36700159
71303168,73400319
142606336,146800639
285212672,293601279
570425344,587202559
1140850688,1174405119
2281701376,2348810239
4563402752,4697620479
9126805504,9395240959
18253611008,18790481919
