"start","stop"
36,36
72,73
144,147
288,295
576,591
1152,1183
2304,2367
4608,4735
9216,9471
18432,18943
36864,37887
73728,75775
147456,151551
294912,303103
589824,606207
1179648,1212415
2359296,2424831
4718592,4849663
9437184,9699327
18874368,19398655
37748736,38797311
75497472,77594623
150994944,155189247
301989888,310378495
603979776,620756991
1207959552,1241513983
2415919104,2483027967
4831838208,4966055935
9663676416,9932111871
19327352832,19864223743
