"start","stop"
61,61
122,123
244,247
488,495
976,991
1952,1983
3904,3967
7808,7935
15616,15871
31232,31743
62464,63487
124928,126975
249856,253951
499712,507903
999424,1015807
1998848,2031615
3997696,4063231
7995392,8126463
15990784,16252927
31981568,32505855
63963136,65011711
127926272,130023423
255852544,260046847
511705088,520093695
1023410176,1040187391
2046820352,2080374783
4093640704,4160749567
8187281408,8321499135
16374562816,16642998271
32749125632,33285996543
