"start","stop"
33,33
66,67
132,135
264,271
528,543
1056,1087
2112,2175
4224,4351
8448,8703
16896,17407
33792,34815
67584,69631
135168,139263
270336,278527
540672,557055
1081344,1114111
2162688,2228223
4325376,4456447
8650752,8912895
17301504,17825791
34603008,35651583
69206016,71303167
138412032,142606335
276824064,285212671
553648128,570425343
1107296256,1140850687
2214592512,2281701375
4429185024,4563402751
8858370048,9126805503
17716740096,18253611007
